time,new confirmed,new confirmed including CD,current confirmed,current confirmed including CD,cum confirmed include clinical,new clinically diagnosed,Hubei clinically diagnosed,new suspected,current suspected,new serious,current serious,new death including CD,new death from CD,cum death including from clinical,new recovered,cum recovered,current on medical observation,today released,cum on medical observation,Input case,Cumulative Input,
1/10/2020,,,,,41,,,,,,7,0,,1,,2,,,739,,,
1/11/2020,,,,,41,,,,,,7,0,,1,,6,717,,763,,,
1/12/2020,,,,,41,,,,,,6,0,,1,,7,687,,763,,,
1/13/2020,,,,,41,,,,,,6,0,,1,,7,576,,763,,,
1/14/2020,,,,,41,,,,,,6,0,,1,,7,313,,763,,,
1/15/2020,,,,,41,,,,,,5,1,,2,,12,119,,763,,,
1/16/2020,4,,,,45,,,,,,5,0,,2,,15,98,,763,,,
1/17/2020,17,,,,62,,,,,3,8,0,,2,4,19,82,,763,,,
1/18/2020,59,,,,121,,,,,,9,1,,3,5,24,,,,,,
1/19/2020,77,,,,198,,,,,,,0,,3,1,25,90,,817,,,
1/20/2020,77,,,,291,,,,54,,,3,,6,,26,922,,1739,,,日本1 泰国2 韩国1
1/21/2020,149,,,,440,,,,,,102,3,,9,,28,1394,,2197,,,日本1 泰国3 韩国1
1/22/2020,131,,,,571,,,257,393,,95,8,,17,,31,4928,,5897,,,香港1 澳门1 台湾1 美国1 日本1 泰国3 韩国1
1/23/2020,259,,,,830,,,680,1072,,177,8,,25,6,34,8420,,9507,,,香港2 澳门2 台湾1 泰国3 日本1 韩国1 美国1 越南2 新加坡1
1/24/2020,444,,,,1287,,,1118,1965,,237,16,,41,3,38,13967,,15197,,,香港5 澳门2 台湾3 泰国4 日本2 韩国2 美国2 越南2 新加坡3 马来西亚3 尼泊尔1 法国2
1/25/2020,688,,,,1975,,,1309,2684,87,324,15,,56,11,49,21556,325,23431,,,香港5 澳门2 台湾3 泰国4 日本2 韩国2 美国2 越南2 新加坡3 马来西亚3 尼泊尔1 法国3 澳大利亚1
1/26/2020,769,,,,2744,,,3806,5794,137,461,24,,80,2,51,30453,583,32799,,,香港8 澳门5 台湾4 泰国7 日本3 韩国3 美国3 越南2 新加坡4 马来西亚3 尼泊尔1 法国3 澳大利亚4
1/27/2020,1771,,,,4515,,,2077,6973,515,976,26,,106,9,60,44132,914,47833,,,香港8 澳门7 台湾5
1/28/2020,1459,,,,5974,,,3248,9239,263,1239,26,,132,43,103,59990,1604,65537,,,香港8 澳门7 台湾8
1/29/2020,1737,,,,7711,,,4148,12167,131,1370,38,,170,21,124,81947,2364,88693,,,香港8 澳门7 台湾8
