,,China,China,China,Hubei,Hubei,Hubei,Hubei,Wuhan,Wuhan,Wuhan,,Beijing confirmed,Shanghai  confirmed,Chongqing ,Guangzhou ,Shenzhen,Changsha,Nanchang,Zhengzhou,Heifei,Henan,Anhui,Jiangxi,Hunan,Shanxi
,,http://www.nhc.gov.cn/,,,http://wjw.hubei.gov.cn/,,,,,斜体来自丁香园https://ncov.dxy.cn/ncovh5/view/pneumonia,,,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/,http://wsjkw.sh.gov.cn/xwfb/index.html,http://wsjkw.cq.gov.cn/yqxxyqtb/,http://wsjkw.gd.gov.cn/zwyw_yqxx/index.html,http://wsjkw.gd.gov.cn/zwyw_yqxx/index.html,http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/index.html,http://hc.jiangxi.gov.cn/xwzx/wjxw/index.shtml,http://www.hnwsjsw.gov.cn/channels/858.shtml,http://wjw.ah.gov.cn/news_list_477_1.html,http://www.hnwsjsw.gov.cn/channels/858.shtml,http://wjw.ah.gov.cn/news_list_477_1.html,http://hc.jiangxi.gov.cn/xwzx/wjxw/index.shtml,http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/index.html,http://sxwjw.shaanxi.gov.cn/col/col9/index.html
Date,Time,confirmed,recovered,death,confirmed,recovered,death,clinical confirmed,confirmed,recovered,death,clinical confirmed,,,,,,,,,,,,,,陕西
2020/1/10,24:00:00,41,2,1,41,2,1,,41,2,1,,,,,,,,,,,,,,,
2020/1/11,24:00:00,41,6,1,41,6,1,,41,6,1,,,,,,,,,,,,,,,
2020/1/12,24:00:00,41,7,1,41,7,1,,41,7,1,,,,,,,,,,,,,,,
2020/1/13,24:00:00,41,7,1,41,7,1,,41,7,1,,,,,,,,,,,,,,,
2020/1/14,24:00:00,41,7,1,41,7,1,,41,7,1,,,,,,,,,,,,,,,
2020/1/15,24:00:00,41,12,2,41,12,2,,41,12,2,,,,,,,,,,,,,,,
2020/1/16,24:00:00,45,15,2,45,15,2,,45,15,2,,,,,,,,,,,,,,,
2020/1/17,24:00:00,62,19,2,62,19,2,,62,19,2,,,,,,,,,,,,,,,
2020/1/18,24:00:00,121,24,3,121,24,3,,121,24,3,,,,,,,,,,,,,,,
2020/1/19,24:00:00,198,25,3,198,25,3,,198,25,3,,,,,,,,,,,,,,,
2020/1/20,24:00:00,291,25,6,270,25,6,,258,25,6,,5,,,,,,,,,,,,,
2020/1/21,24:00:00,440,28,9,375,28,9,,363,28,9,,10,9,5,2,4,,,,3,,,,,
2020/1/22,24:00:00,571,28,17,444,28,17,,425,28,17,,14,16,9,5,15,,1,2,3,5,9,3,9,3
2020/1/23,24:00:00,830,34,25,549,31,24,,495,31,23,,26,20,27,7,15,,2,3,6,9,15,7,24,5
2020/1/24,24:00:00,1287,38,41,729,32,39,,572,32,38,,36,33,57,14,20,,3,6,10,32,39,18,43,15
2020/1/25,24:00:00,1975,49,56,1052,42,52,,618,40,45,,51,40,75,17,31,,4,20,13,83,60,36,69,22
2020/1/26,24:00:00,2744,51,80,1423,44,76,,698,42,63,,72,53,110,39,36,,8,29,13,128,70,48,100,35
2020/1/27,24:00:00,4515,60,106,2714,47,100,,1590,47,85,,91,66,132,51,49,,17,37,16,168,106,72,143,46
2020/1/28,24:00:00,5974,103,132,3554,80,125,,1905,54,104,,102,80,147,63,63,,25,40,29,206,152,109,221,56
2020/1/29,24:00:00,7711,124,170,4586,90,162,,2261,54,129,,114,101,165,79,86,,46,46,39,278,200,162,277,63
2020/1/30,24:00:00,9692,171,213,5806,116,204,,2639,75,159,,132,128,206,106,110,,67,50,50,352,237,240,332,87
2020/1/31,24:00:00,11791,243,259,7153,166,249,,3215,121,192,,156,153,238,137,170,,83,56,59,422,297,286,389,101
2020/2/1,24:00:00,14380,328,304,9074,215,294,,4109,153,224,,183,177,262,175,196,,89,65,59,493,340,333,463,116
2020/2/2,24:00:00,17205,475,361,11177,295,350,,5142,228,265,,212,193,300,189,226,,103,72,75,566,408,391,521,128
2020/2/3,24:00:00,20438,632,425,13522,396,414,,6384,306,313,,228,208,337,216,269,,121,85,81,675,480,476,593,142
2020/2/4,24:00:00,24324,892,490,16678,520,479,,9351,371,362,,253,233,366,224,271,,134,92,93,764,530,548,661,165
2020/2/5,24:00:00,28018,1153,563,19665,633,549,,10117,455,414,,274,254,389,255,314,179,149,102,104,851,591,600,711,173
2020/2/6,24:00:00,31161,1540,636,22112,817,618,,11618,540,478,,297,269,411,284,334,190,162,112,115,914,665,661,772,184
2020/2/7,24:00:00,34546,2050,722,24953,1115,699,,13603,747,545,,315,281,426,298,351,196,168,120,128,981,733,698,803,195
2020/2/8,24:00:00,37198,2649,811,27100,1439,780,,14982,878,608,,326,292,446,304,364,205,179,126,136,1033,779,740,838,208
2020/2/9,24:00:00,40171,3281,908,29631,1795,871,,16902,1045,681,,337,295,468,313,368,213,189,130,147,1073,830,771,879,213
2020/2/10,24:00:00,42638,3996,1016,31728,2222,974,5677,18454,1242,748,,342,302,486,317,375,219,195,132,150,1105,860,804,912,219
2020/2/11,24:00:00,44653,4740,1113,33366,2639,1068,10567,19558,1380,820,,352,306,505,323,386,223,204,137,157,1135,889,844,946,225
2020/2/12,24:00:00,59804,5911,1271,48206,3441,1214,13332,32994,1915,940,12364,366,313,518,327,391,228,210,141,161,1169,910,872,968,229
2020/2/13,24:00:00,63851,6723,1380,51986,3862,1318,15384,35991,2016,1016,14031,372,318,529,328,400,238,217,142,166,1184,934,900,988,230
2020/2/14,24:00:00,66492,8096,1523,54406,4774,1457,16522,37914,2502,1123,14953,375,326,537,335,406,241,222,144,168,1212,950,913,1001,232
2020/2/15,24:00:00,68500,9419,1665,56249,5623,1596,17410,39462,2915,1233,,380,328,544,338,414,241,227,148,169,1231,962,925,1004,236
2020/2/16,24:00:00,70548,10844,1770,58182,6639,1696,,41152,3458,1309,,381,331,551,339,415,241,228,151,171,1246,973,930,1006,240
2020/2/17,24:00:00,72436,12552,1868,59989,7862,1789,,42752,4219,1381,,387,333,553,339,416,241,229,154,173,1257,982,933,1007,240
2020/2/18,24:00:00,74182,14376,2004,61682,9128,1921,,44412,4895,1497,,393,333,555,339,416,241,230,156,173,1262,986,934,1008,242
2020/2/19,24:00:00,75002,16157,2118,62457,10337,2029,,45027,5448,1585,,395,333,560,339,416,242,229,156,173,1265,987,934,1010,245
2020/2/20,24:00:00,75891,18266,2236,63088,11788,2144,,45346,6214,1684,,396,334,567,339,416,242,229,157,174,1267,988,934,1011,245
2020/2/21,24:00:00,76288,20659,2345,63454,13557,2250,,45660,7206,1774,,399,334,572,343,417,242,229,157,174,1270,989,934,1013,245
2020/2/22,24:00:00,76936,22888,2442,64084,15299,2346,,46259,8171,1856,,399,335,573,345,417,242,229,157,174,1271,989,934,1016,245
2020/2/23,24:00:00,77150,24734,2592,64287,16738,2495,,46607,8946,1987,,399,335,575,345,417,242,229,157,174,1271,989,934,1016,245
2020/2/24,24:00:00,77658,27323,2663,64786,18854,2563,,47071,10337,2043,,400,335,576,346,417,242,229,157,174,1271,989,934,1016,245
2020/2/25,24:00:00,78064,29745,2715,65187,20912,2615,,47441,11793,2085,,400,336,576,346,417,242,229,157,174,1271,989,934,1016,245
