Unnamed: 0,Sum,Tehran,Qom,Gilan,Markazi,Esfahan,Fars,Khorasan-e-Razavi,Kermanshah,Lorestan,Semnan,Mazandaran,Hamedan,South Khorasan,Alborz,Hormozgan,Khuzestan,Sistan and Baluchestan,Ilam,Kerman,Ardebil,Kohgiluyeh and BuyerAhmad,Golestan,East Azarbaijan,Kordestan,Qazvin,Yazd,West Azarbaijan,Zanjan,Chahamahal and Bakhitari
curren,,4,4,4,3,3,3,3,3,2,3,3,2,2,3,2,3,2,2,2,2,1,3,3,2,3,2,2,1,1
Before 23-Feb,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-23,103,4,7,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-24,121,7,15,4,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-25,155,16,31,6,3,2,1,0,0,0,0,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-26,199,20,46,15,4,2,3,0,1,1,1,4,1,1,2,2,3,2,0,0,1,2,0,0,0,0,0,0,0,0
2-27,292,58,53,38,4,10,3,1,1,1,1,11,2,1,5,2,3,2,0,0,6,2,0,0,0,0,0,0,0,0
2-28,435,122,69,63,4,20,3,1,1,1,3,20,2,1,8,2,6,2,0,0,7,2,2,4,2,2,0,0,0,0
2-29,640,174,90,80,22,32,11,2,1,1,7,32,2,1,16,2,10,3,1,0,10,2,24,10,7,8,4,0,0,0
3-1,1025,344,120,108,66,45,19,19,3,9,10,43,5,3,47,4,19,4,2,2,10,2,24,10,7,8,4,0,0,0
3-2,1493,569,182,161,84,68,27,25,4,9,10,55,5,6,57,11,31,5,4,4,10,2,24,10,7,26,5,4,0,0
3-3,2344,1055,234,216,140,120,35,28,5,11,27,62,10,6,93,11,35,6,4,4,12,2,24,44,7,55,6,4,0,0
3-4,2922,1308,335,251,148,120,49,36,20,16,35,71,10,6,112,11,62,14,11,18,12,2,33,53,11,80,6,4,0,0
