Date,Lombardia,Emilia - Romagna,Veneto,Piemonte,Marche,Toscana,Liguria,Lazio,Campania,Friuli,Trentino,Puglia,Bolzano,Sicilia,Umbria,Abruzzo,Sardegna,Valle d'Aosta,Calabria,Molise,Basilicata,New daily,Total Cases
,"17,713","4,525","3,214","2,341","1,568","1,330",887,724,460,462,455,383,376,282,247,263,134,165,129,28,27,,
1/30/2020,,,,,,,,2,,,,,,,,,,,,,,+2,2
2/6/2020,,,,,,,,1,,,,,,,,,,,,,,+1,3
2/21/2020,15,,2,,,,,,,,,,,,,,,,,,,+17,+20
2/22/2020,40,2,16,1,,,,,,,,,,,,,,,,,,+59,+79
2/23/2020,58,7,8,,,,,,,,,,,,,,,,,,,+73,+152
2/24/2020,59,9,7,,,,,,,,1,,,,,,,,,,,+76,+228
2/25/2020,68,8,12,,,2,2,,,,,,,3,,,,,,,,+95,+323
2/26/2020,65,22,42,,3,,9,,1,,,1,,,,,,,,,,+143,+466
2/27/2020,98,49,24,1,,,8,,2,,,,,1,,1,,,,,,+184,+650
2/28/2020,128,48,40,9,3,6,,,1,,,2,,,,,,,1,,,+238,+888
2/29/2020,84,72,40,,5,3,3,3,9,,,,,,,1,,,,,,+220,"+1,108"
3/1/2020,369,68,72,38,14,2,,,4,6,,,,3,2,3,,,,,,+581,"+1,689"
3/2/2020,270,50,10,2,10,,,1,,3,,1,,,,,,,,,,+347,"+2,036"
3/3/2020,266,85,34,5,26,6,2,7,13,4,3,2,1,,6,1,1,,,3,1,+466,"+2,502"
3/4/2020,300,124,53,26,23,19,2,16,1,5,2,3,,11,1,1,1,,,,,+588,"+3,090"
3/5/2020,431,154,47,26,40,23,19,14,14,3,1,5,,,,1,,1,1,4,,+784,"+3,874"
3/6/2020,361,172,81,35,35,18,-13,10,12,10,3,3,3,6,7,1,3,6,2,5,2,+762,"+4,636"
3/7/2020,808,140,55,64,48,34,19,22,4,11,4,9,5,11,8,2,,1,,2,,"+1,247","+5,883"
3/8/2020,769,170,127,153,65,53,27,11,40,15,9,14,,18,2,6,6,1,5,,1,"+1,492","+7,375"
3/9/2020,1280,206,74,-10,51,42,31,15,18,36,10,10,,1,2,13,8,6,2,,1,"+1,796","+9,171"
3/10/2020,322,148,112,103,71,56,32,14,8,23,19,9,29,8,9,8,1,2,2,1,1,+978,"+10,149"
3/11/2020,1489,205,167,48,85,56,53,34,27,10,25,18,37,21,9,,17,3,6,1,2,"+2,313","+12,462"
3/12/2020,1445,208,361,79,113,44,80,50,25,41,30,27,29,32,18,46,2,7,14,,,"+2,651","+15,113"
3/13/2020,1095,316,211,260,133,106,71,77,41,90,56,25,21,15,12,5,4,1,5,1,2,"+2,547","+17,660"
3/14/2020,1865,381,342,33,174,160,118,80,52,44,43,37,48,26,31,23,4,14,22,,,"+3,497","+21,157"
3/15/2020,1587,449,235,238,234,151,96,79,61,46,172,64,31,32,36,25,30,15,8,,1,"+3,590","+24,747"
3/16/2020,1377,429,301,405,109,85,108,87,67,39,,,37,25,21,39,30,48,21,4,1,"+3,233","+27,980"
3/17/2020,1571,409,231,381,129,187,111,84,60,8,7,110,50,24,33,53,10,31,25,4,8,"+3,526","+31,506"
3/18/2020,1493,594,510,444,197,277,109,117,,68,70,43,85,45,50,34,17,29,15,3,7,"+4,207","+35,713"
3/19/2020,,,,,,,,,,,,,,,,,,,,,,+0,"+35,713"
