time,Alert Level
Hongkong,3
Macao,1
Taiwan,2
China,1
South Korea,4
Japan,3
Australia,2
Malaysia,2
Singapore,3
Philippines,2
Vietnam,2
Brunei Darussalam,2
Cambodia,2
New Zealand,2
Mongolia,1
French Polynesia,1
Guam,1
Italy,4
Spain,4
France,4
Germany,4
Switzerland,4
UK,4
Netherlands,3
Belgium,3
Austria,3
Norway,4
Sweden,3
Denmark,3
Portugal,2
Czechia,3
Greece,2
Finland,3
Israel,3
Ireland,2
Slovenia,2
Poland,2
Estonia,2
Iceland,2
Romania,2
Luxembourg,2
San Marino,2
Slovakia,2
Russia,2
Serbia,2
Bulgaria,2
Croatia,2
Latvia,2
Albania,2
Armenia,2
Hungary,2
Turkey,2
Malta,2
Belarus,2
Georgia,2
Cyprus,2
Kazakhstan,2
North Macedonia,2
Moldova,2
Lithuania,2
Azerbaijan,1
Bosnia and Herzegovina,2
Andorra,1
Uzbekistan,1
Ukraine,2
Monaco,1
Liechtenstein,1
Montenegro,1
Holy See,1
Faroe Islands,1
Jersey,1
Gibraltar,1
Guernsey,1
India,2
Thailand,2
Indonesia,2
Maldives,2
Sri Lanka,2
Bangladesh,2
Nepal,1
Bhutan,1
Iran,4
Qatar,3
Bahrain,3
Pakistan,2
Saudi Arabia,2
Egypt,2
Iraq,2
Kuwait,2
Lebanon,2
UAE,2
Morocco,2
Jordan,1
Oman,2
Tunisia,2
Afghanistan,1
Sudan,1
Somalia,1
Palestine,2
South Africa,2
Algeria,2
Senegal,1
Burkina Faso,1
Rwanda,2
Cote d'Ivoire,1
Ghana,1
Cameroon,2
Ethiopia,1
Seychelles,1
DRC,1
Kenya,1
Nigeria,1
Namibia,1
Gabon,1
Guinea,1
Togo,1
Central African Republic,1
Equatorial Guinea,1
Congo,1
Eswatini,1
Mauritania,1
Benin,1
Liberia,1
Tanzania,1
Reunion,1
Mayotte,
US,4
Canada,3
Brazil,2
Chile,2
Peru,2
Mexico,2
Panama,2
Argentina,2
Ecuador,2
Colombia,2
Costa Rica,2
Venezuela,1
Dominican Republic,1
Jamaica,2
Bolivia,1
Paraguay,2
Honduras,1
Uruguay,1
Guatemala,1
Cuba,1
Trinidad and Tobago,1
Guyana,2
Saint Lucia,1
Saint Vincent and the Grenadines,1
Antigua and Barbuda,1
Bahamas,2
Suriname,1
Martinique,1
French Guiana,1
Guadeloupe,1
Puerto Rico,1
Curacao,1
Saint Martin,1
Saint Barthelemy,1
Cayman Islands,1
Aruba,1
US Virgin Islands,1
Diamond Princess,
