Italy,Lombardia,Emilia - Romagna,Piemonte,Veneto,Toscana,Liguria,Marche,Lazio,Campania,P.A.Trento,Puglia,Friuli,Sicilia,Abruzzo,P.A.Bolzano,Umbria,Sardegna,Calabria,Valle d'Aosta,Basilicata,Molise,New Confirmed,Total Confirmed,New Deaths,Total Deaths,ICU,Total Active,Total Recovery,Total Tested,New Tested,Daily Positive Rate,Cumulative Positive Rate,,,,,,,,,,,,,,,,,,,,,,,
sum,60314,20440,17134,14251,7390,5596,5381,4968,3670,3126,3065,2482,2458,2213,2149,1320,1128,928,927,319,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2020,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/6/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/21/2020,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,1,1,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/22/2020,40,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,79,1,2,18,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/2020,58,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,152,1,3,25,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/2020,59,9,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,76,228,4,7,27,199,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2020,68,8,0,12,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,95,323,3,10,35,309,1,8600,,,,,,,,,,,,,,,,,,,,,,,,,,
2/26/2020,65,22,0,42,0,9,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,143,466,2,12,36,430,3,9587,987,14.49%,4.86%,,,,,,,,,,,,,,,,,,,,,,,
2/27/2020,98,49,1,24,0,8,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,184,650,5,17,56,588,45,12014,2427,7.58%,5.41%,,,,,,,,,,,,,,,,,,,,,,,
2/28/2020,128,48,9,40,6,0,3,0,1,0,2,0,0,0,0,0,0,1,0,0,0,238,888,4,21,64,821,46,15695,3681,6.47%,5.66%,,,,,,,,,,,,,,,,,,,,,,,
2/29/2020,84,72,0,40,3,3,5,3,9,0,0,0,0,1,0,0,0,0,0,0,0,220,1108,8,29,105,1049,50,18661,2966,7.42%,5.94%,,194,63,16,51,4,1,7,1,5,1,0,2,1,0,1,1,0,0,0,0,0,
