,Belgorod Oblast,Bryansk Oblast,Ivanovo Oblast,Kaluga Oblast,Kostroma Oblast,Kursk Oblast,Lipetsk Oblast,Moscow Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tula Oblast,Tver Oblast,Vladimir Oblast,Voronezh Oblast,Yaroslavl Oblast,Moscow,Republic of Karelia,Komi Republic,Arkhangelsk Oblast,Kaliningrad Oblast,Leningrad Oblast,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Vologda Oblast,Saint Petersburg,Adygea,Republic of Crimea,Kalmykia,Krasnodar Krai,Astrakhan Oblast,Rostov Oblast,Volgograd Oblast,Sevastopol,Chechnya,Dagestan,Ingushetia,Kabardino-Balkaria,Karachay-Cherkessia,North Ossetia-Alania,Stavropol Krai,Bashkortostan,Chuvashia,Mari El,Mordovia,Tatarstan[a],Udmurtia,Perm Krai,Kirov Oblast,Nizhny Novgorod Oblast,Orenburg Oblast,Penza Oblast,Samara Oblast,Saratov Oblast,Ulyanovsk Oblast,Chelyabinsk Oblast,Kurgan Oblast,Sverdlovsk Oblast,Tyumen Oblast,Khanty-Mansi AO,Yamalo-Nenets AO,Khakassia,Tuva,Altai Krai,Krasnoyarsk Krai,Irkutsk Oblast,Kemerovo Oblast,Novosibirsk Oblast,Omsk Oblast,Tomsk Oblast,Buryatia,Yakutia,Kamchatka Krai,Khabarovsk Krai,Primorsky Krai,Zabaykalsky Krai,Amur Oblast,Magadan Oblast,Sakhalin Oblast,Jewish AO,New case,Total Case,New rec,Total rec,New death,Total death,Total test,new test,pos rate
1/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,2,,,,,,,
2/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,
2/12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,,,,
3/2/2020,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,2,,,,,
3/5/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,2,,,46414,,
3/6/2020,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,1,3,,,51366,4952,0.12%
3/7/2020,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,,3,,,55688,4322,0.09%
3/8/2020,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,,3,,,59960,4272,0.07%
3/9/2020,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,3,,,63191,3231,0.09%
3/11/2020,,,,,,,,2,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,28,,3,,,70601,7410,0.11%
