"South 
Korea",Daegu,Gyeongbuk,Gyeonggi,Seoul,Chungnam,Busan,Gyeongnam,Incheon,Sejong,Chungbuk,Ulsan,Gangwon,Daejeon,Gwangju,Jeonbuk,Jeonnam,Jeju,Quarantine,New daily,TOTAL CASES,Total test,daily test,Positive %
Date,6807,1327,433,390,127,114,91,51,44,40,39,32,31,20,10,8,8,168,Daily New,TOTAL CASES,,,
1/19/2020,,,,1,,,,,,,,,,,,,,,1,1,,,
1/20/2020,,,,,,,,,,,,,,,,,,,0,1,,,
1/21/2020,,,,,,,,,,,,,,,,,,,0,1,,,
1/22/2020,,,,,,,,,,,,,,,,,,,0,1,,,
1/23/2020,,,,1,,,,,,,,,,,,,,,1,2,,,
1/24/2020,,,,,,,,,,,,,,,,,,,0,2,,,
1/25/2020,,,,,,,,,,,,,,,,,,,0,2,,,
1/26/2020,,,,1,,,,,,,,,,,,,,,1,3,,,
1/27/2020,,,,,,,,,,,,,,,,,,,0,3,,,
1/28/2020,,,,1,,,,1,,,,,,,,,,,2,5,,,
1/29/2020,,,,,,,,,,,,,,,,,,,0,5,,,
1/30/2020,,,3,3,,,,,,,,,,,,,,,3,8,,,
1/31/2020,,,,1,,,,,,,,,,,,,,,1,9,,,
2/1/2020,,,,1,,,,1,,,,,,,,,,,2,11,,,
2/2/2020,,,,,,1,,,,,,,,,,,,,1,12,,,
2/3/2020,,,,,,,,,,,,,,,,,,,0,12,,,
2/4/2020,,,,1,,,,,,,,,,,,,,,1,13,,,
2/5/2020,,,,3,,,,,,,,,,1,,,,,4,17,,,
2/6/2020,,,,,,,,,,,,,,,,,,,0,17,,,
2/7/2020,,,,,,,,,,,,,,,,,,,0,17,,,
2/8/2020,,,2,3,,,,,,,,,,,,,,,3,20,,,
2/9/2020,,,,,,,,,,,,,,,,,,,0,20,,,
2/10/2020,,,1,,,,,,,,,,,,,,,,0,20,,,
2/11/2020,,,,,,,,,,,,,,,,,,,0,20,,,
2/12/2020,,,,,,,,,,,,,,,,,,,0,20,,,
2/13/2020,,,,,,,,,,,,,,,,,,,0,20,,,
2/14/2020,,,,,,,,,,,,,,,,,,,0,20,,,
2/15/2020,,,,1,,,,,,,,,,,,,,,1,21,,,
2/16/2020,,,,1,,,,,,,,,,,,,,,1,22,8171,,
2/17/2020,1,,,,,,,,,,,,,,,,,,1,29,9265,1094,0.09%
2/18/2020,8,5,,2,,7,,,,,,,,,,,,,22,51,10411,1146,1.92%
2/19/2020,21,20,7,2,,,2,,,,,1,,,,,,,53,104,12161,1750,3.03%
2/20/2020,80,3,1,5,1,,5,,,1,,,,2,2,,,,100,204,14816,2655,3.77%
2/21/2020,83,117,6,3,,3,,,1,2,1,5,2,3,1,1,1,,229,433,19621,4805,4.77%
2/22/2020,117,25,4,1,,8,10,,,,,,1,2,,,1,,169,602,22633,3012,5.61%
2/23/2020,173,23,11,4,,15,3,,,,1,,,1,,,,,231,833,28615,5982,3.86%
2/24/2020,60,56,7,6,1,8,3,,,2,1,,,,,,,,144,977,36716,8101,1.78%
2/25/2020,167,68,9,8,1,16,11,1,,,1,,2,,,,,,284,1261,46127,9411,3.02%
2/26/2020,421,28,11,7,9,3,9,,,3,7,,4,,2,,,,504,1765,57990,11863,4.25%
2/27/2020,447,61,15,6,23,4,6,1,,1,3,1,5,,,,,,573,2338,70940,12950,4.42%
2/28/2020,657,79,10,15,20,15,10,2,,1,3,,-1,,,2,,,813,3151,85693,14753,5.51%
2/29/2020,469,71,2,10,13,3,4,,,1,3,8,,,1,,,,585,3736,98921,13228,4.42%
3/1/2020,377,68,3,4,10,5,1,1,,,,4,1,,,2,,,476,4212,109591,10670,4.46%
3/2/2020,519,61,2,7,3,2,,,,1,,1,,2,1,,1,,600,4812,125851,16260,3.69%
3/3/2020,405,89,7,1,1,3,1,2,,,3,1,1,2,,,,,516,5328,136707,10856,4.75%
3/4/2020,320,87,9,4,4,-1,9,,,1,,2,1,1,,,1,,438,5766,146541,9834,4.45%
3/5/2020,367,123,10,2,4,3,3,,,3,,2,2,-1,,,,,518,6284,164740,18199,2.85%
3/6/2020,392,65,10,3,2,1,5,,1,4,,1,,,,-1,,,483,6767,178189,13449,3.59%
3/7/2020,297,32,11,12,6,1,1,,1,4,1,1,,,,,,,367,7134,188518,10329,3.55%
3/8/2020,190,26,11,10,4,-1,,,3,1,,1,1,2,,,,,248,7382,196618,8100,3.06%
3/9/2020,92,10,11,11,2,,,4,2,,,,-1,,,,,,131,7513,210144,13526,0.97%
3/10/2020,131,18,12,52,8,2,1,12,2,2,1,1,,,,,,,242,7755,222395,12251,1.98%
3/11/2020,73,8,3,19,2,1,1,,5,,,,2,,,,,,114,7869,234998,12603,0.90%
3/12/2020,61,4,7,13,1,1,,2,17,,2,,2,,,,,,110,7979,248647,13649,0.81%
3/13/2020,62,6,15,13,1,3,,1,6,,,,,,,,,,107,8086,261335,12688,0.84%
3/14/2020,41,4,11,9,,3,,2,1,3,1,,,1,,,,,76,8162,268212,6877,1.11%
3/15/2020,35,7,20,6,,1,,,1,,,,,,,,,4,74,8236,274504,6292,1.18%
3/16/2020,32,5,31,12,,,1,1,,,,,,,,,,2,84,8320,286716,12212,0.69%
3/17/2020,46,9,15,5,3,,,1,1,1,2,1,,1,2,1,,5,93,8413,295647,8931,1.04%
3/18/2020,97,12,18,12,,,,,,1,6,,,,1,,,5,152,8565,307024,11377,1.34%
3/19/2020,34,13,14,17,1,1,1,4,,,,,,1,,,,1,87,8652,316664,9640,0.90%
3/20/2020,69,40,12,15,,,,4,,1,,,,,,,,6,147,8799,327509,10845,1.36%
3/21/2020,43,11,16,10,1,,1,,,1,,,2,1,,1,,11,98,8897,331780,4271,2.29%
3/22/2020,24,2,14,6,,1,1,,1,2,,,,,,,,13,64,8961,338036,6256,1.02%
3/23/2020,31,1,15,4,,2,1,1,,1,,,,,,,,20,76,9037,348582,10546,0.72%
3/24/2020,14,5,21,13,3,1,,1,2,,1,1,,,,2,2,34,100,9137,357896,9314,1.07%
3/25/2020,26,12,14,13,1,,,1,,1,,,6,,,,,30,104,9241,364942,7046,1.48%
3/26/2020,34,9,11,12,,1,1,3,,2,2,,1,1,,,1,13,91,9332,376961,12019,0.76%
3/27/2020,71,2,21,18,2,1,,5,,,,1,,,,,1,24,146,9478,387925,10964,1.33%
3/28/2020,23,2,,,,,,,,,,,,,,,,,105,9583,394141,6216,1.69%
3/29/2020,14,11,,,,,,,,,,,,,,,,,78,9661,395194,1053,7.41%
3/30/2020,60,2,,,,,,,,,,,,,,,,,125,9786,410564,15370,0.81%
3/31/2020,20,2,,,,,,,,,,,,,,,,,101,9887,421647,11083,0.91%
4/1/2020,21,2,,,,,,,,,,,,,,,,,89,9976,431743,10096,0.88%
4/2/2020,9,5,,,,,,,,,,,,,,,,,86,10062,443273,11530,0.75%
4/3/2020,27,1,,,,,,,,,,,,,,,,,94,10156,455032,11759,0.80%
4/4/2020,7,4,,,,,,,,,,,,,,,,,81,10237,461233,6201,1.31%
4/5/2020,13,2,,,,,,,,,,,,,,,,,47,10284,466804,5571,0.84%
