UK,New Confirmed,Total Confirmed,New Deaths,Total Deaths,ICU,Total Active,Total Recovery,New Tested,Total Tested,Daily Positive Rate,Cumulative Positive Rate
sum,,,,,,,,,,,
3/11/2020,1,1,0,0,,,,,,,
3/12/2020,0,1,0,0,,,,,,,
3/13/2020,4,5,0,0,,,,,,,
3/14/2020,1,6,0,0,,,,,,,
3/15/2020,12,18,1,1,,,,,,,
3/16/2020,29,47,0,1,,,,,,,
3/17/2020,51,98,1,2,,,,,8002,,1.22%
3/18/2020,93,191,2,3,,,,2015,10017,4.62%,1.91%
3/19/2020,168,359,1,4,,,,1981,11998,8.48%,2.99%
3/20/2020,311,670,5,9,,,,3656,15624,8.51%,4.29%
3/21/2020,277,947,13,21,,,,2952,18604,9.38%,5.09%
3/22/2020,289,1236,9,30,,,,1738,20345,16.63%,6.08%
3/23/2020,293,1529,7,37,,,,3672,24017,7.98%,6.37%
3/24/2020,343,1872,7,44,,,,3952,27969,8.68%,6.69%
3/25/2020,561,2433,15,59,,,,5035,33004,11.14%,7.37%
3/26/2020,1196,3629,16,75,,,,7286,40290,16.42%,9.01%
3/27/2020,2069,5698,17,92,344,5564,,7533,47823,27.47%,11.91%
3/28/2020,1704,7402,16,108,445,7224,,7641,55464,22.30%,13.35%
3/29/2020,1815,9217,23,131,568,8981,,9982,65446,18.18%,14.08%
3/30/2020,1610,10827,37,168,725,10497,,11535,76981,13.96%,14.06%
3/31/2020,2704,13531,46,214,847,13074,,15422,92403,17.53%,14.64%
4/1/2020,2148,15679,63,277,979,15069,,14397,106799,14.92%,14.68%
4/2/2020,2456,18135,79,356,1101,17544,,18757,125556,13.09%,14.44%
4/3/2020,2786,20921,69,425,1251,20012,,16160,141716,17.24%,14.76%
4/4/2020,3013,23934,76,501,1311,22647,,19664,161380,15.32%,14.83%
4/5/2020,3135,27069,73,574,1381,25453,,20065,181445,15.62%,14.92%
4/6/2020,3148,30217,75,649,1415,28242,,21400,202845,14.71%,14.90%
4/7/2020,3892,34109,76,725,1464,31802,,20023,222868,19.44%,15.30%
4/8/2020,4117,38226,87,812,1492,35568,,24900,247768,16.53%,15.43%
4/9/2020,4056,42282,96,908,1552,39232,,28578,276346,14.19%,15.30%
4/10/2020,4747,47029,98,1006,1667,43600,,30864,307210,15.38%,15.31%
4/11/2020,5138,52167,95,1101,1626,48101,,33170,340380,15.49%,15.33%
4/12/2020,4789,56956,97,1198,1665,52312,,35720,376100,13.41%,15.14%
4/13/2020,4093,61049,98,1296,1786,55796,,34456,410556,11.88%,14.87%
4/14/2020,4062,65111,107,1403,1809,60312,,33070,443626,12.28%,14.68%
