UK,New Confirmed,Total Confirmed,New Deaths,Total Deaths,ICU,Total Active,Total Recovery,New Tested,Total Tested,Daily Positive Rate,Cumulative Positive Rate
sum,,,,,,,,,,,
2/22/2020,,,,,,,,,,,
2/23/2020,,,,,,,,,,,
2/27/2020,3,15,0,,,,,,7690,,0.20%
2/28/2020,5,20,0,,,,,1296,8986,0.39%,0.22%
2/29/2020,3,23,0,,,,,1497,10483,0.20%,0.22%
3/1/2020,12,35,0,,,,,1267,11750,0.95%,0.30%
3/2/2020,4,39,0,,,,,1775,13525,0.23%,0.29%
3/3/2020,12,51,0,,,,,386,13911,3.11%,0.37%
3/4/2020,36,87,0,,,,,2748,16659,1.31%,0.52%
3/5/2020,29,116,1,1,,,,1424,18083,2.04%,0.64%
3/6/2020,48,164,1,2,,,,2255,20338,2.13%,0.81%
3/7/2020,45,209,0,2,,,,1122,21460,4.01%,0.97%
3/8/2020,69,278,1,3,,,,2053,23513,3.36%,1.18%
3/9/2020,43,321,2,5,,,,1447,24960,2.97%,1.29%
3/10/2020,61,382,1,6,,,,1301,26261,4.69%,1.45%
3/11/2020,78,460,2,8,,,,1215,27476,6.42%,1.67%
3/12/2020,136,596,2,10,,,,1698,29174,8.01%,2.04%
3/13/2020,202,798,1,11,,,,3597,32771,5.62%,2.44%
3/14/2020,342,1140,10,21,,,,4975,37746,6.87%,3.02%
3/15/2020,251,1391,14,35,,,,2533,40279,9.91%,3.45%
3/16/2020,152,1543,20,55,,,,3826,44105,3.97%,3.50%
3/17/2020,407,1950,16,71,,,,6337,50442,6.42%,3.87%
3/18/2020,676,2626,32,103,,,,5779,56221,11.70%,4.67%
3/19/2020,643,3269,41,144,,,,8400,64621,7.65%,5.06%
3/20/2020,714,3983,33,177,,,,2355,66976,30.32%,5.95%
3/21/2020,1035,5018,56,233,,,,5824,72818,17.77%,6.89%
3/22/2020,665,5683,48,281,,,,5522,78340,12.04%,7.25%
3/23/2020,967,6650,54,335,,,,5605,83945,17.25%,7.92%
3/24/2020,1427,8077,87,422,,,,6491,90436,21.98%,8.93%
3/25/2020,1452,9529,156,578,,,,6583,97019,22.06%,9.82%
3/26/2020,2129,11658,181,759,,,,7847,104866,27.13%,11.12%
3/27/2020,2890,14548,260,1019,,,,8911,113777,32.43%,12.79%
3/28/2020,2556,17104,209,1228,,,,6999,120776,36.52%,14.16%
3/29/2020,2502,19606,180,1408,,,,6961,127737,35.94%,15.35%
3/30/2020,2665,22271,381,1789,,,,7209,134946,36.97%,16.50%
3/31/2020,3250,25521,563,2352,,,,8240,143186,39.44%,17.82%
4/1/2020,4567,30088,569,2921,,,,9793,152979,46.64%,19.67%
4/2/2020,4522,34610,684,3605,,,,10215,163194,44.27%,21.21%
4/3/2020,4672,39282,708,4313,,,,10590,173784,44.12%,22.60%
4/4/2020,4000,43282,621,4934,,,,9406,183190,42.53%,23.63%
4/5/2020,6199,49481,439,5373,,,,12334,195524,50.26%,25.31%
4/6/2020,4143,53624,786,6159,,,,13313,208837,31.12%,25.68%
4/7/2020,3888,57512,938,7097,,,,10912,219749,35.63%,26.17%
4/8/2020,5866,63377,881,7978,,,,12959,232708,45.27%,27.23%
4/9/2020,4675,68052,980,8958,,,,10713,243421,43.64%,27.96%
4/10/2020,5706,73758,917,9875,,,,13543,256605,42.13%,28.74%
4/11/2020,5234,78991,737,10612,,,,12993,269598,40.28%,29.30%
4/12/2020,5288,84279,717,11329,,,,12776,282374,41.39%,29.85%
4/13/2020,4342,88621,778,12107,,,,10745,290720,40.41%,30.48%
4/14/2020,5252,93873,,,,,,11879,302599,44.21%,31.02%
