,Hubei,Lombardy,California,Austria
1-20,270,,,
1-21,375,,,
1-22,444,,,
1-23,549,,,
1-24,729,,,
1-25,1052,,,
1-26,1423,,,
1-27,2714,,,
1-28,3554,,,
1-29,4586,,,
1-30,5806,,,
1-31,7153,,,
2-1,9074,,,
2-2,11177,,,
2-3,13522,,,
2-4,16678,,,
2-5,19655,,,
2-6,22112,,,
2-7,24953,,,
2-8,27100,,,
2-9,29631,,,
2-10,31728,,,
2-11,33366,,,
2-12,48206,,,
2-13,51986,,,
2-14,54406,,,
2-15,56249,,,
2-16,58182,,,
2-17,59989,,,
2-18,61682,,,
2-19,62457,,,
2-20,63088,,,
2-21,63454,15,,
2-22,64084,55,9,
2-23,64287,113,9,
2-24,64786,172,11,
2-25,65187,240,11,
2-26,65596,305,26,2
2-27,65914,403,26,3
2-28,66337,531,27,3
2-29,66907,615,28,9
3-1,67103,984,33,14
3-2,67217,1254,38,18
3-3,67332,1520,45,21
3-4,67466,1820,55,29
3-5,67592,2251,67,41
3-6,67666,2612,81,55
3-7,67707,3420,100,79
3-8,67743,4189,112,104
3-9,67760,5469,172,131
3-10,67773,5791,179,182
3-11,67781,8780,202,246
3-12,67786,8725,252,302
3-13,67790,9820,320,504
3-14,67794,11685,381,655
3-15,67798,13272,478,860
3-16,67799,14649,588,1018
3-17,67800,16220,732,1332
3-18,67800,17713,893,1646
3-19,67800,19884,1067,2013
3-20,67800,22264,1283,2388
3-21,67800,25515,1544,2814
3-22,67800,27206,1851,3582
3-23,67801,28761,2240,4474
3-24,67801,30703,2644,5283
3-25,67801,32346,3183,5588
3-26,67801,34889,4060,6909
43917,67801,37298,4914,7657
43918,67801,39415,5565,8271
43919,67801,41007,6266,8788
43920,67801,42161,7421,9618
43921,67802,43208,8582,10180
43922,67802,44773,9816,10711
43923,67802,46065,11190,11129
43924,67803,47520,12569,11524
43925,67803,49118,13796,11781
43926,67803,50455,15076,12051
43927,67803,51534,16284,12297
43928,67803,52325,17540,12639
43929,67803,53414,19043,12942
43930,67803,54802,20191,13244
43931,67803,56048,21366,13555
43932,67803,57592,,
