POSTCODE,05-26,06-03,06-04,06-05,06-06,06-07,06-08,06-09,06-10,06-11,06-12,06-13,06-14,06-15,06-17,06-18
85347,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85356,1,25,24,27,27,29,29,29,28,28,31,33,34,34,34,37
85365,76,138,156,197,221,257,268,290,303,322,371,385,407,424,455,487
85350,197,368,406,490,524,641,694,736,749,806,896,929,1003,1043,1080,1118
85367,20,30,33,41,44,47,48,50,56,60,70,73,83,89,104,111
85364,246,433,486,631,670,776,804,849,864,929,1002,1043,1112,1178,1247,1329
85349,163,262,270,298,338,347,378,383,399,397,421,431,434,439,475,496
85352,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
85336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85344,,,,,,,,,,,,,,,,
85348,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
85328,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85346,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
85334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86406,34,39,39,47,48,45,46,42,62,60,64,61,61,61,62,63
86401,70,72,72,73,76,76,76,76,76,74,79,80,80,85,86,90
86413,6,6,6,6,6,6,6,6,11,11,12,13,13,13,14,17
86404,12,15,15,17,17,18,19,19,19,20,21,22,22,22,21,23
86438,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86441,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86440,6,6,6,11,12,12,13,13,13,13,13,12,12,12,13,15
86409,60,67,67,66,66,65,65,65,66,66,67,67,67,68,68,70
86411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86426,6,16,21,23,23,27,29,29,28,32,35,37,37,40,41,42
86442,22,44,51,58,83,92,97,95,104,109,116,119,119,133,137,146
86429,1,1,1,1,1,1,1,1,1,6,6,6,6,6,11,11
85360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86433,14,28,28,28,32,32,33,34,34,34,34,37,37,37,37,37
86403,13,23,23,25,26,27,26,26,28,33,34,29,31,32,33,36
86444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86432,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,16
85607,24,38,40,48,48,58,62,67,74,77,81,96,103,104,125,142
85610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85621,104,208,243,280,292,318,330,341,374,443,461,501,532,544,647,678
85624,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85639,,,,,,,,,,,,,,,,
