OBJECTID,Place,תאריך,שעות שהייה,x,y
1938851,סופר-פארם אור יהודה - אור יהודה,19/7/2020,מ 2020-07-19 10:00 עד 2020-07-19 11:30,34.87056270000005,32.024463800000035
1938852,רמי לוי חדרה - חדרה,19/7/2020,מ 2020-07-19 07:00 עד 2020-07-19 13:30,34.90512680000006,32.45548960000008
1938853,מלון הים האדום - אילת,19/7/2020,מ 2020-07-19 08:00 עד 2020-07-19 23:30,34.952657000000045,29.554978600000027
1938854,Adika - קרית עקרון,19/7/2020,מ 2020-07-19 16:30 עד 2020-07-19 17:30,34.818352600000026,31.863533000000075
1938855,"המפלים הלבנים - עין הנצי""ב",19/7/2020,מ 2020-07-19 12:30 עד 2020-07-19 18:00,35.50384010000005,32.47556960000003
1938856,קפה גרג - ערערה,19/7/2020,מ 2020-07-19 10:00 עד 2020-07-19 12:00,35.074329300000045,32.501401600000065
1938857,דיסקונט Discount - טבריה,20/7/2020,מ 2020-07-20 12:50 עד 2020-07-20 14:00,35.54133360000003,32.78828710000005
1938858,כנסייה מורונית של הבשורה - נצרת,19/7/2020,מ 2020-07-19 18:00 עד 2020-07-19 19:00,35.288658000000055,32.707235000000026
1938859,"השמן והרזה בע""מ - בני ברק",19/7/2020,מ 2020-07-19 18:00 עד 2020-07-19 18:15,34.83095540000005,32.09300330000008
1938860,סופר-פארם שבזי ראש העין - ראש העין,19/7/2020,מ 2020-07-19 17:00 עד 2020-07-19 17:30,34.94826200000006,32.091103900000064
1938861,מרקט העיר פסגות אפק - ראש העין,19/7/2020,מ 2020-07-19 18:30 עד 2020-07-19 19:00,34.96924360000003,32.08652010000003
1938862,שופרסל דיל - טירת כרמל,19/7/2020,מ 2020-07-19 15:00 עד 2020-07-19 16:00,34.95944440000005,32.78305560000007
1938863,המרכז הרפואי יוספטל - אילת,20/7/2020,מ 2020-07-20 09:00 עד 2020-07-20 10:00,34.94035390000005,29.554470800000047
1938864,מצמיח ישועה לעולי לוב - אשקלון,19/7/2020,מ 2020-07-19 19:00 עד 2020-07-19 20:00,34.582030700000075,31.658823100000063
1938865,פאט ויני קריות - חיפה,19/7/2020,מ 2020-07-19 08:00 עד 2020-07-19 08:30,35.071790700000065,32.80983310000005
1938866,קלנסווה - קלנסווה,19/7/2020,מ 2020-07-19 10:30 עד 2020-07-19 12:00,34.98724600000003,32.284797000000026
1938867,כללית - אשקלון,20/7/2020,מ 2020-07-20 12:00 עד 2020-07-20 13:00,34.576678300000026,31.662979500000063
1938868,ויקטורי - אשקלון,20/7/2020,מ 2020-07-20 10:00 עד 2020-07-20 11:30,34.56327520000008,31.664189400000055
1938869,סופר דוש חולון - חולון,20/7/2020,מ 2020-07-20 11:00 עד 2020-07-20 12:30,34.77235360000003,32.002833500000065
1938870,כנסייה מורונית של הבשורה - נצרת,19/7/2020,מ 2020-07-19 18:00 עד 2020-07-19 19:00,35.288658000000055,32.707235000000026
1938871,"גלגלי הפלדה 2, כפר סבא",19/7/2020,מ 2020-07-19 07:00 עד 2020-07-19 16:00,34.92612800000006,32.17301700000007
1938872,"גלגלי הפלדה 2, כפר סבא",20/7/2020,מ 2020-07-20 07:00 עד 2020-07-20 16:00,34.92612800000006,32.17301700000007
1938873,אדונית התבלינים - פרדס חנה כרכור,19/7/2020,מ 2020-07-19 16:00 עד 2020-07-19 16:30,34.97136080000007,32.47698460000004
1938874,פלאות משחקי ילדות - פרדס חנה כרכור,19/7/2020,מ 2020-07-19 16:30 עד 2020-07-19 17:00,34.97197700000004,32.47692800000004
1938875,מאוחדת - פרדס חנה כרכור,19/7/2020,מ 2020-07-19 17:00 עד 2020-07-19 17:30,34.97339720000008,32.47367340000005
1938876,נפרומור אבן יהודה - אבן יהודה,18/7/2020,מ 2020-07-19 06:00 עד 2020-07-19 13:30,34.89067910000006,32.26922120000006
1938877,נפרומור אבן יהודה - אבן יהודה,19/7/2020,מ 2020-07-20 06:30 עד 2020-07-20 17:00,34.89067910000006,32.26922120000006
1938878,נפרומור אבן יהודה - אבן יהודה,21/7/2020,מ 2020-07-21 13:00 עד 2020-07-21 22:30,34.89067910000006,32.26922120000006
1938879,"תמנע 6, חולון",19/7/2020,מ 2020-07-19 15:30 עד 2020-07-19 16:00,34.79943470000006,32.02407380000005
1938880,טמרה פארם - טמרה,19/7/2020,מ 2020-07-19 08:00 עד 2020-07-19 20:00,35.19028100000003,32.85559800000004
1938881,טמרה פארם - טמרה,20/7/2020,מ 2020-07-20 08:00 עד 2020-07-20 20:00,35.19028100000003,32.85559800000004
1938882,טמרה פארם - טמרה,21/7/2020,מ 2020-07-21 08:00 עד 2020-07-21 20:00,35.19028100000003,32.85559800000004
1938883,כנסיית ישו הנער סלזיאנית - נצרת,19/7/2020,מ 2020-07-19 18:00 עד 2020-07-19 19:30,35.29488820000006,32.70702460000007
1938884,"קופ""ח לאומית - ערערה בנגב",20/7/2020,מ 2020-07-20 11:00 עד 2020-07-20 13:00,35.03930580000008,31.161381600000027
1938885,מאוחדת - ירושלים,20/7/2020,מ 2020-07-20 21:00 עד 2020-07-20 21:30,35.21027140000007,31.786972500000047
1938886,"רמב""ם 22, בני ברק",19/7/2020,מ 2020-07-19 08:30 עד 2020-07-19 13:30,34.82975630000004,32.08940350000006
1938887,"רמב""ם 22, בני ברק",20/7/2020,מ 2020-07-20 08:30 עד 2020-07-20 13:30,34.82975630000004,32.08940350000006
1938888,כללית בית מרקחת - ג'ת,19/7/2020,מ 2020-07-19 11:00 עד 2020-07-19 11:30,35.04226520000003,32.39675850000003
1938889,בית הדין השרעי בנצרת - נצרת,20/7/2020,מ 2020-07-20 09:30 עד 2020-07-20 10:30,35.29738770000006,32.700505400000054
1938890,יש חסד אלעד - אלעד,19/7/2020,מ 2020-07-19 14:00 עד 2020-07-19 14:30,34.95121940000007,32.05255900000003
1938891,מרכז מוסדות חינוך אלעד - אלעד,19/7/2020,מ 2020-07-19 15:00 עד 2020-07-19 18:00,34.955507700000055,32.04885580000007
1938892,שפע ברכה - בית שמש,20/7/2020,מ 2020-07-20 18:00 עד 2020-07-20 19:00,34.993120900000065,31.71073160000003
1938893,מכבי פארם - הרצליה,19/7/2020,מ 2020-07-19 10:00 עד 2020-07-19 11:00,34.840116600000044,32.16728020000005
1938894,סופר-פארם סוקולוב הרצליה - הרצליה,19/7/2020,מ 2020-07-19 10:00 עד 2020-07-19 11:00,34.84129500000006,32.16739970000003
1938895,שוק העיר אשקלון - אשקלון,20/7/2020,מ 2020-07-20 20:00 עד 2020-07-20 20:30,34.566831500000035,31.666664000000026
1938896,שוק העיר אשקלון - אשקלון,22/7/2020,מ 2020-07-22 09:00 עד 2020-07-22 09:30,34.566831500000035,31.666664000000026
1938897,אולמי ארמונות חן - בני ברק,19/7/2020,מ 2020-07-19 11:00 עד 2020-07-19 12:30,34.83916670000008,32.078611100000046
1938898,בורגוס בורגר בר - נוף הגליל,19/7/2020,מ 2020-07-19 16:30 עד 2020-07-19 17:00,35.30342150000007,32.693524500000024
1938899,קסטרו נצרת דודג' - נוף הגליל,19/7/2020,מ 2020-07-19 17:00 עד 2020-07-19 17:30,35.31208300000003,32.692961000000025
1938900,עופר הקניון הגדול פתח תקווה - פתח תקווה,19/7/2020,מ 2020-07-19 17:00 עד 2020-07-19 21:00,34.86534810000006,32.09329810000003
1938901,לאומית אשדוד סיטי - אשדוד,19/7/2020,מ 2020-07-19 08:00 עד 2020-07-19 13:00,34.641896200000076,31.788451800000075
1938902,לאומית אשדוד סיטי - אשדוד,20/7/2020,מ 2020-07-20 08:00 עד 2020-07-20 13:00,34.641896200000076,31.788451800000075
1938903,לוצ'נה אשדוד - אשדוד,20/7/2020,מ 2020-07-20 21:00 עד 2020-07-20 23:00,34.657857000000035,31.808469500000054
1938904,Ace - פתח תקווה,19/7/2020,מ 2020-07-19 14:30 עד 2020-07-19 15:00,34.89384910000007,32.10066560000007
1938905,כנסיית ישו הנער סלזיאנית - נצרת,19/7/2020,מ 2020-07-19 18:00 עד 2020-07-19 19:30,35.29488820000006,32.70702460000007
1938906,"סופר-פארם קניון שאול המלך ב""ש - באר שבע",19/7/2020,מ 2020-07-19 17:30 עד 2020-07-19 18:00,34.768151800000055,31.25778900000006
1938907,כנסיית ישו הנער סלזיאנית - נצרת,19/7/2020,מ 2020-07-19 18:00 עד 2020-07-19 19:00,35.29488820000006,32.70702460000007
1938908,שווארמה בכיכר - קרית גת,19/7/2020,מ 2020-07-19 13:00 עד 2020-07-19 14:00,34.75882290000004,31.603455000000057
1938909,מקס סטוק אשקלון - אשקלון,20/7/2020,מ 2020-07-20 10:00 עד 2020-07-20 10:30,34.60282890000008,31.669099300000028
1938910,מקס סטוק אשקלון - אשקלון,20/7/2020,מ 2020-07-20 13:30 עד 2020-07-20 14:00,34.60282890000008,31.669099300000028
1938911,אייס - קרית אתא,19/7/2020,מ 2020-07-19 19:00 עד 2020-07-19 19:30,35.07299430000006,32.81153400000005
1938912,רוניס אריחים - זכרון יעקב,19/7/2020,מ 2020-07-19 18:30 עד 2020-07-19 19:00,34.95786700000008,32.57434800000004
1938913,"הבנקים 24, טייבה",19/7/2020,מ 2020-07-19 07:00 עד 2020-07-19 07:20,35.00661760000003,32.26883840000005
1938914,שיפודי רחמים שמחה ובניו סניף אלחדיף טבריה - טבריה,19/7/2020,מ 2020-07-19 14:30 עד 2020-07-19 15:30,35.535222400000066,32.79207340000005
1938915,מחסני חשמל - סניף עין המפרץ - עין המפרץ,21/7/2020,מ 2020-07-21 09:00 עד 2020-07-21 09:30,35.09217750000005,32.901739500000076
1938916,קשת טעמים - ראשון לציון,19/7/2020,מ 2020-07-19 09:00 עד 2020-07-19 10:00,34.81239890000006,31.97387450000008
1938917,כל בו חצי חינם - פתח תקווה,19/7/2020,מ 2020-07-19 19:00 עד 2020-07-19 20:00,34.87553400000007,32.09949750000004
1938918,הפיראט האדום - פתח תקווה,19/7/2020,מ 2020-07-19 19:00 עד 2020-07-19 19:30,34.87549720000004,32.09943570000007
1938919,רביבה וסיליה רמת השרון - רמת השרון,19/7/2020,מ 2020-07-19 10:00 עד 2020-07-19 10:30,34.837057800000025,32.13666580000006
1938920,"מגה בעיר, הוד השרון - הוד השרון",20/7/2020,מ 2020-07-20 10:00 עד 2020-07-20 10:30,34.88817340000003,32.15889940000005
1938921,מגה בעיר - פתח תקווה,19/7/2020,מ 2020-07-19 12:00 עד 2020-07-19 13:00,34.889577100000054,32.09372920000004
1938922,Stop Market - נתניה,20/7/2020,מ 2020-07-20 13:30 עד 2020-07-20 14:30,34.861279800000034,32.27484970000006
1938923,שוק העיר - כפר סבא,19/7/2020,מ 2020-07-19 07:00 עד 2020-07-19 15:00,34.93413530000004,32.176252900000065
1938924,אושר עד - פתח תקווה,19/7/2020,מ 2020-07-19 09:50 עד 2020-07-19 10:30,34.89239410000005,32.105837000000065
1938925,יוחננוף - פתח תקווה,19/7/2020,מ 2020-07-19 10:40 עד 2020-07-19 11:00,34.894444400000054,32.10527780000007
1938926,כל בו חצי חינם - הוד השרון,19/7/2020,מ 2020-07-19 09:00 עד 2020-07-19 09:30,34.90192600000006,32.132119000000046
1938927,שפע ברכת השם - בני ברק,19/7/2020,מ 2020-07-19 14:00 עד 2020-07-19 14:30,34.838048800000024,32.08910320000007
1938928,עדן חומוס פול - הוד השרון,19/7/2020,מ 2020-07-19 15:00 עד 2020-07-19 15:40,34.89422500000006,32.15795560000004
1938929,רמי לוי - סניף בני ברק - רמת גן,19/7/2020,מ 2020-07-19 12:45 עד 2020-07-19 13:00,34.82986230000006,32.10180830000007
1938930,ויקטורי - רמת גן,19/7/2020,מ 2020-07-19 13:45 עד 2020-07-19 14:15,34.82421920000007,32.09845480000007
