date,California,Texas,Florida,New York,Illinois,Georgia,New Jersey,Arizona,Pennsylvania,North Carolina,Ohio,Tennessee,Michigan,Massachusetts,Wisconsin,Indiana,Louisiana,Virginia,Alabama,Missouri,Minnesota,South Carolina,Maryland,Iowa,Colorado,Washington,Mississippi,Oklahoma,Utah,Kentucky,Arkansas,Nevada,Connecticut,Kansas,Nebraska,Idaho,Puerto Rico,New Mexico,Oregon,Rhode Island,South Dakota,North Dakota,Delaware,Montana,West Virginia,District of Columbia,Alaska,New Hampshire,Wyoming,Hawaii,Maine,Guam,Vermont,Virgin Islands,Northern Mariana Islands
2020-02-22,9.0,4.0,,,2.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,
2020-02-23,9.0,4.0,,,2.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,
2020-02-24,11.0,10.0,,,2.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,5.0,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2020-02-25,11.0,10.0,,,2.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,5.0,,,1.0,,,,,,13.0,,,,,,,,,,,,,,,,,,,,
2020-02-26,26.0,10.0,,,2.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,5.0,,,1.0,,,,,,13.0,,,,,,,,,,,,,,,,,,,,
2020-02-27,26.0,10.0,,,2.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,5.0,,,1.0,,,,,,13.0,,,,,,,,,,,,,,,,,,,,
2020-02-28,27.0,11.0,,,2.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,7.0,,,1.0,,,,,,13.0,,,,1.0,,,,,,,,,,,,,,,,
2020-02-29,28.0,11.0,,,3.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,10.0,,,1.0,,,,,,13.0,,,,1.0,,,,,,,,,,,,,,,,
2020-03-01,33.0,11.0,2.0,1.0,3.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,17.0,,,1.0,,,,,,13.0,,,,2.0,2.0,,,,,,,,,,,,,,,
2020-03-02,38.0,11.0,2.0,1.0,4.0,2.0,,1.0,,,,,,2.0,1.0,,,,,,,,,,,23.0,,,1.0,,,,,,13.0,,,,2.0,2.0,,,,,,,,1.0,,,,,,,
2020-03-03,45.0,11.0,3.0,2.0,4.0,2.0,,2.0,,1.0,,,,2.0,1.0,,,,,,,,,,,32.0,,,1.0,,,,,,13.0,,,,2.0,2.0,,,,,,,,2.0,,,,,,,
2020-03-04,55.0,12.0,3.0,11.0,4.0,2.0,1.0,2.0,,1.0,,,,2.0,1.0,,,,,,,,,,,47.0,,,1.0,,,,,,13.0,,,,2.0,2.0,,,,,,,,2.0,,,,,,,
2020-03-05,67.0,16.0,4.0,22.0,5.0,2.0,2.0,2.0,,1.0,,1.0,,3.0,1.0,,,,,,,,3.0,,2.0,75.0,,,1.0,,,2.0,,,13.0,,,,2.0,2.0,,,,,,,,2.0,,,,,,,
2020-03-06,81.0,19.0,7.0,44.0,6.0,3.0,4.0,3.0,2.0,2.0,,1.0,,8.0,1.0,1.0,,,,,1.0,2.0,3.0,,8.0,86.0,,1.0,3.0,1.0,,2.0,,,14.0,,,,2.0,3.0,,,,,,,,2.0,,1.0,,,,,
2020-03-07,100.0,19.0,12.0,89.0,6.0,7.0,4.0,5.0,4.0,2.0,,1.0,,13.0,1.0,1.0,,1.0,,1.0,1.0,2.0,3.0,,8.0,110.0,,1.0,3.0,1.0,,2.0,,1.0,14.0,,,,6.0,3.0,,,,,,1.0,,4.0,,1.0,,,1.0,,
2020-03-08,112.0,23.0,13.0,106.0,7.0,11.0,6.0,5.0,6.0,2.0,,3.0,,28.0,1.0,2.0,,2.0,,1.0,2.0,6.0,5.0,3.0,8.0,141.0,,1.0,3.0,4.0,,4.0,1.0,1.0,16.0,,,,13.0,3.0,,,,,,1.0,,4.0,,2.0,,,1.0,,
2020-03-09,172.0,24.0,14.0,142.0,11.0,17.0,11.0,6.0,10.0,7.0,3.0,4.0,,41.0,2.0,4.0,1.0,5.0,,1.0,2.0,7.0,6.0,8.0,12.0,179.0,,1.0,3.0,5.0,,4.0,2.0,1.0,16.0,,,,13.0,3.0,,,,,,4.0,,4.0,,2.0,,,1.0,,
2020-03-10,179.0,31.0,23.0,173.0,19.0,22.0,15.0,6.0,12.0,7.0,3.0,7.0,2.0,92.0,3.0,6.0,6.0,8.0,,1.0,3.0,9.0,9.0,13.0,17.0,279.0,,2.0,4.0,7.0,,4.0,2.0,1.0,17.0,,,,14.0,5.0,5.0,,,,,4.0,,5.0,,2.0,,,1.0,,
