Date,NSW,VIC,QLD,SA,WA,ACT,TAS,NT
PRIOR,16,10,11,3,2,0,1,0
3/4/2020,6,0,0,2,0,0,0,0
3/5/2020,3,0,2,2,1,0,0,0
3/6/2020,3,0,1,0,0,0,0,0
3/7/2020,8,1,0,0,0,0,0,0
3/8/2020,4,1,1,0,1,0,1,0
3/9/2020,7,0,0,0,0,0,0,0
3/10/2020,14,3,3,0,0,0,0,0
3/11/2020,4,3,2,2,0,0,1,0
3/12/2020,13,9,7,3,0,1,0,0
3/13/2020,14,9,8,4,10,0,1,0
3/14/2020,20,13,11,3,0,0,1,0
3/15/2020,22,8,15,1,0,1,1,0
3/16/2020,37,14,7,9,14,0,1,0
3/17/2020,39,23,10,3,3,0,0,0
3/18/2020,57,27,16,5,4,1,3,0
3/19/2020,40,29,50,5,17,1,0,0
3/20/2020,46,28,40,8,12,2,0,3
3/21/2020,83,51,37,17,26,3,6,0
3/22/2020,97,67,38,33,30,10,6,0
3/23/2020,136,59,60,34,20,13,6,1
3/24/2020,149,-355,78,36,-140,-32,-28,-4
3/25/2020,211,0,46,27,0,0,0,0
3/26/2020,190,520,50,38,231,53,40,8
3/27/2020,186,54,62,22,24,9,6,4
3/28/2020,212,111,70,30,23,9,12,2
