Italy,Lombardia,Emilia - Romagna,Veneto,Piemonte,Toscana,Marche,Liguria,Lazio,Campania,P.A.Trento,Puglia,Friuli,Sicilia,Abruzzo,P.A.Bolzano,Umbria,Sardegna,Calabria,Valle d'Aosta,Basilicata,Molise
1/30/2020,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/21/2020,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/22/2020,40,2,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/23/2020,58,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/24/2020,59,9,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2/25/2020,68,8,12,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2/26/2020,65,22,42,0,0,3,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2/27/2020,98,49,24,1,0,0,8,0,2,0,0,0,1,1,0,0,0,0,0,0,0
2/28/2020,128,48,40,9,6,3,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0
2/29/2020,84,72,40,0,3,5,3,3,9,0,0,0,0,1,0,0,0,0,0,0,0
3/1/2020,369,68,72,38,2,14,0,0,4,0,0,6,3,3,0,2,0,0,0,0,0
3/2/2020,270,50,10,2,0,10,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0
3/3/2020,266,85,34,5,6,26,2,7,13,3,2,4,0,1,1,6,1,0,0,1,3
3/4/2020,300,124,53,26,19,23,2,16,1,2,3,5,11,1,0,1,1,0,0,0,0
3/5/2020,431,154,47,26,23,40,19,14,14,1,5,3,0,1,0,0,0,1,1,0,4
3/6/2020,361,172,81,35,18,35,-13,10,12,3,3,10,6,1,3,7,3,2,6,2,5
3/7/2020,808,140,55,64,34,48,19,22,4,4,9,11,11,2,5,8,0,0,1,0,2
3/8/2020,769,170,127,153,53,65,27,11,40,9,14,15,18,6,0,2,6,5,1,1,0
3/9/2020,1280,206,74,-10,42,51,31,15,18,10,10,36,1,13,0,2,8,2,6,1,0
3/10/2020,322,148,112,103,56,71,32,14,8,19,9,23,8,8,29,9,1,2,2,1,1
3/11/2020,1489,205,167,48,56,85,53,34,27,25,18,10,21,0,37,9,17,6,3,2,1
3/12/2020,1445,208,361,79,44,113,80,50,25,30,27,41,32,46,29,18,2,14,7,0,0
3/13/2020,1095,316,211,260,106,133,71,77,41,56,25,90,15,5,21,12,4,5,1,2,1
3/14/2020,1865,381,342,33,160,174,118,80,52,43,37,44,26,23,48,31,4,22,14,0,0
3/15/2020,1587,449,235,238,151,234,96,79,61,172,64,46,32,25,31,36,30,8,15,1,0
3/16/2020,1377,429,301,405,85,109,108,87,67,0,0,39,25,39,37,21,30,21,48,1,4
3/17/2020,1571,409,231,381,187,129,111,84,60,7,110,8,24,53,50,33,10,25,31,8,4
3/18/2020,1493,594,510,444,277,197,109,117,0,70,43,68,45,34,85,50,17,15,29,7,3
3/19/2020,2171,689,270,591,152,169,172,99,192,68,95,137,58,122,60,87,72,40,50,10,18
3/20/2020,2380,754,547,529,311,244,162,185,97,119,103,57,68,64,112,61,87,38,49,15,4
3/21/2020,3251,737,586,291,219,172,215,182,95,140,94,134,82,80,73,67,37,28,49,14,11
3/22/2020,1691,850,505,668,265,268,229,193,92,172,111,84,140,58,57,59,9,38,51,15,5
3/23/2020,1555,980,383,441,184,148,259,157,90,69,120,56,91,76,46,56,20,19,29,9,1
3/24/2020,1942,719,443,654,238,167,192,188,75,87,99,62,125,26,57,71,62,27,7,2,6
3/25/2020,1643,800,494,509,273,198,189,173,98,112,88,147,148,124,77,62,21,32,1,21,0
3/26/2020,2543,762,493,510,254,180,262,195,111,75,89,84,170,133,48,92,52,42,7,21,30
3/27/2020,2409,772,562,558,224,82,129,199,144,94,152,94,86,71,97,82,36,101,44,17,6
3/28/2020,2117,795,433,579,367,177,126,210,138,114,124,119,109,116,106,85,94,61,59,31,14
3/29/2020,1592,736,428,535,305,185,254,201,167,89,91,44,101,160,105,54,14,59,73,20,4
3/30/2020,1154,412,366,506,290,126,141,208,193,88,163,21,95,52,111,28,44,33,0,12,7
3/31/2020,1047,543,431,589,196,141,199,181,140,64,91,92,92,56,46,27,40,12,44,12,10
4/1/2020,1565,713,470,494,259,137,244,169,139,124,143,92,71,35,47,17,23,10,3,11,16
4/2/2020,1292,546,486,558,406,136,122,169,225,133,131,114,73,61,61,33,49,22,37,9,5
