Country/Other,#,Total Cases,Total Deaths,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Population,GDP Q2,GDP Q3
USA,1,8099350,221008,2649063,24428,667,331558077,-9.1,
India,2,7251918,110724,826653,5240,80,1383863737,-25.2,
Brazil,3,5114823,151063,436785,24014,709,212990988,-11.4,
Russia,4,1340409,23205,277499,9184,159,145952510,-8.5,
Spain,5,925341,33204,0,19789,710,46760002,-18.5,
Colombia,6,924098,28141,89254,18106,551,51036966,-15.7,
Argentina,7,917035,24572,150228,20237,542,45313862,-19.1,
Peru,8,853974,33419,66596,25799,1010,33101676,,
Mexico,9,825340,84420,139349,6382,653,129317680,-17.1,
France,10,756472,32942,620850,11582,504,65315063,-13.8,
South Africa,11,694537,18028,50935,11669,303,59520485,-51,
UK,12,634920,43018,0,9339,633,67988148,-20.4,
Iran,13,513219,29349,69039,6088,348,84297357,-10.1,
Chile,14,484280,13396,14385,25272,699,19162966,,
Iraq,15,413215,10021,55798,10209,248,40474126,,
Bangladesh,16,382959,5593,79917,2319,34,165156008,,
Italy,17,365467,36246,87193,6047,600,60436115,-12.4,
Philippines,18,346536,6449,46227,3151,59,109993725,,
Indonesia,19,344749,12156,64742,1257,44,274345412,-4.19,
Saudi Arabia,20,340590,5108,8662,9740,146,34966719,-7,
Turkey,21,338779,8957,32850,4005,106,84596849,-9.9,
Germany,22,338184,9752,46532,4033,116,83860904,-9.7,
Pakistan,23,320463,6601,8782,1443,30,222094055,,
Israel,24,297501,2067,46494,32346,225,9197590,,
Ukraine,25,276177,5229,152249,6326,120,43657300,,
Netherlands,26,196163,6663,0,11441,389,17145779,-8.5,
Canada,27,186881,9654,19741,4939,255,37836437,-12,
Belgium,28,173240,10244,142544,14929,883,11604089,,
Romania,29,164477,5601,36162,8566,292,19200311,,
Morocco,30,156946,2685,22799,4238,72,37034620,,
Ecuador,31,148171,12235,7802,8362,691,17718628,,
Poland,32,141804,3217,54740,3748,85,37834630,,
Bolivia,33,138922,8351,28488,11855,713,11718048,,
Czechia,34,129747,1106,68740,12109,103,10714700,,
Qatar,35,128603,220,2799,45802,78,2807805,,
Panama,36,121296,2511,21488,27988,579,4333910,,
Dominican Republic,37,119008,2183,21884,10939,201,10878844,,
Nepal,38,117996,675,36367,4029,23,29283977,,
Kuwait,39,113269,676,7357,26413,158,4288398,,
UAE,40,110039,450,7930,11088,45,9924276,,
Kazakhstan,41,108984,1768,2870,5785,94,18840385,,
Oman,42,107776,1061,12807,20957,206,5142653,,
Egypt,43,104787,6071,875,1019,59,102875668,,
Sweden,44,101332,5907,0,10016,584,10117275,-8.3,
Guatemala,45,98380,3410,7226,5463,189,18008559,,
