,onset,C_IR,D_IR,DR_IR,R_IR,RR_IR,C_SK,D_SK,DR_SK,R_SK,RR_SK,C_IT,D_IT,DR_IT,R_IT,RR_IT,C_CN,D_CN,DR_CN,R_CN,RR_CN
1/11/2020,1,,,,,,,,,,,,,,,,41,1,0.024390244,2,0.048780488
1/12/2020,2,,,,,,,,,,,,,,,,41,1,0.024390244,6,0.146341463
1/13/2020,3,,,,,,,,,,,,,,,,41,1,0.024390244,7,0.170731707
1/14/2020,4,,,,,,,,,,,,,,,,41,1,0.024390244,7,0.170731707
1/15/2020,5,,,,,,,,,,,,,,,,41,1,0.024390244,7,0.170731707
1/16/2020,6,,,,,,,,,,,,,,,,41,2,0.048780488,12,0.292682927
1/17/2020,7,,,,,,,,,,,,,,,,45,2,0.044444444,15,0.333333333
1/18/2020,8,,,,,,,,,,,,,,,,62,2,0.032258065,19,0.306451613
1/19/2020,9,,,,,,,,,,,,,,,,121,3,0.024793388,24,0.198347107
1/20/2020,10,,,,,,,,,,,,,,,,198,3,0.015151515,25,0.126262626
1/21/2020,11,,,,,,,,,,,,,,,,291,6,0.020618557,26,0.089347079
1/22/2020,12,,,,,,,,,,,,,,,,440,9,0.020454545,28,0.063636364
1/23/2020,13,,,,,,,,,,,,,,,,571,17,0.029772329,31,0.054290718
1/24/2020,14,,,,,,,,,,,,,,,,830,25,0.030120482,34,0.040963855
1/25/2020,15,,,,,,,,,,,,,,,,1287,41,0.031857032,38,0.02952603
1/26/2020,16,,,,,,,,,,,,,,,,1975,56,0.02835443,49,0.024810127
1/27/2020,17,,,,,,,,,,,,,,,,2744,80,0.029154519,51,0.018586006
1/28/2020,18,,,,,,,,,,,,,,,,4515,106,0.023477298,60,0.013289037
1/29/2020,19,,,,,,,,,,,,,,,,5974,132,0.022095748,103,0.017241379
1/30/2020,20,,,,,,,,,,,,,,,,7711,170,0.022046427,124,0.016080923
1/31/2020,21,,,,,,,,,,,,,,,,9692,213,0.021976888,171,0.017643417
2/1/2020,22,,,,,,,,,,,,,,,,11791,259,0.021965906,243,0.020608939
2/2/2020,23,,,,,,,,,,,,,,,,14380,304,0.021140473,328,0.022809458
2/3/2020,24,,,,,,,,,,,,,,,,17205,361,0.020982273,475,0.027608253
2/4/2020,25,,,,,,,,,,,,,,,,20438,425,0.020794598,632,0.030922791
2/5/2020,26,,,,,,,,,,,,,,,,24324,490,0.020144713,892,0.0366716
