Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop
USA,240529.0,25526.0,5810.0,708.0,10365.0,224354.0,5421.0,727.0,18.0
Italy,115242.0,4668.0,13915.0,760.0,18278.0,83049.0,4053.0,1906.0,230.0
Spain,112065.0,7947.0,10348.0,961.0,26743.0,74974.0,6092.0,2397.0,221.0
Germany,84788.0,6807.0,1107.0,176.0,22440.0,61241.0,3936.0,1012.0,13.0
France,59105.0,2116.0,5387.0,1355.0,12428.0,41290.0,6399.0,905.0,83.0
Iran,50468.0,2875.0,3160.0,124.0,16711.0,30597.0,3956.0,601.0,38.0
UK,33718.0,4244.0,2921.0,569.0,135.0,30662.0,163.0,497.0,43.0
Switzerland,18827.0,1059.0,536.0,48.0,4013.0,14278.0,348.0,2175.0,62.0
Turkey,18135.0,2456.0,356.0,79.0,415.0,17364.0,1101.0,215.0,4.0
Belgium,15348.0,1384.0,1011.0,183.0,2495.0,11842.0,1144.0,1324.0,87.0
Netherlands,14697.0,1083.0,1339.0,166.0,250.0,13108.0,1053.0,858.0,78.0
Canada,11131.0,1400.0,161.0,47.0,1906.0,9064.0,120.0,295.0,4.0
Austria,11123.0,412.0,158.0,12.0,1749.0,9216.0,227.0,1235.0,18.0
S. Korea,9976.0,89.0,169.0,4.0,5828.0,3979.0,55.0,195.0,3.0
Portugal,9034.0,783.0,209.0,22.0,68.0,8757.0,230.0,886.0,20.0
Brazil,7910.0,1030.0,299.0,57.0,127.0,7484.0,296.0,37.0,1.0
Israel,6857.0,765.0,36.0,10.0,338.0,6483.0,107.0,792.0,4.0
Sweden,5568.0,621.0,308.0,69.0,103.0,5157.0,429.0,551.0,30.0
Australia,5230.0,182.0,27.0,4.0,585.0,4618.0,50.0,205.0,1.0
Norway,5144.0,267.0,50.0,6.0,32.0,5062.0,96.0,949.0,9.0
Ireland,3849.0,402.0,98.0,13.0,5.0,3746.0,109.0,779.0,20.0
Czechia,3805.0,216.0,44.0,5.0,67.0,3694.0,72.0,355.0,4.0
Russia,3548.0,771.0,30.0,6.0,235.0,3283.0,8.0,24.0,0.2
Chile,3404.0,373.0,18.0,2.0,335.0,3051.0,31.0,178.0,0.9
Denmark,3386.0,279.0,123.0,19.0,1089.0,2174.0,153.0,585.0,21.0
Ecuador,3163.0,405.0,120.0,22.0,65.0,2978.0,100.0,179.0,7.0
Malaysia,3116.0,208.0,50.0,5.0,767.0,2299.0,105.0,96.0,2.0
Poland,2946.0,392.0,57.0,14.0,56.0,2833.0,50.0,78.0,2.0
Romania,2738.0,278.0,115.0,23.0,267.0,2356.0,78.0,142.0,6.0
Philippines,2633.0,322.0,107.0,11.0,51.0,2475.0,1.0,24.0,1.0
India,2536.0,538.0,72.0,14.0,191.0,2273.0,0.0,2.0,0.05
Luxembourg,2487.0,168.0,30.0,1.0,80.0,2377.0,31.0,3973.0,48.0
Pakistan,2421.0,303.0,34.0,7.0,125.0,2262.0,9.0,11.0,0.2
