Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop,Total Tests,Tests/1M pop
World,1192621.0,75978.0,64228.0,5058.0,246063.0,882330.0,42066.0,153.0,8.2,0.0,0.0
USA,305934.0,28773.0,8306.0,902.0,14686.0,282942.0,8073.0,924.0,25.0,1567003.0,4734.0
Spain,124736.0,5537.0,11744.0,546.0,34219.0,78773.0,6416.0,2668.0,251.0,355000.0,7593.0
Italy,124632.0,4805.0,15362.0,681.0,20996.0,88274.0,3994.0,2061.0,254.0,657224.0,10870.0
Germany,95637.0,4478.0,1395.0,120.0,26400.0,67842.0,3936.0,1141.0,17.0,918460.0,10962.0
France,89953.0,7788.0,7560.0,1053.0,15438.0,66955.0,6838.0,1378.0,116.0,224254.0,3436.0
Iran,55743.0,2560.0,3452.0,158.0,19736.0,32555.0,4103.0,664.0,41.0,80000.0,952.0
UK,41903.0,3735.0,4313.0,708.0,135.0,37455.0,163.0,617.0,64.0,183190.0,2698.0
Turkey,23934.0,3013.0,501.0,76.0,786.0,22647.0,1311.0,284.0,6.0,161380.0,1913.0
Switzerland,20505.0,899.0,666.0,75.0,6415.0,13424.0,391.0,2369.0,77.0,153440.0,17729.0
Belgium,18431.0,1661.0,1283.0,140.0,3247.0,13901.0,1245.0,1590.0,111.0,62867.0,5424.0
Netherlands,16627.0,904.0,1651.0,164.0,250.0,14726.0,1360.0,970.0,96.0,75415.0,4401.0
Canada,13872.0,1497.0,228.0,20.0,2565.0,11079.0,120.0,368.0,6.0,302745.0,8021.0
Austria,11781.0,257.0,186.0,18.0,2507.0,9088.0,245.0,1308.0,21.0,104134.0,11562.0
Portugal,10524.0,638.0,266.0,20.0,75.0,10183.0,251.0,1032.0,26.0,81087.0,7952.0
Brazil,10278.0,1084.0,431.0,68.0,127.0,9720.0,296.0,48.0,2.0,54824.0,258.0
S. Korea,10156.0,94.0,177.0,3.0,6325.0,3654.0,55.0,198.0,3.0,455032.0,8875.0
Israel,7851.0,423.0,44.0,4.0,427.0,7380.0,115.0,907.0,5.0,90394.0,10443.0
Sweden,6443.0,312.0,373.0,15.0,205.0,5865.0,379.0,638.0,37.0,36900.0,3654.0
Norway,5550.0,180.0,62.0,3.0,32.0,5456.0,98.0,1024.0,11.0,105865.0,19528.0
Australia,5550.0,96.0,30.0,2.0,585.0,4935.0,85.0,218.0,1.0,285675.0,11203.0
Russia,4731.0,582.0,43.0,9.0,333.0,4355.0,8.0,32.0,0.3,639000.0,4379.0
Ireland,4604.0,331.0,137.0,17.0,25.0,4442.0,148.0,932.0,28.0,30213.0,6119.0
Czechia,4362.0,172.0,59.0,6.0,78.0,4225.0,87.0,407.0,6.0,74170.0,6926.0
Chile,4161.0,424.0,27.0,5.0,528.0,3606.0,38.0,218.0,1.0,48613.0,2543.0
Denmark,4077.0,320.0,161.0,22.0,1283.0,2633.0,142.0,704.0,28.0,40863.0,7055.0
Poland,3627.0,244.0,79.0,8.0,116.0,3432.0,50.0,96.0,2.0,72901.0,1926.0
Romania,3613.0,430.0,146.0,13.0,329.0,3138.0,119.0,188.0,8.0,36092.0,1876.0
Malaysia,3483.0,150.0,57.0,4.0,915.0,2511.0,99.0,108.0,2.0,49570.0,1532.0
Ecuador,3465.0,97.0,172.0,27.0,100.0,3193.0,100.0,196.0,10.0,10317.0,585.0
Philippines,3094.0,76.0,144.0,8.0,57.0,2893.0,1.0,28.0,1.0,5530.0,50.0
India,3082.0,23.0,86.0,0.0,229.0,2767.0,0.0,2.0,0.06,116608.0,84.0
Japan,2935.0,0.0,69.0,0.0,514.0,2352.0,60.0,23.0,0.5,39446.0,312.0
Pakistan,2818.0,132.0,41.0,1.0,131.0,2646.0,13.0,13.0,0.2,30308.0,137.0
Luxembourg,2729.0,117.0,31.0,0.0,500.0,2198.0,35.0,4360.0,50.0,22793.0,36412.0
Saudi Arabia,2179.0,140.0,29.0,4.0,420.0,1730.0,41.0,63.0,0.8,0.0,0.0
Indonesia,2092.0,106.0,191.0,10.0,150.0,1751.0,0.0,8.0,0.7,7193.0,26.0
Thailand,2067.0,89.0,20.0,1.0,674.0,1373.0,23.0,30.0,0.3,23669.0,339.0
Finland,1882.0,267.0,25.0,5.0,300.0,1557.0,72.0,340.0,5.0,29000.0,5234.0
Peru,1746.0,151.0,73.0,12.0,914.0,759.0,88.0,53.0,2.0,17841.0,541.0
Mexico,1688.0,178.0,60.0,10.0,633.0,995.0,1.0,13.0,0.5,15668.0,122.0
