Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
North America,0.0,36171660.0,33790.0,824466.0,386.0,27885122.0,50638.0,7462072.0,15403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,21519738.0,10333.0,563445.0,158.0,19158710.0,16929.0,1797583.0,21439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,29333404.0,223531.0,434385.0,1689.0,26638043.0,171830.0,2260976.0,26296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,40434966.0,175729.0,926115.0,2175.0,28526811.0,109034.0,10982040.0,32602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,4302208.0,6407.0,114050.0,187.0,3855189.0,4768.0,332969.0,3069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,58156.0,447.0,1143.0,1.0,34602.0,15.0,22411.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,131820853.0,450237.0,2863619.0,4596.0,106099183.0,353214.0,22858051.0,98815.0,16911.0,367.4,0.0,0.0,0.0,0.0,0.0,0.0
USA,1.0,31411853.0,28727.0,568700.0,193.0,23938431.0,43799.0,6904722.0,8695.0,94481.0,1711.0,409318394.0,1231149.0,332468530.0,11.0,585.0,1.0
Brazil,2.0,12953597.0,0.0,330297.0,0.0,11305746.0,0.0,1317554.0,8318.0,60616.0,1546.0,28600000.0,133832.0,213699972.0,16.0,647.0,7.0
