Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop 
North America,725968.0,1408.0,36785.0,76.0,70684.0,618499.0,14459.0,0.0,0.0,0.0,0.0
Europe,1025196.0,9689.0,92794.0,570.0,282626.0,649776.0,27727.0,0.0,0.0,0.0,0.0
Asia,350799.0,4829.0,13890.0,1464.0,168722.0,168187.0,6436.0,0.0,0.0,0.0,0.0
South America,67860.0,269.0,3064.0,7.0,25994.0,38802.0,7601.0,0.0,0.0,0.0,0.0
Oceania,8029.0,63.0,76.0,4.0,4649.0,3304.0,64.0,0.0,0.0,0.0,0.0
Africa,19395.0,402.0,974.0,6.0,4736.0,13685.0,183.0,0.0,0.0,0.0,0.0
0,721.0,0.0,15.0,0.0,644.0,62.0,7.0,0.0,0.0,0.0,0.0
World,2197968.0,16660.0,147598.0,2127.0,558055.0,1492315.0,56477.0,282.0,18.9,0.0,0.0
USA,678210.0,640.0,34641.0,24.0,57844.0,585725.0,13369.0,2049.0,105.0,3411394.0,10306.0
Spain,184948.0,0.0,19315.0,0.0,74797.0,90836.0,7371.0,3956.0,413.0,930230.0,19896.0
Italy,168941.0,0.0,22170.0,0.0,40164.0,106607.0,2936.0,2794.0,367.0,1178403.0,19490.0
France,165027.0,0.0,17920.0,0.0,32812.0,114295.0,6248.0,2528.0,275.0,333807.0,5114.0
Germany,138273.0,575.0,4101.0,49.0,81800.0,52372.0,4288.0,1650.0,49.0,1728357.0,20629.0
UK,103093.0,0.0,13729.0,0.0,0.0,89020.0,1559.0,1519.0,202.0,417649.0,6152.0
Iran,79494.0,1499.0,4958.0,89.0,54064.0,20472.0,3563.0,946.0,59.0,319879.0,3808.0
Turkey,74193.0,0.0,1643.0,0.0,7089.0,65461.0,1854.0,880.0,19.0,518143.0,6144.0
Belgium,36138.0,1329.0,5163.0,306.0,7961.0,23014.0,1140.0,3118.0,445.0,139387.0,12027.0
Russia,32008.0,4070.0,273.0,41.0,2590.0,29145.0,8.0,219.0,2.0,1718019.0,11773.0
Brazil,30891.0,208.0,1952.0,5.0,14026.0,14913.0,6634.0,145.0,9.0,62985.0,296.0
Canada,30106.0,0.0,1195.0,0.0,9729.0,19182.0,557.0,798.0,32.0,487625.0,12920.0
Netherlands,29214.0,0.0,3315.0,0.0,250.0,25649.0,1279.0,1705.0,193.0,147948.0,8634.0
Switzerland,27078.0,346.0,1288.0,7.0,15900.0,9890.0,386.0,3129.0,149.0,206400.0,23849.0
Portugal,19022.0,181.0,657.0,28.0,519.0,17846.0,222.0,1866.0,64.0,221049.0,21678.0
Austria,14540.0,64.0,410.0,0.0,9704.0,4426.0,227.0,1614.0,46.0,169272.0,18795.0
India,13495.0,65.0,448.0,0.0,1777.0,11270.0,0.0,10.0,0.3,302956.0,220.0
Ireland,13271.0,0.0,486.0,0.0,77.0,12708.0,156.0,2688.0,98.0,90646.0,18358.0
Sweden,13216.0,676.0,1400.0,67.0,550.0,11266.0,482.0,1309.0,139.0,74600.0,7387.0
Israel,12855.0,97.0,148.0,6.0,2967.0,9740.0,182.0,1485.0,17.0,187250.0,21634.0
Peru,12491.0,0.0,274.0,0.0,6120.0,6097.0,169.0,379.0,8.0,121468.0,3684.0
S. Korea,10635.0,22.0,230.0,1.0,7829.0,2576.0,55.0,207.0,4.0,546463.0,10659.0
Japan,9231.0,0.0,190.0,0.0,935.0,8106.0,193.0,73.0,2.0,100703.0,796.0
Chile,8807.0,0.0,105.0,0.0,3299.0,5403.0,384.0,461.0,5.0,98424.0,5149.0
Ecuador,8225.0,0.0,403.0,0.0,838.0,6984.0,168.0,466.0,23.0,27868.0,1580.0
Poland,8214.0,296.0,318.0,4.0,866.0,7030.0,160.0,217.0,8.0,169071.0,4467.0
Romania,8067.0,360.0,400.0,8.0,1508.0,6159.0,258.0,419.0,21.0,85805.0,4460.0
Denmark,7073.0,194.0,336.0,15.0,3389.0,3348.0,93.0,1221.0,58.0,87024.0,15024.0
Pakistan,7025.0,106.0,135.0,7.0,1765.0,5125.0,46.0,32.0,0.6,84704.0,383.0
Norway,6905.0,0.0,158.0,6.0,32.0,6715.0,63.0,1274.0,29.0,136236.0,25130.0
Australia,6523.0,55.0,65.0,2.0,3819.0,2639.0,60.0,256.0,3.0,391530.0,15354.0
Czechia,6437.0,4.0,170.0,1.0,979.0,5288.0,82.0,601.0,16.0,154307.0,14409.0
Saudi Arabia,6380.0,0.0,83.0,0.0,990.0,5307.0,71.0,183.0,2.0,150000.0,4309.0
Mexico,6297.0,450.0,486.0,37.0,2125.0,3686.0,207.0,49.0,4.0,40091.0,311.0
Indonesia,5923.0,407.0,520.0,24.0,607.0,4796.0,0.0,22.0,2.0,37134.0,136.0
Philippines,5878.0,218.0,387.0,25.0,487.0,5004.0,1.0,54.0,4.0,48171.0,440.0
UAE,5825.0,0.0,35.0,0.0,1095.0,4695.0,1.0,589.0,4.0,767000.0,77550.0
Serbia,5318.0,0.0,103.0,0.0,443.0,4772.0,120.0,609.0,12.0,29472.0,3373.0
Malaysia,5251.0,69.0,86.0,2.0,2967.0,2198.0,51.0,162.0,3.0,96695.0,2988.0
Singapore,5050.0,623.0,10.0,0.0,683.0,4357.0,29.0,863.0,2.0,94796.0,16203.0
Belarus,4779.0,575.0,42.0,2.0,342.0,4395.0,65.0,506.0,4.0,86813.0,9187.0
Qatar,4663.0,560.0,7.0,0.0,464.0,4192.0,37.0,1619.0,2.0,58328.0,20245.0
Ukraine,4662.0,501.0,125.0,9.0,246.0,4291.0,45.0,107.0,3.0,47096.0,1077.0
Panama,4016.0,265.0,109.0,6.0,98.0,3809.0,99.0,931.0,25.0,17850.0,4137.0
Dominican Republic,3755.0,0.0,196.0,0.0,215.0,3344.0,121.0,346.0,18.0,12229.0,1127.0
Finland,3489.0,120.0,75.0,0.0,1700.0,1714.0,76.0,630.0,14.0,49700.0,8970.0
Luxembourg,3444.0,0.0,69.0,0.0,552.0,2823.0,35.0,5502.0,110.0,31660.0,50577.0
