Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
North America,0.0,6909180.0,13560.0,258835.0,769.0,3861897.0,4602.0,2788448.0,21341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,5716429.0,1602.0,187866.0,185.0,4261706.0,7365.0,1266857.0,14901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,6239550.0,24703.0,129381.0,473.0,4921956.0,36358.0,1188213.0,18977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,3346535.0,11709.0,205285.0,167.0,1984246.0,5424.0,1157004.0,5189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,1184161.0,799.0,27659.0,10.0,903505.0,604.0,252997.0,1214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,27196.0,213.0,529.0,17.0,21162.0,477.0,5505.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,0.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,23423772.0,52586.0,809570.0,1621.0,15955123.0,54830.0,6659079.0,61676.0,3005.0,103.9,0.0,0.0,0.0,0.0,0.0,0.0
USA,1.0,5847502.0,6074.0,180278.0,104.0,3148160.0,80.0,2519064.0,16740.0,17651.0,544.0,75536081.0,228011.0,331282824.0,57.0,1838.0,4.0
Brazil,2.0,3583308.0,610.0,114287.0,10.0,2709638.0,0.0,759383.0,8318.0,16841.0,537.0,14144344.0,66475.0,212776644.0,59.0,1862.0,15.0
India,3.0,3050326.0,6890.0,56883.0,37.0,2282358.0,2458.0,711085.0,8944.0,2207.0,41.0,35292220.0,25538.0,1381937641.0,453.0,24294.0,39.0
Russia,4.0,956749.0,4852.0,16383.0,73.0,770639.0,3162.0,169727.0,2300.0,6556.0,112.0,34447560.0,236033.0,145943650.0,153.0,8908.0,4.0
South Africa,5.0,607045.0,0.0,12987.0,0.0,504127.0,0.0,89931.0,539.0,10217.0,219.0,3535067.0,59499.0,59414253.0,98.0,4575.0,17.0
Peru,6.0,585236.0,0.0,27453.0,0.0,391144.0,0.0,166639.0,1506.0,17715.0,831.0,2950589.0,89313.0,33036403.0,56.0,1203.0,11.0
Mexico,7.0,556216.0,6482.0,60254.0,644.0,380492.0,4083.0,115470.0,3450.0,4308.0,467.0,1253432.0,9707.0,129125341.0,232.0,2143.0,103.0
Colombia,8.0,533103.0,0.0,16968.0,0.0,359792.0,0.0,156343.0,1493.0,10461.0,333.0,2450441.0,48086.0,50959957.0,96.0,3003.0,21.0
Spain,9.0,407879.0,0.0,28838.0,0.0,0.0,0.0,0.0,541.0,8723.0,617.0,7955615.0,170147.0,46757437.0,115.0,1621.0,6.0
Chile,10.0,395708.0,0.0,10792.0,0.0,369730.0,0.0,15186.0,1058.0,20675.0,564.0,2172028.0,113483.0,19139679.0,48.0,1774.0,9.0
Iran,11.0,358905.0,2113.0,20643.0,141.0,309464.0,1762.0,28798.0,3841.0,4265.0,245.0,3036711.0,36089.0,84144619.0,234.0,4076.0,28.0
Argentina,12.0,336802.0,0.0,6947.0,99.0,251400.0,5619.0,78455.0,1907.0,7442.0,154.0,1092556.0,24142.0,45254997.0,134.0,6514.0,41.0
UK,13.0,324601.0,0.0,41423.0,0.0,0.0,0.0,0.0,76.0,4778.0,610.0,15177265.0,223400.0,67937586.0,209.0,1640.0,4.0
Saudi Arabia,14.0,307479.0,1109.0,3649.0,30.0,280143.0,1702.0,23687.0,1644.0,8813.0,105.0,4501104.0,129010.0,34889636.0,113.0,9561.0,8.0
