Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
North America,0.0,20244668.0,209403.0,465321.0,3624.0,12278303.0,95723.0,7501044.0,33642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,19491897.0,105286.0,318145.0,1428.0,17721298.0,118921.0,1452454.0,27313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,12268244.0,95254.0,345519.0,1582.0,10856769.0,61635.0,1065956.0,16804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,20699104.0,245386.0,478917.0,5241.0,9822016.0,142096.0,10398171.0,26596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,2463979.0,20129.0,57909.0,383.0,2081477.0,14511.0,324593.0,2761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,47160.0,187.0,1044.0,3.0,33257.0,5.0,12859.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,75215773.0,675645.0,1666870.0,12261.0,52793826.0,432891.0,20755077.0,107135.0,9649.0,213.8,0.0,0.0,0.0,0.0,0.0,0.0
USA,1.0,17587979.0,191082.0,317458.0,2807.0,10250929.0,80141.0,7019592.0,28247.0,52992.0,956.0,228247406.0,687706.0,331896850.0,19.0,1045.0,1.0
India,2.0,9977760.0,26688.0,144829.0,342.0,9519928.0,30785.0,313003.0,8944.0,7198.0,104.0,157805240.0,113837.0,1386234317.0,139.0,9572.0,9.0
Brazil,3.0,7111527.0,68832.0,184876.0,1054.0,6177702.0,45019.0,748949.0,8318.0,33348.0,867.0,25700000.0,120513.0,213254796.0,30.0,1154.0,8.0
Russia,4.0,2762668.0,28214.0,49151.0,587.0,2202540.0,26440.0,510977.0,2300.0,18927.0,337.0,84364808.0,577986.0,145963415.0,53.0,2970.0,2.0
France,5.0,2427316.0,18254.0,59619.0,258.0,181506.0,1195.0,2186191.0,2808.0,37149.0,912.0,29698029.0,454514.0,65340247.0,27.0,1096.0,2.0
Turkey,6.0,1955680.0,27515.0,17364.0,243.0,1721607.0,30494.0,216709.0,5803.0,23074.0,205.0,21901694.0,258410.0,84755454.0,43.0,4881.0,4.0
UK,7.0,1948660.0,35383.0,66052.0,532.0,0.0,0.0,0.0,1340.0,28636.0,971.0,49178863.0,722683.0,68050379.0,35.0,1030.0,1.0
Italy,8.0,1906377.0,18236.0,67220.0,683.0,1203814.0,27913.0,635343.0,2855.0,31552.0,1113.0,24868550.0,411590.0,60420630.0,32.0,899.0,2.0
Spain,9.0,1805633.0,11081.0,48777.0,181.0,0.0,0.0,0.0,1955.0,38612.0,1043.0,24918644.0,532869.0,46763157.0,26.0,959.0,2.0
Argentina,10.0,1524372.0,7326.0,41534.0,169.0,1352556.0,4642.0,130282.0,3471.0,33587.0,915.0,4405320.0,97063.0,45386312.0,30.0,1093.0,10.0
Colombia,11.0,1468795.0,12196.0,39787.0,227.0,1343819.0,7653.0,85189.0,2578.0,28726.0,778.0,7310768.0,142979.0,51131746.0,35.0,1285.0,7.0
Germany,12.0,1438438.0,30951.0,25165.0,724.0,1047600.0,22600.0,365673.0,4836.0,17143.0,300.0,31974158.0,381064.0,83907628.0,58.0,3334.0,3.0
Mexico,13.0,1277499.0,10297.0,115769.0,670.0,945673.0,7584.0,216057.0,3778.0,9861.0,894.0,3269134.0,25234.0,129554406.0,101.0,1119.0,40.0
Poland,14.0,1171854.0,11953.0,24345.0,431.0,903349.0,10699.0,244160.0,1721.0,30979.0,644.0,6805515.0,179910.0,37827409.0,32.0,1554.0,6.0
