Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
North America,0.0,4300262.0,70457.0,191532.0,1422.0,2019907.0,32180.0,2088823.0,19934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,3099717.0,50271.0,111834.0,1563.0,2069627.0,120307.0,918256.0,13680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,3193821.0,62937.0,75198.0,1311.0,2252159.0,50014.0,866464.0,19984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,2628520.0,14429.0,198159.0,394.0,1558843.0,12677.0,871518.0,5285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,664371.0,17398.0,14348.0,319.0,343993.0,8193.0,306030.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,12479.0,324.0,135.0,2.0,9641.0,108.0,2703.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,0.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,13899891.0,215816.0,591221.0,5011.0,8254821.0,223479.0,5053849.0,59918.0,1783.0,75.8,0.0,0.0,0.0,0.0,0.0,0.0
USA,1.0,3677936.0,61109.0,140926.0,782.0,1671951.0,25989.0,1865059.0,16450.0,11109.0,426.0,45496416.0,137417.0,331081677.0,90.0,2349.0,7.0
Brazil,2.0,2012151.0,41242.0,76688.0,1165.0,1366775.0,111211.0,568688.0,8318.0,9464.0,361.0,4911063.0,23098.0,212620008.0,106.0,2773.0,43.0
India,3.0,1005637.0,35468.0,25609.0,680.0,636602.0,22867.0,343426.0,8944.0,728.0,19.0,12739490.0,9228.0,1380530110.0,1373.0,53908.0,108.0
Russia,4.0,752797.0,6428.0,11937.0,167.0,531692.0,8443.0,209168.0,2300.0,5158.0,82.0,24053516.0,164821.0,145937175.0,194.0,12226.0,6.0
Peru,5.0,341586.0,3862.0,12615.0,198.0,230994.0,4594.0,97977.0,1302.0,10355.0,382.0,2003963.0,60747.0,32988703.0,97.0,2615.0,16.0
South Africa,6.0,324221.0,13172.0,4669.0,216.0,165591.0,4898.0,153961.0,539.0,5464.0,79.0,2324923.0,39182.0,59336622.0,183.0,12709.0,26.0
Chile,7.0,323698.0,2493.0,7290.0,104.0,295301.0,3216.0,21107.0,1821.0,16927.0,381.0,1351904.0,70696.0,19122661.0,59.0,2623.0,14.0
Mexico,8.0,317635.0,6149.0,36906.0,579.0,199129.0,5153.0,81600.0,378.0,2463.0,286.0,768457.0,5958.0,128984785.0,406.0,3495.0,168.0
Spain,9.0,305935.0,1361.0,28416.0,3.0,0.0,0.0,0.0,617.0,6543.0,608.0,6026446.0,128893.0,46755564.0,153.0,1645.0,8.0
UK,10.0,292552.0,641.0,45119.0,66.0,0.0,0.0,0.0,145.0,4309.0,664.0,12461869.0,183531.0,67900637.0,232.0,1505.0,5.0
Iran,11.0,267061.0,2500.0,13608.0,198.0,230608.0,3047.0,22845.0,3471.0,3178.0,162.0,2073791.0,24678.0,84033003.0,315.0,6175.0,41.0
Pakistan,12.0,257914.0,2145.0,5426.0,40.0,178737.0,5927.0,73751.0,1942.0,1167.0,25.0,1652183.0,7475.0,221037609.0,857.0,40737.0,134.0
Italy,13.0,243736.0,230.0,35017.0,20.0,196246.0,230.0,12473.0,53.0,4032.0,579.0,6103492.0,100954.0,60457891.0,248.0,1727.0,10.0
Saudi Arabia,14.0,243238.0,2764.0,2370.0,45.0,187622.0,4574.0,53246.0,2206.0,6983.0,68.0,2494873.0,71623.0,34833307.0,143.0,14698.0,14.0
Turkey,15.0,216873.0,933.0,5440.0,21.0,198820.0,1087.0,12613.0,1213.0,2570.0,64.0,4149909.0,49185.0,84373811.0,389.0,15510.0,20.0
Germany,16.0,201832.0,580.0,9157.0,9.0,186400.0,400.0,6275.0,255.0,2409.0,109.0,6884614.0,82160.0,83795199.0,415.0,9151.0,12.0
Bangladesh,17.0,196323.0,2733.0,2496.0,39.0,106963.0,1440.0,86864.0,1.0,1192.0,15.0,993291.0,6029.0,164752852.0,839.0,66007.0,166.0
France,18.0,173838.0,534.0,30138.0,18.0,79036.0,216.0,64664.0,481.0,2663.0,462.0,2602581.0,39868.0,65279649.0,376.0,2166.0,25.0
Colombia,19.0,165169.0,0.0,5814.0,0.0,71736.0,0.0,87619.0,1027.0,3245.0,114.0,1108148.0,21770.0,50903682.0,308.0,8755.0,46.0
Argentina,20.0,111146.0,0.0,2050.0,0.0,47298.0,0.0,61798.0,752.0,2458.0,45.0,495065.0,10950.0,45211980.0,407.0,22055.0,91.0
Canada,21.0,109080.0,251.0,8825.0,15.0,72782.0,297.0,27473.0,2173.0,2889.0,234.0,3341893.0,88515.0,37755152.0,346.0,4278.0,11.0
Qatar,22.0,105477.0,494.0,152.0,1.0,102168.0,531.0,3157.0,135.0,37566.0,54.0,430661.0,153380.0,2807805.0,27.0,18472.0,7.0
Iraq,23.0,86148.0,2281.0,3522.0,90.0,54316.0,1695.0,28310.0,382.0,2140.0,87.0,744847.0,18505.0,40251640.0,467.0,11429.0,54.0
Egypt,24.0,85771.0,928.0,4120.0,53.0,26691.0,556.0,54960.0,41.0,838.0,40.0,135000.0,1318.0,102400332.0,1194.0,24854.0,759.0
Indonesia,25.0,81668.0,1574.0,3873.0,76.0,40345.0,1295.0,37450.0,0.0,298.0,14.0,1146286.0,4189.0,273634614.0,3351.0,70652.0,239.0
Sweden,26.0,76877.0,115.0,5593.0,10.0,0.0,0.0,0.0,81.0,7610.0,554.0,681820.0,67495.0,10101817.0,131.0,1806.0,15.0
Ecuador,27.0,71365.0,1036.0,5207.0,49.0,31260.0,619.0,34898.0,313.0,4043.0,295.0,194578.0,11023.0,17652711.0,247.0,3390.0,91.0
Belarus,28.0,65623.0,180.0,485.0,5.0,56915.0,536.0,8223.0,89.0,6945.0,51.0,1162280.0,123003.0,9449187.0,144.0,19483.0,8.0
Kazakhstan,29.0,65188.0,1674.0,375.0,0.0,39066.0,1058.0,25747.0,221.0,3470.0,20.0,1737546.0,92496.0,18785170.0,288.0,50094.0,11.0
Belgium,30.0,63039.0,167.0,9792.0,4.0,17253.0,11.0,35994.0,27.0,5438.0,845.0,1412925.0,121891.0,11591714.0,184.0,1184.0,8.0
Oman,31.0,62574.0,1327.0,290.0,9.0,40090.0,1052.0,22194.0,149.0,12244.0,57.0,258148.0,50512.0,5110615.0,82.0,17623.0,20.0
Philippines,32.0,61266.0,2498.0,1643.0,29.0,21440.0,464.0,38183.0,647.0,559.0,15.0,1062804.0,9694.0,109635041.0,1789.0,66729.0,103.0
Kuwait,33.0,57668.0,791.0,402.0,3.0,47545.0,648.0,9721.0,142.0,13496.0,94.0,449525.0,105205.0,4272860.0,74.0,10629.0,10.0
Ukraine,34.0,56455.0,848.0,1445.0,18.0,28931.0,800.0,26079.0,79.0,1291.0,33.0,840332.0,19220.0,43721568.0,774.0,30257.0,52.0
UAE,35.0,56129.0,281.0,335.0,0.0,47412.0,994.0,8382.0,1.0,5673.0,34.0,4316763.0,436262.0,9894897.0,176.0,29537.0,2.0
Bolivia,36.0,52218.0,1351.0,1942.0,44.0,16357.0,538.0,33919.0,71.0,4471.0,166.0,114270.0,9784.0,11678886.0,224.0,6014.0,102.0
Netherlands,37.0,51351.0,99.0,6137.0,1.0,0.0,0.0,0.0,15.0,2997.0,358.0,764079.0,44588.0,17136483.0,334.0,2792.0,22.0
Panama,38.0,49243.0,0.0,982.0,0.0,25417.0,0.0,22844.0,157.0,11406.0,227.0,174345.0,40384.0,4317196.0,88.0,4396.0,25.0
Dominican Republic,39.0,48743.0,1072.0,941.0,12.0,23636.0,177.0,24166.0,246.0,4492.0,87.0,201669.0,18583.0,10852115.0,223.0,11533.0,54.0
Portugal,40.0,47765.0,339.0,1679.0,3.0,32476.0,366.0,13610.0,72.0,4685.0,165.0,1396902.0,137013.0,10195373.0,213.0,6072.0,7.0
Singapore,41.0,47126.0,248.0,27.0,0.0,43256.0,268.0,3843.0,0.0,8053.0,5.0,1009532.0,172506.0,5852170.0,124.0,216747.0,6.0
Israel,42.0,46059.0,1871.0,384.0,8.0,20370.0,381.0,25305.0,202.0,5008.0,42.0,1379491.0,149984.0,9197590.0,200.0,23952.0,7.0
Poland,43.0,39054.0,333.0,1605.0,11.0,28928.0,436.0,8521.0,68.0,1032.0,42.0,1886089.0,49837.0,37844784.0,969.0,23579.0,20.0
Bahrain,44.0,35084.0,524.0,121.0,4.0,30809.0,489.0,4154.0,48.0,20600.0,71.0,703002.0,412780.0,1703093.0,49.0,14075.0,2.0
Afghanistan,45.0,35070.0,76.0,1113.0,19.0,22824.0,368.0,11133.0,31.0,900.0,29.0,82352.0,2114.0,38956620.0,1111.0,35001.0,473.0
Romania,46.0,35003.0,777.0,1971.0,19.0,22189.0,140.0,10843.0,261.0,1820.0,102.0,906015.0,47111.0,19231695.0,549.0,9757.0,21.0
Nigeria,47.0,34259.0,0.0,760.0,0.0,13999.0,0.0,19500.0,7.0,166.0,4.0,199016.0,965.0,206298262.0,6022.0,271445.0,1037.0
Armenia,48.0,33559.0,554.0,607.0,15.0,21931.0,583.0,11021.0,10.0,11324.0,205.0,141410.0,47718.0,2963479.0,88.0,4882.0,21.0
Switzerland,49.0,33290.0,142.0,1969.0,1.0,29900.0,100.0,1421.0,21.0,3845.0,227.0,708370.0,81825.0,8657154.0,260.0,4397.0,12.0
Guatemala,50.0,32074.0,0.0,1350.0,0.0,4624.0,0.0,26100.0,5.0,1789.0,75.0,64590.0,3603.0,17926950.0,559.0,13279.0,278.0
Honduras,51.0,30036.0,930.0,825.0,18.0,3379.0,92.0,25832.0,58.0,3031.0,83.0,49308.0,4975.0,9910227.0,330.0,12012.0,201.0
Azerbaijan,52.0,26165.0,493.0,334.0,8.0,17256.0,561.0,8575.0,66.0,2580.0,33.0,601500.0,59303.0,10142755.0,388.0,30368.0,17.0
Ghana,53.0,26125.0,695.0,139.0,0.0,22270.0,759.0,3716.0,8.0,840.0,4.0,339491.0,10918.0,31094417.0,1190.0,223701.0,92.0
Ireland,54.0,25698.0,15.0,1749.0,1.0,23364.0,0.0,585.0,9.0,5202.0,354.0,532062.0,107707.0,4939886.0,192.0,2824.0,9.0
Japan,55.0,22508.0,0.0,984.0,0.0,18545.0,0.0,2979.0,38.0,178.0,8.0,586706.0,4639.0,126459029.0,5618.0,128515.0,216.0
Algeria,56.0,21355.0,585.0,1052.0,12.0,15107.0,315.0,5196.0,61.0,487.0,24.0,0.0,0.0,43878420.0,2055.0,41710.0,0.0
Moldova,57.0,20264.0,224.0,666.0,7.0,13640.0,342.0,5958.0,358.0,5024.0,165.0,101180.0,25085.0,4033544.0,199.0,6056.0,40.0
Serbia,58.0,19717.0,383.0,442.0,13.0,14047.0,0.0,5228.0,177.0,2257.0,51.0,524578.0,60049.0,8735770.0,443.0,19764.0,17.0
Austria,59.0,19270.0,116.0,711.0,1.0,17244.0,69.0,1315.0,11.0,2139.0,79.0,726345.0,80629.0,9008494.0,467.0,12670.0,12.0
Nepal,60.0,17344.0,167.0,39.0,0.0,11249.0,224.0,6056.0,0.0,595.0,1.0,616212.0,21136.0,29154945.0,1681.0,747563.0,47.0
Morocco,61.0,16545.0,283.0,263.0,4.0,13965.0,144.0,2317.0,31.0,448.0,7.0,953715.0,25827.0,36927069.0,2232.0,140407.0,39.0
Cameroon,62.0,15173.0,0.0,359.0,0.0,11928.0,0.0,2886.0,52.0,571.0,14.0,120837.0,4548.0,26566347.0,1751.0,74001.0,220.0
