Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
North America,0.0,2085010.0,18582.0,125320.0,592.0,748649.0,1211041.0,19257.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,894237.0,16293.0,40493.0,412.0,356399.0,497345.0,11399.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,2034226.0,14445.0,174654.0,932.0,993952.0,865620.0,8748.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,1163762.0,26965.0,31269.0,492.0,712870.0,419623.0,13657.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,154305.0,5530.0,4344.0,99.0,65706.0,84255.0,345.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,8814.0,10.0,125.0,0.0,8201.0,488.0,3.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0
World,0.0,6341075.0,81825.0,376220.0,2527.0,2886428.0,3078427.0,53413.0,814.0,48.3,0.0,0.0,0.0
USA,1.0,1850762.0,13592.0,106586.0,391.0,607892.0,1136284.0,16958.0,5594.0,322.0,17990117.0,54377.0,330843477.0
Brazil,2.0,519704.0,4855.0,29534.0,220.0,206555.0,283615.0,8318.0,2446.0,139.0,930013.0,4378.0,212434518.0
Russia,3.0,414878.0,9035.0,4855.0,162.0,175877.0,234146.0,2300.0,2843.0,33.0,10923108.0,74852.0,145929507.0
Spain,4.0,286718.0,209.0,27127.0,0.0,196958.0,62633.0,617.0,6133.0,580.0,4063843.0,86921.0,46753345.0
UK,5.0,276332.0,1570.0,39045.0,556.0,0.0,0.0,1559.0,4072.0,575.0,4285738.0,63158.0,67856881.0
Italy,6.0,233197.0,200.0,33475.0,60.0,158355.0,41367.0,424.0,3856.0,554.0,3910133.0,64664.0,60468778.0
India,7.0,198370.0,7761.0,5608.0,200.0,95754.0,97008.0,8944.0,144.0,4.0,3837207.0,2783.0,1378863296.0
France,8.0,189220.0,338.0,28833.0,31.0,68440.0,91947.0,1302.0,2899.0,442.0,1384633.0,21217.0,65261942.0
Germany,9.0,183744.0,250.0,8618.0,13.0,165900.0,9226.0,677.0,2194.0,103.0,3952971.0,47193.0,83762346.0
Peru,10.0,170039.0,5563.0,4634.0,128.0,68507.0,96898.0,988.0,5163.0,141.0,1076659.0,32693.0,32932217.0
Turkey,11.0,164769.0,827.0,4563.0,23.0,128947.0,31259.0,651.0,1955.0,54.0,2070719.0,24575.0,84262291.0
Iran,12.0,154445.0,2979.0,7878.0,81.0,121004.0,25563.0,2578.0,1841.0,94.0,955865.0,11393.0,83900826.0
Chile,13.0,105159.0,5471.0,1113.0,59.0,44946.0,59100.0,1446.0,5505.0,58.0,599330.0,31374.0,19102509.0
Canada,14.0,91647.0,700.0,7325.0,30.0,49476.0,34846.0,1641.0,2430.0,194.0,1691297.0,44845.0,37714510.0
Mexico,15.0,90664.0,3152.0,9930.0,151.0,64326.0,16408.0,378.0,704.0,77.0,270992.0,2104.0,128818338.0
Saudi Arabia,16.0,87142.0,1881.0,525.0,22.0,64306.0,22311.0,384.0,2506.0,15.0,822769.0,23666.0,34766601.0
Pakistan,17.0,72460.0,2964.0,1543.0,60.0,26083.0,44834.0,111.0,329.0,7.0,561136.0,2545.0,220509385.0
Belgium,18.0,58517.0,136.0,9486.0,19.0,15919.0,33112.0,163.0,5051.0,819.0,876306.0,75638.0,11585527.0
Qatar,19.0,58433.0,1523.0,40.0,2.0,33437.0,24956.0,240.0,20312.0,14.0,225919.0,78532.0,2876776.0
Bangladesh,20.0,49534.0,2381.0,672.0,22.0,10597.0,38265.0,1.0,301.0,4.0,320969.0,1951.0,164551275.0
Netherlands,21.0,46545.0,103.0,5962.0,6.0,0.0,0.0,158.0,2717.0,348.0,349496.0,20400.0,17131835.0
Belarus,22.0,43403.0,847.0,240.0,5.0,18776.0,24387.0,92.0,4593.0,25.0,553377.0,58561.0,9449568.0
Ecuador,23.0,39098.0,0.0,3358.0,0.0,19592.0,16148.0,220.0,2219.0,191.0,117422.0,6664.0,17619752.0
Sweden,24.0,37814.0,272.0,4403.0,8.0,4971.0,28440.0,267.0,3746.0,436.0,238800.0,23657.0,10094088.0
Singapore,25.0,35292.0,408.0,24.0,1.0,22466.0,12802.0,7.0,6036.0,4.0,334691.0,57246.0,5846520.0
UAE,26.0,35192.0,635.0,266.0,2.0,18338.0,16588.0,1.0,3562.0,27.0,2110493.0,213608.0,9880208.0
South Africa,27.0,34357.0,1674.0,705.0,22.0,17291.0,16361.0,128.0,580.0,12.0,742742.0,12537.0,59244691.0
Portugal,28.0,32700.0,200.0,1424.0,14.0,19552.0,11724.0,64.0,3206.0,140.0,812415.0,79656.0,10199012.0
Switzerland,29.0,30871.0,9.0,1920.0,0.0,28500.0,451.0,28.0,3569.0,222.0,399215.0,46155.0,8649383.0
Colombia,30.0,29383.0,0.0,939.0,0.0,8543.0,19901.0,136.0,578.0,18.0,319779.0,6290.0,50837039.0
Kuwait,31.0,27762.0,719.0,220.0,8.0,12899.0,14643.0,204.0,6509.0,52.0,290013.0,67997.0,4265091.0
Indonesia,32.0,26940.0,467.0,1641.0,28.0,7637.0,17662.0,0.0,99.0,6.0,333415.0,1220.0,273279215.0
Egypt,33.0,26384.0,1399.0,1005.0,46.0,6447.0,18932.0,41.0,258.0,10.0,135000.0,1321.0,102162663.0
Ireland,34.0,25062.0,72.0,1650.0,0.0,22089.0,1323.0,36.0,5080.0,334.0,325795.0,66043.0,4933108.0
Poland,35.0,24165.0,379.0,1074.0,10.0,11449.0,11642.0,160.0,638.0,28.0,931520.0,24611.0,37849860.0
Ukraine,36.0,24012.0,340.0,718.0,10.0,9690.0,13604.0,283.0,549.0,16.0,363187.0,8301.0,43753702.0
Romania,37.0,19398.0,141.0,1276.0,10.0,13426.0,4696.0,159.0,1008.0,66.0,443252.0,23029.0,19247388.0
Philippines,38.0,18638.0,552.0,960.0,3.0,3979.0,13699.0,73.0,170.0,9.0,358676.0,3277.0,109455699.0
Dominican Republic,39.0,17572.0,287.0,502.0,0.0,10893.0,6177.0,110.0,1621.0,46.0,81647.0,7533.0,10838750.0
Israel,40.0,17169.0,98.0,285.0,0.0,14878.0,2006.0,33.0,1867.0,31.0,568452.0,61804.0,9197590.0
Japan,41.0,16851.0,0.0,891.0,0.0,14459.0,1501.0,119.0,133.0,7.0,290436.0,2296.0,126506424.0
Argentina,42.0,16851.0,0.0,541.0,2.0,5521.0,10789.0,274.0,373.0,12.0,164084.0,3633.0,45161038.0
Austria,43.0,16733.0,2.0,668.0,0.0,15596.0,469.0,29.0,1859.0,74.0,451820.0,50190.0,9002188.0
Afghanistan,44.0,15750.0,545.0,265.0,8.0,1428.0,14057.0,19.0,405.0,7.0,39628.0,1020.0,38848565.0
Panama,45.0,13463.0,0.0,336.0,0.0,9514.0,3613.0,79.0,3125.0,78.0,67730.0,15719.0,4308839.0
Oman,46.0,12223.0,786.0,50.0,1.0,2682.0,9491.0,31.0,2399.0,10.0,100181.0,19664.0,5094596.0
Bahrain,47.0,11871.0,473.0,19.0,0.0,7070.0,4782.0,11.0,7000.0,11.0,322054.0,189915.0,1695780.0
Denmark,48.0,11699.0,30.0,576.0,2.0,10412.0,711.0,20.0,2020.0,99.0,637738.0,110134.0,5790554.0
S. Korea,49.0,11503.0,35.0,271.0,1.0,10422.0,810.0,15.0,224.0,5.0,921391.0,17973.0,51265682.0
Serbia,50.0,11430.0,18.0,244.0,1.0,6726.0,4460.0,9.0,1308.0,28.0,247760.0,28348.0,8740077.0
Kazakhstan,51.0,11308.0,450.0,41.0,1.0,5587.0,5680.0,62.0,603.0,2.0,828377.0,44162.0,18757562.0
Nigeria,52.0,10162.0,0.0,287.0,0.0,3007.0,6868.0,7.0,49.0,1.0,60825.0,296.0,205668183.0
Bolivia,53.0,9982.0,390.0,313.0,3.0,968.0,8701.0,3.0,856.0,27.0,28239.0,2422.0,11659305.0
