Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
North America,0.0,2867875.0,6803.0,159839.0,989.0,1300267.0,5263.0,1407769.0,19457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,1927875.0,1098.0,76056.0,31.0,1098279.0,495.0,753540.0,12589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,2366094.0,9184.0,189227.0,153.0,1310118.0,8552.0,866749.0,6081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,2044617.0,18527.0,51419.0,438.0,1315105.0,12355.0,678093.0,19153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,339436.0,670.0,8891.0,2.0,163673.0,166.0,166872.0,892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,9186.0,40.0,126.0,1.0,8522.0,17.0,538.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,0.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,9555804.0,36322.0,485573.0,1614.0,5196615.0,26848.0,3873616.0,58178.0,1226.0,62.3,0.0,0.0,0.0,0.0,0.0,0.0
USA,1.0,2462713.0,159.0,124282.0,1.0,1040608.0,3.0,1297823.0,16541.0,7441.0,376.0,30062259.0,90831.0,330970517.0,134.0,2663.0,11.0
Brazil,2.0,1192474.0,0.0,53874.0,0.0,649908.0,0.0,488692.0,8318.0,5611.0,253.0,2751953.0,12948.0,212533446.0,178.0,3945.0,77.0
Russia,3.0,613994.0,7113.0,8605.0,92.0,375164.0,6342.0,230225.0,2300.0,4207.0,59.0,18115830.0,124137.0,145933597.0,238.0,16959.0,8.0
India,4.0,474272.0,1287.0,14914.0,7.0,271934.0,246.0,187424.0,8944.0,344.0,11.0,7560782.0,5480.0,1379752264.0,2909.0,92514.0,182.0
UK,5.0,306862.0,0.0,43081.0,0.0,0.0,0.0,0.0,311.0,4521.0,635.0,8542186.0,125842.0,67880218.0,221.0,1576.0,8.0
Spain,6.0,294166.0,0.0,28327.0,0.0,0.0,0.0,0.0,617.0,6292.0,606.0,5162909.0,110426.0,46754528.0,159.0,1651.0,9.0
Peru,7.0,264689.0,0.0,8586.0,0.0,151589.0,0.0,104514.0,1166.0,8030.0,260.0,1561653.0,47377.0,32962343.0,125.0,3839.0,21.0
Chile,8.0,254416.0,0.0,4731.0,0.0,215093.0,0.0,34592.0,2046.0,13311.0,248.0,1007635.0,52719.0,19113257.0,75.0,4040.0,19.0
Italy,9.0,239410.0,0.0,34644.0,0.0,186111.0,0.0,18655.0,107.0,3960.0,573.0,5107093.0,84466.0,60462972.0,253.0,1745.0,12.0
Iran,10.0,215096.0,2595.0,10130.0,134.0,175103.0,3007.0,29863.0,2899.0,2562.0,121.0,1530437.0,18226.0,83971321.0,390.0,8289.0,55.0
Mexico,11.0,196847.0,5437.0,24324.0,947.0,149318.0,4870.0,23205.0,378.0,1527.0,189.0,515658.0,4000.0,128907110.0,655.0,5300.0,250.0
Germany,12.0,193254.0,0.0,9003.0,0.0,176800.0,500.0,7451.0,331.0,2307.0,107.0,5412655.0,64606.0,83779867.0,434.0,9306.0,15.0
Pakistan,13.0,192970.0,4044.0,3903.0,148.0,81307.0,3553.0,107760.0,3003.0,874.0,18.0,1171976.0,5308.0,220791105.0,1144.0,56570.0,188.0
Turkey,14.0,191657.0,0.0,5025.0,0.0,164234.0,0.0,22398.0,914.0,2273.0,60.0,3083121.0,36564.0,84321768.0,440.0,16780.0,27.0
Saudi Arabia,15.0,167267.0,0.0,1387.0,0.0,112797.0,0.0,53083.0,2129.0,4806.0,40.0,1407508.0,40443.0,34802177.0,208.0,25092.0,25.0
France,16.0,161348.0,0.0,29731.0,0.0,75127.0,0.0,56490.0,658.0,2472.0,455.0,1384633.0,21213.0,65271385.0,405.0,2195.0,47.0
Bangladesh,17.0,126606.0,3946.0,1621.0,39.0,51495.0,1829.0,73490.0,1.0,769.0,10.0,681443.0,4139.0,164658783.0,1301.0,101579.0,242.0
South Africa,18.0,111796.0,0.0,2205.0,0.0,56874.0,0.0,52717.0,539.0,1885.0,37.0,1416894.0,23896.0,59293721.0,530.0,26891.0,42.0
Canada,19.0,102242.0,0.0,8484.0,0.0,65091.0,0.0,28667.0,2058.0,2709.0,225.0,2518650.0,66744.0,37736186.0,369.0,4448.0,15.0
Qatar,20.0,90778.0,0.0,104.0,0.0,73083.0,0.0,17591.0,219.0,32331.0,37.0,333172.0,118659.0,2807805.0,31.0,26998.0,8.0
Colombia,21.0,77113.0,0.0,2491.0,0.0,31671.0,0.0,42951.0,335.0,1516.0,49.0,651592.0,12808.0,50872582.0,660.0,20423.0,78.0
Sweden,22.0,62324.0,0.0,5209.0,0.0,0.0,0.0,0.0,193.0,6172.0,516.0,444607.0,44028.0,10098211.0,162.0,1939.0,23.0
Belgium,23.0,61007.0,109.0,9726.0,4.0,16771.0,0.0,34510.0,40.0,5264.0,839.0,1161971.0,100266.0,11588827.0,190.0,1192.0,10.0
