Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop
China,81285.0,67.0,3287.0,6.0,74051.0,3947.0,1235.0,56.0,2.0
USA,82179.0,13968.0,1177.0,150.0,1864.0,79138.0,2112.0,248.0,4.0
Italy,80589.0,6203.0,8215.0,712.0,10361.0,62013.0,3612.0,1333.0,136.0
Spain,56347.0,6832.0,4154.0,507.0,7015.0,45178.0,3166.0,1205.0,89.0
Germany,43646.0,6323.0,262.0,56.0,5673.0,37711.0,23.0,521.0,3.0
Iran,29406.0,2389.0,2234.0,157.0,10457.0,16715.0,2746.0,350.0,27.0
France,29155.0,3922.0,1696.0,365.0,4948.0,22511.0,3375.0,447.0,26.0
Switzerland,11811.0,914.0,191.0,38.0,131.0,11489.0,141.0,1365.0,22.0
UK,11658.0,2129.0,578.0,115.0,135.0,10945.0,163.0,172.0,9.0
S. Korea,9241.0,104.0,131.0,5.0,4144.0,4966.0,59.0,180.0,3.0
Netherlands,7431.0,1019.0,434.0,78.0,3.0,6994.0,761.0,434.0,25.0
Austria,6847.0,1259.0,49.0,18.0,112.0,6686.0,28.0,760.0,5.0
Belgium,6235.0,1298.0,220.0,42.0,675.0,5340.0,605.0,538.0,19.0
Canada,3910.0,501.0,39.0,3.0,199.0,3672.0,120.0,104.0,1.0
Turkey,3629.0,1196.0,75.0,16.0,26.0,3528.0,136.0,43.0,0.9
Portugal,3544.0,549.0,60.0,17.0,43.0,3441.0,61.0,348.0,6.0
Norway,3346.0,262.0,14.0,0.0,6.0,3326.0,70.0,617.0,3.0
Australia,2985.0,309.0,13.0,2.0,170.0,2802.0,11.0,117.0,0.5
Brazil,2915.0,361.0,77.0,18.0,6.0,2832.0,18.0,14.0,0.4
Sweden,2840.0,314.0,77.0,15.0,16.0,2747.0,176.0,281.0,8.0
Israel,2693.0,324.0,8.0,3.0,68.0,2617.0,46.0,311.0,0.9
Malaysia,2031.0,235.0,23.0,3.0,215.0,1793.0,45.0,63.0,0.7
Czechia,1925.0,271.0,9.0,3.0,10.0,1906.0,34.0,180.0,0.8
Denmark,1877.0,153.0,41.0,7.0,1.0,1835.0,94.0,324.0,7.0
