Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
North America,0.0,35783878.0,66893.0,817258.0,1128.0,27475139.0,80707.0,7491481.0,15304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,21013114.0,106799.0,547485.0,3777.0,18647361.0,20656.0,1818268.0,21075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,28308848.0,159797.0,426625.0,1299.0,25980329.0,109095.0,1901894.0,25361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,39360232.0,170565.0,909132.0,3747.0,27846645.0,119083.0,10604455.0,31279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,4238257.0,10232.0,112737.0,250.0,3804570.0,8556.0,320950.0,2753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,56640.0,311.0,1138.0,7.0,34546.0,12.0,20956.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,128761690.0,514597.0,2814390.0,10208.0,103789296.0,338109.0,22158004.0,95778.0,16519.0,361.1,0.0,0.0,0.0,0.0,0.0,0.0
USA,1.0,31092463.0,58303.0,564083.0,815.0,23581481.0,72045.0,6946899.0,8688.0,93527.0,1697.0,401968612.0,1209139.0,332442063.0,11.0,589.0,1.0
Brazil,2.0,12658109.0,80755.0,317646.0,3378.0,10969247.0,0.0,1371216.0,8318.0,59239.0,1487.0,28600000.0,133845.0,213679362.0,17.0,673.0,7.0
India,3.0,12148405.0,53076.0,162502.0,355.0,11432029.0,41200.0,553874.0,8944.0,8740.0,117.0,242650025.0,174562.0,1390049468.0,114.0,8554.0,6.0
France,4.0,4585385.0,30702.0,95337.0,348.0,292796.0,1986.0,4197252.0,5072.0,70134.0,1458.0,63999096.0,978867.0,65380777.0,14.0,686.0,1.0
Russia,5.0,4536820.0,8277.0,98442.0,409.0,4155996.0,9588.0,282382.0,2300.0,31078.0,674.0,119900000.0,821340.0,145980966.0,32.0,1483.0,1.0
UK,6.0,4341736.0,4040.0,126670.0,56.0,3835218.0,14039.0,379848.0,583.0,63708.0,1859.0,124452321.0,1826139.0,68150531.0,16.0,538.0,1.0
Italy,7.0,3561012.0,16017.0,108879.0,529.0,2889301.0,18687.0,562832.0,3716.0,58961.0,1803.0,49551436.0,820446.0,60395708.0,17.0,555.0,1.0
Turkey,8.0,3277880.0,37303.0,31385.0,155.0,2995033.0,19925.0,251462.0,2054.0,38558.0,369.0,38338045.0,450979.0,85010709.0,26.0,2709.0,2.0
Spain,9.0,3275819.0,4994.0,75305.0,106.0,3042352.0,4177.0,158162.0,1844.0,70044.0,1610.0,42707830.0,913180.0,46768236.0,14.0,621.0,1.0
Germany,10.0,2809510.0,13110.0,76833.0,234.0,2507900.0,13100.0,224777.0,3573.0,33453.0,915.0,48979281.0,583206.0,83982825.0,30.0,1093.0,2.0
