Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop 
North America,1403648.0,27747.0,84707.0,2280.0,267285.0,1051656.0,17986.0,0.0,0.0,0.0,0.0
Europe,1553394.0,28490.0,148446.0,1815.0,611516.0,793432.0,15405.0,0.0,0.0,0.0,0.0
Asia,618280.0,15215.0,21183.0,377.0,338218.0,258879.0,5201.0,0.0,0.0,0.0,0.0
South America,258881.0,7270.0,12985.0,160.0,89773.0,156123.0,9986.0,0.0,0.0,0.0,0.0
Africa,54680.0,1967.0,2071.0,56.0,18892.0,33717.0,171.0,0.0,0.0,0.0,0.0
Oceania,8489.0,22.0,118.0,0.0,7467.0,904.0,26.0,0.0,0.0,0.0,0.0
0,721.0,0.0,15.0,0.0,645.0,61.0,4.0,0.0,0.0,0.0,0.0
World,3898093.0,80711.0,269525.0,4688.0,1333796.0,2294772.0,48779.0,500.0,34.6,0.0,0.0
USA,1287083.0,23991.0,76678.0,1879.0,214844.0,995561.0,16813.0,3888.0,232.0,7810624.0,23597.0
Spain,256855.0,3173.0,26070.0,213.0,163919.0,66866.0,2075.0,5494.0,558.0,1932455.0,41332.0
Italy,215858.0,1401.0,29958.0,274.0,96276.0,89624.0,1311.0,3570.0,495.0,2381288.0,39385.0
UK,206715.0,5614.0,30615.0,539.0,0.0,175756.0,1559.0,3045.0,451.0,1534533.0,22605.0
Russia,177160.0,11231.0,1625.0,88.0,23803.0,151732.0,2300.0,1214.0,11.0,4803192.0,32913.0
France,174791.0,600.0,25987.0,178.0,55027.0,93777.0,2961.0,2678.0,398.0,1100228.0,16856.0
Germany,169175.0,1013.0,7379.0,104.0,139900.0,21896.0,1823.0,2019.0,88.0,2755770.0,32891.0
Turkey,133721.0,1977.0,3641.0,57.0,82984.0,47096.0,1260.0,1586.0,43.0,1265119.0,15000.0
Brazil,127655.0,1044.0,8609.0,21.0,51370.0,67676.0,8318.0,601.0,41.0,339552.0,1597.0
Iran,103135.0,1485.0,6486.0,68.0,82744.0,13905.0,2728.0,1228.0,77.0,544702.0,6485.0
Canada,64817.0,1321.0,4404.0,172.0,28954.0,31459.0,502.0,1717.0,117.0,973558.0,25795.0
Peru,58526.0,3709.0,1627.0,94.0,18388.0,38511.0,722.0,1775.0,49.0,448020.0,13588.0
India,56351.0,3364.0,1889.0,104.0,16776.0,37686.0,0.0,41.0,1.0,1357413.0,984.0
Belgium,51420.0,639.0,8415.0,76.0,12980.0,30025.0,538.0,4437.0,726.0,493325.0,42566.0
Netherlands,41774.0,455.0,5288.0,84.0,0.0,36236.0,584.0,2438.0,309.0,249655.0,14570.0
Saudi Arabia,33731.0,1793.0,219.0,10.0,7798.0,25714.0,145.0,969.0,6.0,405685.0,11653.0
Ecuador,30298.0,878.0,1654.0,36.0,3433.0,25211.0,156.0,1717.0,94.0,83218.0,4717.0
Switzerland,30126.0,66.0,1810.0,5.0,25900.0,2416.0,121.0,3481.0,209.0,290365.0,33550.0
Mexico,27634.0,1609.0,2704.0,197.0,17781.0,7149.0,378.0,214.0,21.0,105664.0,820.0
Portugal,26715.0,533.0,1105.0,16.0,2258.0,23352.0,135.0,2620.0,108.0,485925.0,47655.0
Pakistan,24644.0,1430.0,585.0,41.0,6464.0,17595.0,111.0,112.0,3.0,244778.0,1108.0
Sweden,24623.0,705.0,3040.0,99.0,4971.0,16612.0,425.0,2438.0,301.0,148500.0,14704.0
Chile,24581.0,1533.0,285.0,4.0,11664.0,12632.0,493.0,1286.0,15.0,244226.0,12776.0
Ireland,22385.0,137.0,1403.0,28.0,17110.0,3872.0,93.0,4533.0,284.0,214761.0,43493.0
Singapore,20939.0,741.0,20.0,0.0,1712.0,19207.0,19.0,3579.0,3.0,175604.0,30016.0
Belarus,20168.0,913.0,116.0,4.0,5067.0,14985.0,92.0,2134.0,12.0,229466.0,24284.0
Qatar,18890.0,918.0,12.0,0.0,2286.0,16592.0,72.0,6557.0,4.0,116495.0,40435.0
Israel,16381.0,71.0,240.0,1.0,10873.0,5268.0,83.0,1893.0,28.0,432453.0,49963.0
UAE,16240.0,502.0,165.0,8.0,3572.0,12503.0,1.0,1642.0,17.0,1200000.0,121330.0
Austria,15752.0,68.0,609.0,1.0,13698.0,1445.0,92.0,1749.0,68.0,292254.0,32450.0
Japan,15253.0,0.0,556.0,0.0,4496.0,10201.0,308.0,121.0,4.0,186343.0,1473.0
Poland,15047.0,307.0,755.0,22.0,4862.0,9430.0,160.0,398.0,20.0,425994.0,11256.0
Romania,14499.0,392.0,888.0,24.0,6144.0,7467.0,234.0,754.0,46.0,226613.0,11780.0
Ukraine,13691.0,507.0,340.0,13.0,2396.0,10955.0,178.0,313.0,8.0,151569.0,3466.0
Indonesia,12776.0,338.0,930.0,35.0,2381.0,9465.0,0.0,47.0,3.0,134151.0,490.0
Bangladesh,12425.0,706.0,199.0,13.0,1910.0,10316.0,1.0,75.0,1.0,105513.0,641.0
S. Korea,10810.0,4.0,256.0,1.0,9419.0,1135.0,55.0,211.0,5.0,649388.0,12666.0
Philippines,10343.0,339.0,685.0,27.0,1618.0,8040.0,31.0,94.0,6.0,144583.0,1319.0
Denmark,10083.0,145.0,514.0,8.0,7711.0,1858.0,43.0,1741.0,89.0,284480.0,49114.0
Serbia,9848.0,57.0,206.0,3.0,2160.0,7482.0,46.0,1127.0,24.0,122995.0,14077.0
Dominican Republic,9095.0,288.0,373.0,11.0,2064.0,6658.0,133.0,838.0,34.0,36959.0,3407.0
Colombia,8959.0,0.0,397.0,0.0,2148.0,6414.0,123.0,176.0,8.0,131110.0,2577.0
South Africa,8232.0,424.0,161.0,8.0,3153.0,4918.0,36.0,139.0,3.0,292153.0,4926.0
Norway,8015.0,19.0,217.0,1.0,32.0,7766.0,27.0,1478.0,40.0,191946.0,35406.0
Czechia,8002.0,28.0,269.0,7.0,4369.0,3364.0,52.0,747.0,25.0,286821.0,26783.0
Egypt,7981.0,393.0,482.0,13.0,1887.0,5612.0,41.0,78.0,5.0,90000.0,879.0
Panama,7731.0,208.0,218.0,8.0,859.0,6654.0,88.0,1792.0,51.0,38014.0,8810.0
Australia,6896.0,21.0,97.0,0.0,6040.0,759.0,23.0,270.0,4.0,722549.0,28335.0
Kuwait,6567.0,278.0,44.0,2.0,2381.0,4142.0,91.0,1538.0,10.0,196397.0,45988.0
Malaysia,6467.0,39.0,107.0,0.0,4776.0,1584.0,19.0,200.0,3.0,231019.0,7138.0
Finland,5673.0,100.0,255.0,3.0,3500.0,1918.0,44.0,1024.0,46.0,112100.0,20232.0
Morocco,5548.0,140.0,183.0,0.0,2179.0,3186.0,1.0,150.0,5.0,56492.0,1531.0
Argentina,5208.0,0.0,273.0,0.0,1601.0,3334.0,148.0,115.0,6.0,75198.0,1664.0
Algeria,5182.0,185.0,483.0,7.0,2323.0,2376.0,22.0,118.0,11.0,6500.0,148.0
Moldova,4605.0,129.0,145.0,2.0,1747.0,2713.0,237.0,1142.0,36.0,20447.0,5069.0
Kazakhstan,4578.0,156.0,30.0,0.0,1518.0,3030.0,31.0,244.0,2.0,353843.0,18845.0
Bahrain,4199.0,265.0,8.0,0.0,2000.0,2191.0,4.0,2468.0,5.0,166378.0,97779.0
Luxembourg,3859.0,8.0,100.0,2.0,3505.0,254.0,21.0,6165.0,160.0,51883.0,82883.0
Afghanistan,3563.0,171.0,106.0,2.0,468.0,2989.0,7.0,92.0,3.0,14389.0,370.0
Hungary,3150.0,39.0,383.0,10.0,801.0,1966.0,50.0,326.0,40.0,94036.0,9734.0
Nigeria,3145.0,0.0,103.0,0.0,534.0,2508.0,4.0,15.0,0.5,22492.0,109.0
Ghana,3091.0,0.0,18.0,0.0,303.0,2770.0,4.0,99.0,0.6,135902.0,4374.0
Thailand,2992.0,3.0,55.0,0.0,2772.0,165.0,61.0,43.0,0.8,227860.0,3264.0
Oman,2958.0,55.0,14.0,1.0,980.0,1964.0,17.0,579.0,3.0,50000.0,9791.0
