Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
North America,0.0,1656217.0,24050.0,101003.0,1370.0,419530.0,1135684.0,17184.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,1761154.0,20025.0,161664.0,1182.0,755524.0,843966.0,11757.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,419505.0,18433.0,22125.0,822.0,142286.0,255094.0,10427.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,778047.0,20123.0,24290.0,327.0,445644.0,308113.0,4954.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,82906.0,3126.0,2716.0,77.0,31576.0,48614.0,289.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,8638.0,17.0,119.0,0.0,7890.0,629.0,16.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0
World,0.0,4707188.0,85774.0,311932.0,3778.0,1803101.0,2592155.0,44631.0,604.0,40.0,0.0,0.0,0.0
USA,1.0,1503684.0,19399.0,89454.0,947.0,337563.0,1076667.0,16034.0,4546.0,270.0,11773966.0,35597.0,330758784.0
Spain,2.0,276505.0,2138.0,27563.0,104.0,192253.0,56689.0,1208.0,5914.0,590.0,3037840.0,64977.0,46752556.0
Russia,3.0,272043.0,9200.0,2537.0,119.0,63166.0,206340.0,2300.0,1864.0,17.0,6656340.0,45614.0,145926781.0
UK,4.0,240161.0,3450.0,34466.0,468.0,0.0,0.0,1559.0,3540.0,508.0,2489563.0,36697.0,67841324.0
Brazil,5.0,229204.0,10981.0,15368.0,551.0,84970.0,128866.0,8318.0,1079.0,72.0,735224.0,3462.0,212368566.0
Italy,6.0,224760.0,875.0,31763.0,153.0,122810.0,70187.0,775.0,3717.0,525.0,2944859.0,48697.0,60472650.0
France,7.0,179365.0,0.0,27625.0,96.0,61066.0,90674.0,2132.0,2749.0,423.0,1384633.0,21219.0,65255646.0
Germany,8.0,176081.0,382.0,8019.0,18.0,152600.0,15462.0,1203.0,2102.0,96.0,3147771.0,37585.0,83750665.0
Turkey,9.0,148067.0,1610.0,4096.0,41.0,108137.0,35834.0,906.0,1758.0,49.0,1589625.0,18874.0,84222640.0
Iran,10.0,118392.0,1757.0,6937.0,35.0,93147.0,18308.0,2716.0,1412.0,83.0,672679.0,8022.0,83853830.0
India,11.0,90648.0,4864.0,2871.0,118.0,34224.0,53553.0,0.0,66.0,2.0,2134277.0,1549.0,1378270651.0
Peru,12.0,88541.0,4046.0,2523.0,131.0,28272.0,57746.0,840.0,2690.0,77.0,630482.0,19157.0,32912133.0
Canada,13.0,75864.0,1251.0,5679.0,117.0,37819.0,32366.0,502.0,2012.0,151.0,1225049.0,32495.0,37700059.0
Belgium,14.0,54989.0,345.0,9005.0,46.0,14460.0,31524.0,364.0,4747.0,777.0,663755.0,57303.0,11583327.0
Saudi Arabia,15.0,52016.0,2840.0,302.0,10.0,23666.0,28048.0,166.0,1497.0,9.0,548023.0,15774.0,34742883.0
Mexico,16.0,45032.0,2437.0,4767.0,290.0,30451.0,9814.0,378.0,350.0,37.0,163691.0,1271.0,128759156.0
Netherlands,17.0,43870.0,189.0,5670.0,27.0,0.0,0.0,346.0,2561.0,331.0,287943.0,16809.0,17130183.0
Chile,18.0,41428.0,1886.0,421.0,27.0,18014.0,22993.0,751.0,2170.0,22.0,350325.0,18346.0,19095344.0
Pakistan,19.0,38799.0,1581.0,834.0,31.0,10880.0,27085.0,111.0,176.0,4.0,359264.0,1631.0,220321573.0
Ecuador,20.0,32763.0,1296.0,2688.0,94.0,3433.0,26642.0,197.0,1861.0,153.0,93344.0,5301.0,17608034.0
Qatar,21.0,30972.0,1547.0,15.0,1.0,3788.0,27169.0,158.0,10774.0,5.0,152704.0,53121.0,2874647.0
Switzerland,22.0,30572.0,58.0,1879.0,1.0,27400.0,1293.0,69.0,3536.0,217.0,339364.0,39248.0,8646621.0
