Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
North America,0.0,12209463.0,108830.0,364509.0,1032.0,7925613.0,45539.0,3919341.0,22185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,14425549.0,94847.0,255356.0,1500.0,12881124.0,92923.0,1289069.0,23041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,9997830.0,29640.0,302485.0,640.0,8934673.0,27352.0,760672.0,17710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,12145825.0,217518.0,292872.0,2326.0,4401775.0,49960.0,7451178.0,27038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,1893404.0,12275.0,45425.0,229.0,1594981.0,9559.0,252998.0,2454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,40312.0,14.0,980.0,0.0,32851.0,17.0,6481.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,659.0,0.0,47.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,50713104.0,463124.0,1261642.0,5727.0,35771676.0,225350.0,13679786.0,92458.0,6506.0,161.9,0.0,0.0,0.0,0.0,0.0,0.0
USA,1.0,10281783.0,96363.0,243737.0,480.0,6480924.0,36839.0,3557122.0,18440.0,30998.0,735.0,157464101.0,474732.0,331690410.0,32.0,1361.0,2.0
India,2.0,8553864.0,46661.0,126653.0,491.0,7915660.0,48369.0,511551.0,8944.0,6177.0,91.0,117736791.0,85021.0,1384789745.0,162.0,10934.0,12.0
Brazil,3.0,5664115.0,10554.0,162397.0,111.0,5064344.0,0.0,437374.0,8318.0,26580.0,762.0,21900000.0,102772.0,213094038.0,38.0,1312.0,10.0
France,4.0,1787324.0,38619.0,40439.0,270.0,128614.0,676.0,1618271.0,4539.0,27361.0,619.0,17891276.0,273881.0,65324901.0,37.0,1615.0,4.0
Russia,5.0,1774334.0,20498.0,30537.0,286.0,1324419.0,11492.0,419378.0,2300.0,12157.0,209.0,64600000.0,442597.0,145956770.0,82.0,4780.0,2.0
Spain,6.0,1388411.0,0.0,38833.0,0.0,0.0,0.0,0.0,2863.0,29691.0,830.0,18072174.0,386478.0,46761234.0,34.0,1204.0,3.0
Argentina,7.0,1242182.0,5331.0,33560.0,212.0,1062911.0,9598.0,145711.0,4608.0,27396.0,740.0,3228651.0,71206.0,45342163.0,37.0,1351.0,14.0
UK,8.0,1192013.0,20572.0,49044.0,156.0,0.0,0.0,0.0,1185.0,17526.0,721.0,35600586.0,523442.0,68012457.0,57.0,1387.0,2.0
Colombia,9.0,1143887.0,7440.0,32791.0,196.0,1038082.0,9000.0,73014.0,2376.0,22397.0,642.0,5402433.0,105777.0,51073990.0,45.0,1558.0,9.0
Mexico,10.0,961938.0,6810.0,94808.0,485.0,710940.0,4673.0,156190.0,2838.0,7433.0,733.0,2503564.0,19346.0,129410151.0,135.0,1365.0,52.0
Italy,11.0,935104.0,32616.0,41394.0,331.0,335074.0,6183.0,558636.0,2749.0,15474.0,685.0,17374713.0,287518.0,60430066.0,65.0,1460.0,3.0
Peru,12.0,922333.0,2323.0,34879.0,39.0,843600.0,0.0,43854.0,1010.0,27837.0,1053.0,4674263.0,141076.0,33133057.0,36.0,950.0,7.0
South Africa,13.0,737278.0,1372.0,19809.0,20.0,679688.0,950.0,37781.0,546.0,12376.0,333.0,4980440.0,83604.0,59571558.0,81.0,3007.0,12.0
Iran,14.0,682486.0,9236.0,38291.0,459.0,520329.0,5176.0,123866.0,5523.0,8089.0,454.0,5224252.0,61920.0,84370788.0,124.0,2203.0,16.0
Germany,15.0,672507.0,14026.0,11505.0,70.0,412000.0,0.0,249002.0,2904.0,8018.0,137.0,23393311.0,278893.0,83879156.0,125.0,7291.0,4.0
Poland,16.0,546425.0,24785.0,7872.0,236.0,209363.0,8853.0,329190.0,1841.0,14444.0,208.0,5241205.0,138540.0,37831809.0,69.0,4806.0,7.0
Chile,17.0,521558.0,1581.0,14543.0,44.0,497411.0,1559.0,9604.0,735.0,27201.0,758.0,4583940.0,239069.0,19174162.0,37.0,1318.0,4.0
Iraq,18.0,498549.0,2530.0,11327.0,44.0,428928.0,3002.0,58294.0,288.0,12299.0,279.0,3002586.0,74072.0,40535927.0,81.0,3579.0,14.0
Belgium,19.0,494168.0,6124.0,12907.0,199.0,29357.0,744.0,451904.0,1464.0,42573.0,1112.0,5252154.0,452478.0,11607526.0,23.0,899.0,2.0
Ukraine,20.0,460331.0,9397.0,8450.0,138.0,206866.0,2637.0,245015.0,177.0,10549.0,194.0,3312549.0,75907.0,43639447.0,95.0,5164.0,13.0
Indonesia,21.0,437716.0,3880.0,14614.0,74.0,368298.0,3881.0,54804.0,0.0,1594.0,53.0,4754436.0,17318.0,274542856.0,627.0,18786.0,58.0
Bangladesh,22.0,420238.0,1474.0,6067.0,18.0,338145.0,1577.0,76026.0,0.0,2543.0,37.0,2442602.0,14780.0,165267995.0,393.0,27240.0,68.0
Czechia,23.0,413365.0,2145.0,4793.0,112.0,237860.0,103.0,170712.0,1206.0,38574.0,447.0,2584114.0,241144.0,10716053.0,26.0,2236.0,4.0
Netherlands,24.0,410065.0,5664.0,8004.0,44.0,0.0,0.0,0.0,618.0,23913.0,467.0,3535613.0,206178.0,17148361.0,42.0,2142.0,5.0
Philippines,25.0,396395.0,2442.0,7539.0,54.0,361638.0,11430.0,27218.0,1455.0,3601.0,68.0,5045463.0,45829.0,110093359.0,278.0,14603.0,22.0
Turkey,26.0,394255.0,2516.0,10887.0,84.0,338239.0,2018.0,45129.0,2740.0,4657.0,129.0,15127811.0,178692.0,84658804.0,215.0,7776.0,6.0
Saudi Arabia,27.0,350592.0,363.0,5540.0,15.0,337386.0,420.0,7666.0,757.0,10016.0,158.0,8494327.0,242669.0,35003778.0,100.0,6318.0,4.0
Pakistan,28.0,343189.0,1436.0,6968.0,25.0,318417.0,519.0,17804.0,921.0,1543.0,31.0,4676263.0,21028.0,222387513.0,648.0,31916.0,48.0
Israel,29.0,319241.0,292.0,2674.0,10.0,308563.0,1090.0,8004.0,330.0,34709.0,291.0,4794817.0,521312.0,9197590.0,29.0,3440.0,2.0
Romania,30.0,303751.0,6752.0,7879.0,86.0,204679.0,3565.0,91193.0,1056.0,15827.0,411.0,3476645.0,181155.0,19191593.0,63.0,2436.0,6.0
Canada,31.0,263317.0,3262.0,10516.0,26.0,215005.0,1911.0,37796.0,238.0,6955.0,278.0,9884582.0,261089.0,37859016.0,144.0,3600.0,4.0
Morocco,32.0,256781.0,4596.0,4272.0,75.0,209801.0,4245.0,42708.0,933.0,6928.0,115.0,3491314.0,94196.0,37064495.0,144.0,8676.0,11.0
Switzerland,33.0,211913.0,0.0,2772.0,14.0,87300.0,0.0,121841.0,435.0,24422.0,319.0,2157721.0,248671.0,8677011.0,41.0,3130.0,4.0
Nepal,34.0,194453.0,2817.0,1108.0,21.0,157926.0,2812.0,35419.0,0.0,6632.0,38.0,1540077.0,52527.0,29319819.0,151.0,26462.0,19.0
Portugal,35.0,179324.0,5784.0,2896.0,48.0,99781.0,2034.0,76647.0,366.0,17605.0,284.0,3642907.0,357636.0,10186072.0,57.0,3517.0,3.0
Ecuador,36.0,174907.0,1421.0,12830.0,15.0,154956.0,5908.0,7121.0,343.0,9861.0,723.0,572598.0,32283.0,17736938.0,101.0,1382.0,31.0
Austria,37.0,153153.0,5933.0,1411.0,34.0,91719.0,3446.0,60023.0,459.0,16971.0,156.0,2452692.0,271778.0,9024610.0,59.0,6396.0,4.0
Sweden,38.0,146461.0,0.0,6022.0,0.0,0.0,0.0,0.0,92.0,14470.0,595.0,2431770.0,240256.0,10121569.0,69.0,1681.0,4.0
Bolivia,39.0,142427.0,84.0,8790.0,9.0,114225.0,326.0,19412.0,71.0,12143.0,749.0,338836.0,28889.0,11728926.0,82.0,1334.0,35.0
UAE,40.0,142143.0,1111.0,514.0,0.0,138291.0,683.0,3338.0,0.0,14311.0,52.0,14137717.0,1423389.0,9932436.0,70.0,19324.0,1.0
Panama,41.0,139527.0,1021.0,2798.0,17.0,117770.0,947.0,18959.0,156.0,32160.0,645.0,715094.0,164823.0,4338553.0,31.0,1551.0,6.0
Qatar,42.0,134203.0,190.0,232.0,0.0,131276.0,201.0,2695.0,39.0,47796.0,83.0,1015828.0,361787.0,2807805.0,21.0,12103.0,3.0
Kuwait,43.0,131743.0,538.0,811.0,3.0,122576.0,687.0,8356.0,121.0,30690.0,189.0,965830.0,224993.0,4292714.0,33.0,5293.0,4.0
Dominican Republic,44.0,130182.0,537.0,2265.0,2.0,108021.0,441.0,19896.0,179.0,11958.0,208.0,622881.0,57217.0,10886269.0,84.0,4806.0,17.0
Oman,45.0,118140.0,973.0,1301.0,15.0,108681.0,1313.0,8158.0,148.0,22933.0,253.0,376700.0,73124.0,5151553.0,44.0,3960.0,14.0
Costa Rica,46.0,116363.0,0.0,1464.0,0.0,71119.0,0.0,43780.0,179.0,22769.0,286.0,326539.0,63895.0,5110538.0,44.0,3491.0,16.0
Kazakhstan,47.0,116162.0,723.0,1857.0,0.0,107668.0,138.0,6637.0,221.0,6161.0,98.0,3645655.0,193345.0,18855722.0,162.0,10154.0,5.0
Guatemala,48.0,111262.0,212.0,3821.0,10.0,101135.0,327.0,6306.0,5.0,6171.0,212.0,455875.0,25283.0,18031228.0,162.0,4719.0,40.0
Hungary,49.0,109616.0,4673.0,2438.0,81.0,25070.0,223.0,82108.0,417.0,11357.0,253.0,1209151.0,125280.0,9651578.0,88.0,3959.0,8.0
Jordan,50.0,109321.0,4519.0,1233.0,52.0,8808.0,179.0,99280.0,378.0,10677.0,120.0,2040687.0,199308.0,10238856.0,94.0,8304.0,5.0
Egypt,51.0,109201.0,239.0,6368.0,13.0,100342.0,103.0,2491.0,46.0,1060.0,62.0,135000.0,1311.0,103007706.0,943.0,16176.0,763.0
Japan,52.0,107086.0,1172.0,1812.0,3.0,97197.0,736.0,8077.0,196.0,848.0,14.0,2861548.0,22650.0,126337911.0,1180.0,69723.0,44.0
Armenia,53.0,106424.0,2175.0,1559.0,26.0,64179.0,921.0,40686.0,0.0,35891.0,526.0,438816.0,147988.0,2965214.0,28.0,1902.0,7.0
Belarus,54.0,106279.0,996.0,1007.0,3.0,90998.0,940.0,14274.0,0.0,11249.0,107.0,2689137.0,284619.0,9448214.0,89.0,9383.0,4.0
Honduras,55.0,100041.0,465.0,2745.0,4.0,42815.0,206.0,54481.0,24.0,10045.0,276.0,231650.0,23259.0,9959762.0,100.0,3628.0,43.0
Ethiopia,56.0,99675.0,474.0,1523.0,5.0,59766.0,818.0,38386.0,316.0,860.0,13.0,1526221.0,13163.0,115949507.0,1163.0,76132.0,76.0
Venezuela,57.0,94883.0,185.0,826.0,2.0,89755.0,253.0,4302.0,117.0,3340.0,29.0,2186865.0,76983.0,28407116.0,299.0,34391.0,13.0
Lebanon,58.0,94236.0,1139.0,723.0,10.0,46602.0,0.0,46911.0,287.0,13829.0,106.0,1323296.0,194189.0,6814491.0,72.0,9425.0,5.0
Bahrain,59.0,83456.0,192.0,329.0,0.0,81000.0,237.0,2127.0,26.0,48471.0,191.0,1833427.0,1064842.0,1721783.0,21.0,5233.0,1.0
Moldova,60.0,82346.0,671.0,1893.0,2.0,62508.0,1194.0,17945.0,852.0,20430.0,470.0,394986.0,97997.0,4030611.0,49.0,2129.0,10.0
Slovakia,61.0,75495.0,1828.0,351.0,0.0,19481.0,1127.0,55663.0,229.0,13825.0,64.0,901327.0,165061.0,5460585.0,72.0,15557.0,6.0
Bulgaria,62.0,75160.0,675.0,1665.0,33.0,24408.0,603.0,49087.0,272.0,10846.0,240.0,795428.0,114786.0,6929639.0,92.0,4162.0,9.0
