Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
North America,0.0,9760393.0,60251.0,329606.0,1382.0,6456642.0,45667.0,2974145.0,18467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,12124278.0,104388.0,217667.0,1541.0,10476428.0,113243.0,1430183.0,20786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,8766124.0,28281.0,274060.0,757.0,7646946.0,2145.0,845118.0,17580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,6391618.0,135744.0,234312.0,1317.0,3095191.0,26615.0,3062115.0,11429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,1612091.0,10910.0,38883.0,250.0,1329924.0,6570.0,243284.0,1774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,33101.0,35.0,949.0,5.0,29582.0,5.0,2570.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,659.0,0.0,47.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,38688326.0,339609.0,1095492.0,5252.0,29035372.0,194245.0,8557462.0,70050.0,4963.0,140.5,0.0,0.0,0.0,0.0,0.0,0.0
USA,1.0,8140254.0,50001.0,221717.0,844.0,5264070.0,37643.0,2654467.0,15140.0,24552.0,669.0,121311443.0,365883.0,331558077.0,41.0,1495.0,3.0
India,2.0,7305070.0,67988.0,111311.0,694.0,6379428.0,80723.0,814331.0,8944.0,5279.0,80.0,90090122.0,65100.0,1383863737.0,189.0,12432.0,15.0
Brazil,3.0,5140863.0,26040.0,151747.0,684.0,4526975.0,0.0,462141.0,8318.0,24137.0,712.0,17900000.0,84041.0,212990988.0,41.0,1404.0,12.0
Russia,4.0,1340409.0,14231.0,23205.0,239.0,1039705.0,7920.0,277499.0,2300.0,9184.0,159.0,51800000.0,354910.0,145952510.0,109.0,6290.0,3.0
Spain,5.0,937311.0,11970.0,33413.0,209.0,0.0,0.0,0.0,1652.0,20045.0,715.0,14590713.0,312034.0,46760002.0,50.0,1399.0,3.0
Colombia,6.0,924098.0,0.0,28141.0,0.0,806703.0,0.0,89254.0,2220.0,18106.0,551.0,4234813.0,82975.0,51036966.0,55.0,1814.0,12.0
Argentina,7.0,917035.0,0.0,24572.0,0.0,742235.0,0.0,150228.0,4294.0,20237.0,542.0,2260058.0,49876.0,45313862.0,49.0,1844.0,20.0
Peru,8.0,853974.0,0.0,33419.0,0.0,753959.0,0.0,66596.0,1173.0,25799.0,1010.0,4111951.0,124222.0,33101676.0,39.0,991.0,8.0
Mexico,9.0,825340.0,4295.0,84420.0,475.0,601571.0,3580.0,139349.0,2379.0,6382.0,653.0,2109456.0,16312.0,129317680.0,157.0,1532.0,61.0
France,10.0,779063.0,22591.0,33037.0,104.0,103413.0,733.0,642613.0,1673.0,11928.0,506.0,12710074.0,194596.0,65315063.0,84.0,1977.0,5.0
South Africa,11.0,696414.0,1877.0,18151.0,123.0,626898.0,1324.0,51365.0,546.0,11700.0,305.0,4458745.0,74911.0,59520485.0,85.0,3279.0,13.0
UK,12.0,654644.0,19724.0,43155.0,137.0,0.0,0.0,0.0,516.0,9629.0,635.0,28371080.0,417294.0,67988148.0,104.0,1575.0,2.0
Iran,13.0,513219.0,4830.0,29349.0,279.0,414831.0,2991.0,69039.0,4609.0,6088.0,348.0,4398723.0,52181.0,84297357.0,164.0,2872.0,19.0
Chile,14.0,485372.0,1092.0,13415.0,19.0,458073.0,1574.0,13884.0,785.0,25329.0,700.0,3772113.0,196844.0,19162966.0,39.0,1428.0,5.0
Iraq,15.0,413215.0,3857.0,10021.0,51.0,347396.0,3188.0,55798.0,475.0,10209.0,248.0,2548753.0,62972.0,40474126.0,98.0,4039.0,16.0
Bangladesh,16.0,382959.0,1684.0,5593.0,16.0,297449.0,1576.0,79917.0,0.0,2319.0,34.0,2112448.0,12791.0,165156008.0,431.0,29529.0,78.0
Italy,17.0,372799.0,7332.0,36289.0,43.0,244065.0,2037.0,92445.0,539.0,6168.0,600.0,12914895.0,213695.0,60436115.0,162.0,1665.0,5.0
Philippines,18.0,346536.0,1910.0,6449.0,78.0,293860.0,579.0,46227.0,1562.0,3151.0,59.0,4231916.0,38474.0,109993725.0,317.0,17056.0,26.0
Indonesia,19.0,344749.0,4127.0,12156.0,129.0,267851.0,4555.0,64742.0,0.0,1257.0,44.0,3892904.0,14190.0,274345412.0,796.0,22569.0,70.0
Germany,20.0,341742.0,6063.0,9771.0,31.0,281900.0,2800.0,50071.0,602.0,4075.0,117.0,18129900.0,216190.0,83860904.0,245.0,8583.0,5.0
Saudi Arabia,21.0,340590.0,501.0,5108.0,21.0,326820.0,481.0,8662.0,830.0,9740.0,146.0,7161827.0,204818.0,34966719.0,103.0,6845.0,5.0
Turkey,22.0,340450.0,1671.0,9014.0,57.0,298368.0,1396.0,33068.0,1418.0,4024.0,107.0,11961670.0,141396.0,84596849.0,248.0,9385.0,7.0
