Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
North America,0.0,8558936.0,46580.0,303846.0,1454.0,5407137.0,30348.0,2847953.0,17729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,9935910.0,122581.0,184241.0,1800.0,8230446.0,107373.0,1521223.0,20592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,7734906.0,40071.0,243976.0,1127.0,6577808.0,46045.0,913122.0,15725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,4660712.0,62858.0,218705.0,596.0,2446990.0,16813.0,1995017.0,7770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,1444354.0,7921.0,34755.0,172.0,1190206.0,9529.0,219393.0,1455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,30865.0,88.0,900.0,5.0,27992.0,383.0,1973.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,0.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,32366404.0,280099.0,986438.0,5154.0,23881230.0,210491.0,7498736.0,63294.0,4152.0,126.6,0.0,0.0,0.0,0.0,0.0,0.0
USA,1.0,7177001.0,37448.0,207389.0,793.0,4422183.0,23276.0,2547429.0,14089.0,21653.0,626.0,101486396.0,306187.0,331452210.0,46.0,1598.0,3.0
India,2.0,5816103.0,85919.0,92317.0,1144.0,4752991.0,81141.0,970795.0,8944.0,4205.0,67.0,67436031.0,48756.0,1383122931.0,238.0,14982.0,21.0
Brazil,3.0,4657702.0,29922.0,139808.0,743.0,4023789.0,30903.0,494105.0,8318.0,21877.0,657.0,17900000.0,84074.0,212908548.0,46.0,1523.0,12.0
Russia,4.0,1128836.0,6595.0,19948.0,149.0,929829.0,6130.0,179059.0,2300.0,7734.0,137.0,43900000.0,300790.0,145949102.0,129.0,7316.0,3.0
Colombia,5.0,790823.0,6555.0,24924.0,178.0,674961.0,12684.0,90938.0,863.0,15504.0,489.0,3534650.0,69297.0,51007347.0,64.0,2047.0,14.0
Peru,6.0,782695.0,0.0,31870.0,0.0,636489.0,0.0,114336.0,1381.0,23663.0,964.0,3751583.0,113421.0,33076571.0,42.0,1038.0,9.0
Mexico,7.0,710049.0,4786.0,74949.0,601.0,510237.0,3505.0,124863.0,2677.0,5494.0,580.0,1620878.0,12541.0,129243704.0,182.0,1724.0,80.0
Spain,8.0,704209.0,10653.0,31118.0,84.0,0.0,0.0,0.0,1445.0,15060.0,665.0,11820505.0,252796.0,46759015.0,66.0,1503.0,4.0
South Africa,9.0,667049.0,1861.0,16283.0,77.0,595916.0,1687.0,54850.0,539.0,11215.0,274.0,4102162.0,68968.0,59479626.0,89.0,3653.0,14.0
Argentina,10.0,664799.0,0.0,14376.0,0.0,525486.0,0.0,124937.0,3511.0,14678.0,317.0,1815738.0,40090.0,45291222.0,68.0,3150.0,25.0
France,11.0,497237.0,16096.0,31511.0,52.0,94413.0,875.0,371313.0,1048.0,7614.0,483.0,10035395.0,153664.0,65307193.0,131.0,2073.0,7.0
Chile,12.0,451634.0,1731.0,12469.0,124.0,426876.0,1711.0,12289.0,890.0,23579.0,651.0,3113195.0,162535.0,19154009.0,42.0,1536.0,6.0
Iran,13.0,436319.0,3521.0,25015.0,175.0,367829.0,1983.0,43475.0,3957.0,5180.0,297.0,3854827.0,45761.0,84238612.0,193.0,3368.0,22.0
UK,14.0,416363.0,6634.0,41902.0,40.0,0.0,0.0,0.0,228.0,6126.0,616.0,22901019.0,336935.0,67968701.0,163.0,1622.0,3.0
Bangladesh,15.0,355384.0,1540.0,5072.0,28.0,265092.0,2139.0,85220.0,0.0,2153.0,31.0,1875537.0,11362.0,165066418.0,464.0,32545.0,88.0
Iraq,16.0,337106.0,4471.0,8799.0,45.0,268761.0,3773.0,59546.0,527.0,8339.0,218.0,2141885.0,52985.0,40424684.0,120.0,4594.0,19.0
Saudi Arabia,17.0,331857.0,498.0,4599.0,30.0,314793.0,1007.0,12465.0,1090.0,9499.0,132.0,6236859.0,178517.0,34937072.0,105.0,7597.0,6.0
Turkey,18.0,309790.0,1721.0,7785.0,74.0,271964.0,1241.0,30041.0,1573.0,3664.0,92.0,9721687.0,114985.0,84547285.0,273.0,10860.0,9.0
Pakistan,19.0,308217.0,799.0,6437.0,5.0,294392.0,476.0,7388.0,548.0,1389.0,29.0,3306515.0,14904.0,221859289.0,720.0,34466.0,67.0
Italy,20.0,304323.0,1786.0,35781.0,23.0,221762.0,1097.0,46780.0,246.0,5035.0,592.0,10787694.0,178483.0,60440954.0,199.0,1689.0,6.0
Philippines,21.0,296755.0,2180.0,5127.0,36.0,231928.0,580.0,59700.0,1758.0,2700.0,47.0,3508642.0,31922.0,109914017.0,370.0,21438.0,31.0
Germany,22.0,281345.0,2140.0,9519.0,11.0,249500.0,0.0,22326.0,293.0,3355.0,114.0,15642654.0,186563.0,83846303.0,298.0,8808.0,5.0
Indonesia,23.0,262022.0,4634.0,10105.0,128.0,191853.0,3895.0,60064.0,0.0,956.0,37.0,3074814.0,11214.0,274187457.0,1046.0,27134.0,89.0
Israel,24.0,212115.0,7425.0,1378.0,53.0,148813.0,3850.0,61924.0,685.0,23062.0,150.0,3250805.0,353441.0,9197590.0,43.0,6675.0,3.0
Ukraine,25.0,188106.0,3372.0,3757.0,52.0,83458.0,1788.0,100891.0,177.0,4307.0,86.0,2102377.0,48141.0,43671581.0,232.0,11624.0,21.0
Canada,26.0,148788.0,1035.0,9246.0,3.0,128344.0,556.0,11198.0,86.0,3934.0,244.0,6833661.0,180697.0,37818373.0,254.0,4090.0,6.0
Bolivia,27.0,131990.0,537.0,7731.0,38.0,91556.0,703.0,32703.0,71.0,11272.0,660.0,292016.0,24939.0,11709345.0,89.0,1515.0,40.0
Ecuador,28.0,131146.0,1254.0,11213.0,42.0,102852.0,0.0,17081.0,361.0,7408.0,633.0,403851.0,22811.0,17703980.0,135.0,1579.0,44.0
Qatar,29.0,124425.0,250.0,212.0,0.0,121263.0,257.0,2950.0,62.0,44314.0,76.0,745130.0,265378.0,2807805.0,23.0,13244.0,4.0
Romania,30.0,118054.0,1639.0,4591.0,41.0,94877.0,1319.0,18586.0,506.0,6146.0,239.0,2302828.0,119893.0,19207285.0,163.0,4184.0,8.0
Dominican Republic,31.0,110122.0,385.0,2076.0,2.0,84018.0,584.0,24028.0,213.0,10128.0,191.0,458581.0,42176.0,10872904.0,99.0,5237.0,24.0
Morocco,32.0,110099.0,2356.0,1956.0,38.0,90186.0,1942.0,17957.0,289.0,2975.0,53.0,2481151.0,67039.0,37010720.0,336.0,18922.0,15.0
Panama,33.0,107990.0,0.0,2291.0,0.0,84437.0,0.0,21262.0,122.0,24939.0,529.0,447769.0,103406.0,4330196.0,40.0,1890.0,10.0
Kazakhstan,34.0,107529.0,79.0,1699.0,0.0,102323.0,259.0,3507.0,221.0,5711.0,90.0,2733455.0,145179.0,18828115.0,175.0,11082.0,7.0
Belgium,35.0,106887.0,1661.0,9959.0,4.0,19079.0,40.0,77849.0,95.0,9213.0,858.0,2986196.0,257401.0,11601339.0,109.0,1165.0,4.0
Netherlands,36.0,103141.0,2544.0,6312.0,16.0,0.0,0.0,0.0,121.0,6016.0,368.0,2240526.0,130691.0,17143713.0,166.0,2716.0,8.0
Egypt,37.0,102513.0,138.0,5835.0,13.0,92644.0,801.0,4034.0,41.0,997.0,57.0,135000.0,1314.0,102770038.0,1003.0,17613.0,761.0
Kuwait,38.0,101851.0,552.0,592.0,2.0,92961.0,620.0,8298.0,101.0,23769.0,138.0,725025.0,169203.0,4284945.0,42.0,7238.0,6.0
Oman,39.0,95907.0,568.0,885.0,10.0,86765.0,283.0,8257.0,185.0,18675.0,172.0,376700.0,73352.0,5135534.0,54.0,5803.0,14.0
Sweden,40.0,90289.0,0.0,5878.0,5.0,0.0,0.0,0.0,15.0,8927.0,581.0,1532632.0,151538.0,10113840.0,112.0,1721.0,7.0
UAE,41.0,88532.0,1002.0,407.0,1.0,77937.0,942.0,10188.0,0.0,8927.0,41.0,9130551.0,920628.0,9917747.0,112.0,24368.0,1.0
Guatemala,42.0,87933.0,491.0,3170.0,16.0,77125.0,666.0,7638.0,5.0,4888.0,176.0,302958.0,16840.0,17990424.0,205.0,5675.0,59.0
Poland,43.0,82809.0,1136.0,2369.0,25.0,66158.0,597.0,14282.0,91.0,2189.0,63.0,3201501.0,84613.0,37836886.0,457.0,15972.0,12.0
Japan,44.0,80041.0,273.0,1520.0,8.0,72538.0,557.0,5983.0,166.0,633.0,12.0,1888156.0,14940.0,126385305.0,1579.0,83148.0,67.0
Belarus,45.0,76651.0,294.0,802.0,6.0,73733.0,169.0,2116.0,0.0,8112.0,85.0,1776271.0,187993.0,9448595.0,123.0,11781.0,5.0
Honduras,46.0,72675.0,369.0,2222.0,16.0,24022.0,792.0,46431.0,20.0,7311.0,224.0,172323.0,17336.0,9940379.0,137.0,4474.0,58.0
Ethiopia,47.0,71687.0,604.0,1148.0,7.0,29461.0,208.0,41078.0,267.0,620.0,10.0,1234645.0,10680.0,115598327.0,1613.0,100695.0,94.0
Portugal,48.0,71156.0,691.0,1931.0,3.0,46676.0,386.0,22549.0,85.0,6983.0,190.0,2458397.0,241263.0,10189711.0,143.0,5277.0,4.0
Costa Rica,49.0,69459.0,1400.0,795.0,14.0,26554.0,418.0,42110.0,253.0,13607.0,156.0,210057.0,41149.0,5104825.0,73.0,6421.0,24.0
Venezuela,50.0,69439.0,0.0,574.0,0.0,58759.0,0.0,10106.0,146.0,2444.0,20.0,1920335.0,67577.0,28416979.0,409.0,49507.0,15.0
Nepal,51.0,69301.0,1497.0,453.0,17.0,50411.0,457.0,18437.0,0.0,2369.0,15.0,955923.0,32675.0,29255303.0,422.0,64581.0,31.0
Bahrain,52.0,67701.0,687.0,231.0,0.0,60853.0,736.0,6617.0,59.0,39488.0,135.0,1378104.0,803808.0,1714470.0,25.0,7422.0,1.0
Nigeria,53.0,57724.0,0.0,1102.0,0.0,48985.0,0.0,7637.0,7.0,278.0,5.0,484051.0,2335.0,207278383.0,3591.0,188093.0,428.0
Singapore,54.0,57654.0,15.0,27.0,0.0,57333.0,42.0,294.0,0.0,9837.0,5.0,2692047.0,459319.0,5860958.0,102.0,217073.0,2.0
Czechia,55.0,56747.0,1283.0,567.0,12.0,27247.0,538.0,28933.0,120.0,5297.0,53.0,1263111.0,117898.0,10713617.0,189.0,18895.0,8.0
Uzbekistan,56.0,53834.0,559.0,446.0,2.0,50230.0,581.0,3158.0,283.0,1603.0,13.0,1377915.0,41034.0,33579667.0,624.0,75291.0,24.0
Switzerland,57.0,51492.0,391.0,2061.0,1.0,42600.0,500.0,6831.0,34.0,5940.0,238.0,1313944.0,151564.0,8669241.0,168.0,4206.0,7.0
Algeria,58.0,50579.0,179.0,1703.0,5.0,35544.0,116.0,13332.0,31.0,1149.0,39.0,0.0,0.0,44030062.0,871.0,25854.0,0.0
Moldova,59.0,48953.0,721.0,1252.0,8.0,36643.0,572.0,11058.0,592.0,12142.0,311.0,256481.0,63615.0,4031759.0,82.0,3220.0,16.0
Armenia,60.0,48251.0,374.0,945.0,3.0,43266.0,240.0,4040.0,0.0,16276.0,319.0,272235.0,91831.0,2964535.0,61.0,3137.0,11.0
Ghana,61.0,46222.0,69.0,299.0,0.0,45417.0,118.0,506.0,6.0,1481.0,10.0,475657.0,15236.0,31218719.0,675.0,104410.0,66.0
Kyrgyzstan,62.0,45757.0,127.0,1063.0,0.0,42005.0,101.0,2689.0,24.0,6987.0,162.0,267718.0,40882.0,6548608.0,143.0,6160.0,24.0
Austria,63.0,40816.0,832.0,783.0,6.0,31661.0,712.0,8372.0,78.0,4526.0,87.0,1507782.0,167191.0,9018304.0,221.0,11518.0,6.0
Azerbaijan,64.0,39686.0,162.0,581.0,1.0,37255.0,133.0,1850.0,0.0,3906.0,57.0,1080873.0,106383.0,10160216.0,256.0,17487.0,9.0
Afghanistan,65.0,39170.0,25.0,1451.0,5.0,32619.0,9.0,5100.0,93.0,1001.0,37.0,109469.0,2798.0,39124705.0,999.0,26964.0,357.0
Palestine,66.0,37591.0,508.0,274.0,2.0,26934.0,646.0,10383.0,0.0,7331.0,53.0,399412.0,77889.0,5127934.0,136.0,18715.0,13.0
Kenya,67.0,37489.0,141.0,669.0,5.0,24334.0,81.0,12486.0,44.0,694.0,12.0,506632.0,9376.0,54036855.0,1441.0,80773.0,107.0
Paraguay,68.0,35571.0,0.0,727.0,0.0,19867.0,0.0,14977.0,157.0,4973.0,102.0,258828.0,36187.0,7152579.0,201.0,9838.0,28.0
Ireland,69.0,33994.0,318.0,1797.0,3.0,23364.0,0.0,8833.0,16.0,6867.0,363.0,1106992.0,223615.0,4950431.0,146.0,2755.0,4.0
Serbia,70.0,33163.0,83.0,745.0,1.0,31536.0,0.0,882.0,22.0,3799.0,85.0,1099022.0,125904.0,8729071.0,263.0,11717.0,8.0
Lebanon,71.0,32819.0,1027.0,329.0,1.0,14112.0,585.0,18378.0,139.0,4813.0,48.0,768181.0,112666.0,6818231.0,208.0,20724.0,9.0
Libya,72.0,30632.0,535.0,474.0,5.0,16842.0,412.0,13316.0,0.0,4444.0,69.0,195018.0,28294.0,6892609.0,225.0,14541.0,35.0
El Salvador,73.0,28201.0,247.0,823.0,4.0,22326.0,213.0,5052.0,89.0,4343.0,127.0,374821.0,57720.0,6493797.0,230.0,7890.0,17.0
Australia,74.0,26980.0,6.0,861.0,2.0,24448.0,32.0,1671.0,10.0,1055.0,34.0,7438033.0,290916.0,25567653.0,948.0,29695.0,3.0
Bosnia and Herzegovina,75.0,26316.0,235.0,802.0,12.0,19142.0,508.0,6372.0,0.0,8033.0,245.0,231002.0,70514.0,3275988.0,124.0,4085.0,14.0
Denmark,76.0,24916.0,559.0,645.0,2.0,18646.0,287.0,5625.0,14.0,4298.0,111.0,3554377.0,613146.0,5796947.0,233.0,8988.0,2.0
S. Korea,77.0,23341.0,125.0,393.0,5.0,20832.0,182.0,2116.0,126.0,455.0,8.0,2268999.0,44248.0,51279500.0,2197.0,130482.0,23.0
Hungary,78.0,21200.0,750.0,709.0,7.0,4818.0,174.0,15673.0,32.0,2196.0,73.0,657437.0,68096.0,9654581.0,455.0,13617.0,15.0
Cameroon,79.0,20712.0,22.0,418.0,2.0,19440.0,316.0,854.0,30.0,776.0,16.0,149000.0,5582.0,26693113.0,1289.0,63859.0,179.0
Bulgaria,80.0,19573.0,290.0,785.0,6.0,14013.0,146.0,4775.0,30.0,2822.0,113.0,507451.0,73162.0,6936034.0,354.0,8836.0,14.0
Ivory Coast,81.0,19501.0,71.0,120.0,0.0,19003.0,128.0,378.0,0.0,735.0,5.0,156390.0,5896.0,26523874.0,1360.0,221032.0,170.0
North Macedonia,82.0,17200.0,151.0,712.0,2.0,14312.0,126.0,2176.0,3.0,8256.0,342.0,181034.0,86895.0,2083354.0,121.0,2926.0,12.0
Greece,83.0,16627.0,341.0,366.0,9.0,9989.0,0.0,6272.0,68.0,1597.0,35.0,1246363.0,119716.0,10411029.0,626.0,28445.0,8.0
