Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop
China,81518.0,79.0,3305.0,5.0,76052.0,2161.0,528.0,57.0,2.0
USA,188530.0,24742.0,4053.0,912.0,7251.0,177226.0,4576.0,570.0,12.0
Italy,105792.0,4053.0,12428.0,837.0,15729.0,77635.0,4023.0,1750.0,206.0
Spain,95923.0,7967.0,8464.0,748.0,19259.0,68200.0,5607.0,2052.0,181.0
Germany,71808.0,4923.0,775.0,130.0,16100.0,54933.0,2675.0,857.0,9.0
France,52128.0,7578.0,3523.0,499.0,9444.0,39161.0,5565.0,799.0,54.0
Iran,44605.0,3110.0,2898.0,141.0,14656.0,27051.0,3703.0,531.0,35.0
UK,25150.0,3009.0,1789.0,381.0,135.0,23226.0,163.0,370.0,26.0
Switzerland,16605.0,683.0,433.0,74.0,1823.0,14349.0,301.0,1919.0,50.0
Turkey,13531.0,2704.0,214.0,46.0,243.0,13074.0,622.0,160.0,3.0
Belgium,12775.0,876.0,705.0,192.0,1696.0,10374.0,1021.0,1102.0,61.0
Netherlands,12595.0,845.0,1039.0,175.0,250.0,11306.0,1053.0,735.0,61.0
Austria,10180.0,562.0,128.0,20.0,1095.0,8957.0,198.0,1130.0,14.0
S. Korea,9786.0,125.0,162.0,4.0,5408.0,4216.0,55.0,191.0,3.0
Canada,8612.0,1164.0,101.0,12.0,1242.0,7269.0,120.0,228.0,3.0
Portugal,7443.0,1035.0,160.0,20.0,43.0,7240.0,188.0,730.0,16.0
Brazil,5717.0,1087.0,201.0,38.0,127.0,5389.0,296.0,27.0,0.9
Israel,5358.0,663.0,20.0,4.0,224.0,5114.0,94.0,619.0,2.0
Australia,4763.0,303.0,20.0,1.0,345.0,4398.0,28.0,187.0,0.8
Norway,4641.0,196.0,39.0,7.0,13.0,4589.0,97.0,856.0,7.0
Sweden,4435.0,407.0,180.0,34.0,16.0,4239.0,358.0,439.0,18.0
Czechia,3308.0,307.0,31.0,8.0,45.0,3232.0,64.0,309.0,3.0
Ireland,3235.0,325.0,71.0,17.0,5.0,3159.0,103.0,655.0,14.0
Denmark,2860.0,283.0,90.0,13.0,1.0,2769.0,145.0,494.0,16.0
Malaysia,2766.0,140.0,43.0,6.0,537.0,2186.0,94.0,85.0,1.0
Chile,2738.0,289.0,12.0,4.0,156.0,2570.0,14.0,143.0,0.6
Russia,2337.0,501.0,17.0,8.0,121.0,2199.0,8.0,16.0,0.1
Poland,2311.0,256.0,33.0,2.0,7.0,2271.0,50.0,61.0,0.9
Ecuador,2302.0,336.0,79.0,17.0,58.0,2165.0,100.0,130.0,4.0
Romania,2245.0,136.0,82.0,17.0,220.0,1943.0,62.0,117.0,4.0
Japan,2178.0,225.0,57.0,1.0,424.0,1697.0,69.0,17.0,0.5
Luxembourg,2178.0,190.0,23.0,1.0,80.0,2075.0,31.0,3479.0,37.0
Philippines,2084.0,538.0,88.0,10.0,49.0,1947.0,1.0,19.0,0.8
Pakistan,1938.0,221.0,26.0,5.0,76.0,1836.0,12.0,9.0,0.1
Thailand,1651.0,127.0,10.0,1.0,342.0,1299.0,23.0,24.0,0.1
Saudi Arabia,1563.0,110.0,10.0,2.0,165.0,1388.0,31.0,45.0,0.3
Indonesia,1528.0,114.0,136.0,14.0,81.0,1311.0,0.0,6.0,0.5
Finland,1418.0,66.0,17.0,4.0,10.0,1391.0,56.0,256.0,3.0
India,1397.0,146.0,35.0,3.0,123.0,1239.0,0.0,1.0,0.03
South Africa,1353.0,27.0,5.0,2.0,31.0,1317.0,7.0,23.0,0.08
Greece,1314.0,102.0,49.0,3.0,52.0,1213.0,72.0,126.0,5.0
Panama,1181.0,106.0,30.0,3.0,9.0,1142.0,50.0,274.0,7.0
Iceland,1135.0,49.0,2.0,0.0,198.0,935.0,11.0,3326.0,6.0
Dominican Republic,1109.0,208.0,51.0,9.0,5.0,1053.0,0.0,102.0,5.0
Mexico,1094.0,101.0,28.0,8.0,35.0,1031.0,1.0,8.0,0.2
Peru,1065.0,115.0,30.0,6.0,394.0,641.0,49.0,32.0,0.9
Argentina,1054.0,234.0,27.0,4.0,240.0,787.0,0.0,23.0,0.6
Singapore,926.0,47.0,3.0,0.0,240.0,683.0,22.0,158.0,0.5
Colombia,906.0,108.0,16.0,2.0,31.0,859.0,35.0,18.0,0.3
Serbia,900.0,115.0,23.0,7.0,42.0,835.0,62.0,103.0,3.0
Croatia,867.0,77.0,6.0,0.0,67.0,794.0,32.0,211.0,1.0
Slovenia,802.0,46.0,15.0,4.0,10.0,777.0,24.0,386.0,7.0
Qatar,781.0,88.0,2.0,1.0,62.0,717.0,6.0,271.0,0.7
Estonia,745.0,30.0,4.0,1.0,26.0,715.0,13.0,562.0,3.0
Algeria,716.0,132.0,44.0,9.0,46.0,626.0,0.0,16.0,1.0
Hong Kong,715.0,32.0,4.0,0.0,128.0,583.0,5.0,95.0,0.5
Diamond Princess,712.0,0.0,11.0,0.0,603.0,98.0,15.0,0.0,0.0
Egypt,710.0,54.0,46.0,5.0,157.0,507.0,0.0,7.0,0.4
Iraq,694.0,64.0,50.0,4.0,170.0,474.0,0.0,17.0,1.0
UAE,664.0,53.0,6.0,1.0,61.0,597.0,2.0,67.0,0.6
New Zealand,647.0,58.0,1.0,0.0,74.0,572.0,2.0,134.0,0.2
Ukraine,645.0,97.0,17.0,4.0,10.0,618.0,0.0,15.0,0.4
Morocco,617.0,61.0,36.0,3.0,24.0,557.0,1.0,17.0,1.0
Bahrain,567.0,52.0,4.0,0.0,295.0,268.0,2.0,333.0,2.0
Lithuania,537.0,46.0,8.0,1.0,7.0,522.0,27.0,197.0,3.0
Armenia,532.0,50.0,3.0,0.0,30.0,499.0,30.0,180.0,1.0
Hungary,492.0,45.0,16.0,1.0,37.0,439.0,6.0,51.0,2.0
Lebanon,463.0,17.0,12.0,1.0,37.0,414.0,7.0,68.0,2.0
Bosnia and Herzegovina,420.0,52.0,13.0,3.0,17.0,390.0,1.0,128.0,4.0
Bulgaria,399.0,40.0,8.0,0.0,17.0,374.0,14.0,57.0,1.0
Latvia,398.0,22.0,0.0,0.0,1.0,397.0,3.0,211.0,0.0
Tunisia,394.0,32.0,10.0,1.0,3.0,381.0,10.0,33.0,0.8
Andorra,376.0,6.0,12.0,4.0,10.0,354.0,12.0,4866.0,155.0
Slovakia,363.0,27.0,0.0,0.0,3.0,360.0,1.0,66.0,0.0
Moldova,353.0,55.0,4.0,2.0,18.0,331.0,44.0,88.0,1.0
Costa Rica,347.0,17.0,2.0,0.0,4.0,341.0,8.0,68.0,0.4
Kazakhstan,343.0,41.0,2.0,1.0,24.0,317.0,6.0,18.0,0.1
Uruguay,338.0,18.0,1.0,0.0,41.0,296.0,12.0,97.0,0.3
North Macedonia,329.0,44.0,9.0,2.0,12.0,308.0,4.0,158.0,4.0
Taiwan,322.0,16.0,5.0,0.0,39.0,278.0,0.0,14.0,0.2
Azerbaijan,298.0,25.0,5.0,1.0,26.0,267.0,11.0,29.0,0.5
Kuwait,289.0,23.0,0.0,0.0,73.0,216.0,13.0,68.0,0.0
Jordan,274.0,6.0,5.0,0.0,30.0,239.0,5.0,27.0,0.5
Cyprus,262.0,32.0,8.0,1.0,23.0,231.0,3.0,217.0,7.0
Burkina Faso,261.0,15.0,14.0,2.0,32.0,215.0,0.0,12.0,0.7
Réunion,247.0,23.0,0.0,0.0,1.0,246.0,4.0,276.0,0.0
Albania,243.0,20.0,15.0,4.0,52.0,176.0,8.0,84.0,5.0
San Marino,236.0,6.0,26.0,1.0,13.0,197.0,16.0,6955.0,766.0
Vietnam,212.0,8.0,0.0,0.0,58.0,154.0,3.0,2.0,0.0
Cameroon,193.0,54.0,6.0,0.0,5.0,182.0,0.0,7.0,0.2
Oman,192.0,13.0,1.0,1.0,34.0,157.0,3.0,38.0,0.2
Cuba,186.0,16.0,6.0,2.0,8.0,172.0,3.0,16.0,0.5
Ivory Coast,179.0,11.0,1.0,0.0,7.0,171.0,0.0,7.0,0.04
Senegal,175.0,13.0,0.0,0.0,40.0,135.0,0.0,10.0,0.0
Afghanistan,174.0,4.0,4.0,0.0,5.0,165.0,0.0,4.0,0.1
Uzbekistan,172.0,23.0,2.0,0.0,7.0,163.0,8.0,5.0,0.06
Faeroe Islands,169.0,1.0,0.0,0.0,74.0,95.0,3.0,3459.0,0.0
