Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop,Total Tests,Tests/1M pop
World,1116643.0,101578.0,59170.0,5997.0,228405.0,829068.0,39439.0,143.0,7.6,0.0,0.0
China,81620.0,31.0,3322.0,4.0,76571.0,1727.0,379.0,57.0,2.0,0.0,0.0
USA,277161.0,32284.0,7404.0,1328.0,12283.0,257474.0,5787.0,837.0,22.0,698344.0,2110.0
Italy,119827.0,4585.0,14681.0,766.0,19758.0,85388.0,4068.0,1982.0,243.0,429526.0,7104.0
Spain,119199.0,7134.0,11198.0,850.0,30513.0,77488.0,6416.0,2549.0,240.0,355000.0,7593.0
Germany,91159.0,6365.0,1275.0,168.0,24575.0,65309.0,3936.0,1088.0,15.0,483295.0,5768.0
France,82165.0,23060.0,6507.0,1120.0,14008.0,61650.0,6662.0,1259.0,100.0,101046.0,1548.0
Iran,53183.0,2715.0,3294.0,134.0,17935.0,31954.0,4035.0,633.0,39.0,80000.0,952.0
UK,38168.0,4450.0,3605.0,684.0,135.0,34428.0,163.0,562.0,53.0,173784.0,2560.0
Turkey,20921.0,2786.0,425.0,69.0,484.0,20012.0,1251.0,248.0,5.0,141716.0,1680.0
Switzerland,19606.0,779.0,591.0,55.0,4846.0,14169.0,348.0,2265.0,68.0,111000.0,12826.0
Belgium,16770.0,1422.0,1143.0,132.0,2872.0,12755.0,1205.0,1447.0,99.0,18360.0,1584.0
Netherlands,15723.0,1026.0,1487.0,148.0,250.0,13986.0,1324.0,918.0,87.0,46810.0,2732.0
Canada,12375.0,1092.0,208.0,35.0,2186.0,9981.0,120.0,328.0,6.0,261975.0,6941.0
Austria,11524.0,395.0,168.0,10.0,2022.0,9334.0,245.0,1280.0,19.0,98343.0,10919.0
S. Korea,10062.0,86.0,174.0,5.0,6021.0,3867.0,55.0,196.0,3.0,421547.0,8222.0
Portugal,9886.0,852.0,246.0,37.0,68.0,9572.0,245.0,970.0,24.0,52086.0,5108.0
Brazil,9194.0,1150.0,363.0,39.0,127.0,8704.0,296.0,43.0,2.0,45708.0,215.0
Israel,7428.0,571.0,40.0,4.0,403.0,6985.0,113.0,858.0,5.0,37586.0,4342.0
Sweden,6131.0,563.0,358.0,50.0,205.0,5568.0,469.0,607.0,35.0,24500.0,2426.0
Australia,5454.0,140.0,28.0,3.0,585.0,4841.0,85.0,214.0,1.0,275000.0,10784.0
Norway,5370.0,223.0,59.0,9.0,32.0,5279.0,96.0,991.0,11.0,98587.0,18185.0
Ireland,4273.0,424.0,120.0,22.0,25.0,4128.0,148.0,865.0,24.0,17992.0,3644.0
Czechia,4190.0,332.0,53.0,9.0,72.0,4065.0,77.0,391.0,5.0,67281.0,6283.0
Russia,4149.0,601.0,34.0,4.0,281.0,3834.0,8.0,28.0,0.2,575000.0,3940.0
Denmark,3757.0,371.0,139.0,16.0,1193.0,2425.0,153.0,649.0,24.0,30448.0,5257.0
Chile,3737.0,333.0,22.0,4.0,427.0,3288.0,31.0,195.0,1.0,32096.0,1679.0
Poland,3383.0,437.0,71.0,14.0,56.0,3256.0,50.0,89.0,2.0,66938.0,1769.0
Ecuador,3368.0,205.0,145.0,25.0,65.0,3158.0,100.0,191.0,8.0,8251.0,468.0
Malaysia,3333.0,217.0,53.0,3.0,827.0,2453.0,108.0,103.0,2.0,47723.0,1474.0
Romania,3183.0,445.0,133.0,18.0,283.0,2767.0,83.0,165.0,7.0,31657.0,1646.0
India,3059.0,516.0,86.0,14.0,192.0,2781.0,0.0,2.0,0.06,47951.0,35.0
Philippines,3018.0,385.0,136.0,29.0,52.0,2830.0,1.0,28.0,1.0,4727.0,43.0
Japan,2935.0,318.0,69.0,6.0,514.0,2352.0,60.0,23.0,0.5,32497.0,257.0
Pakistan,2686.0,265.0,40.0,6.0,126.0,2520.0,10.0,12.0,0.2,14748.0,67.0
Luxembourg,2612.0,125.0,31.0,1.0,500.0,2081.0,33.0,4173.0,50.0,21463.0,34287.0
Saudi Arabia,2039.0,154.0,25.0,4.0,351.0,1663.0,41.0,59.0,0.7,0.0,0.0
Indonesia,1986.0,196.0,181.0,11.0,134.0,1671.0,0.0,7.0,0.7,6396.0,23.0
Thailand,1978.0,103.0,19.0,4.0,612.0,1347.0,23.0,28.0,0.3,17829.0,255.0
Panama,1673.0,198.0,41.0,4.0,10.0,1622.0,50.0,388.0,10.0,6582.0,1525.0
Finland,1615.0,97.0,20.0,1.0,300.0,1295.0,72.0,291.0,4.0,24200.0,4368.0
Greece,1613.0,69.0,63.0,10.0,78.0,1472.0,92.0,155.0,6.0,0.0,0.0
Peru,1595.0,181.0,61.0,6.0,537.0,997.0,51.0,48.0,2.0,16518.0,501.0
Mexico,1510.0,132.0,50.0,13.0,633.0,827.0,1.0,12.0,0.4,8552.0,66.0
South Africa,1505.0,43.0,9.0,4.0,95.0,1401.0,7.0,25.0,0.2,50361.0,849.0
Dominican Republic,1488.0,108.0,68.0,8.0,16.0,1404.0,147.0,137.0,6.0,0.0,0.0
Serbia,1476.0,305.0,39.0,8.0,54.0,1383.0,81.0,169.0,4.0,5756.0,659.0
Iceland,1364.0,45.0,4.0,0.0,309.0,1051.0,12.0,3997.0,12.0,20930.0,61335.0
Argentina,1353.0,88.0,42.0,6.0,266.0,1045.0,0.0,30.0,0.9,6277.0,139.0
Colombia,1267.0,106.0,25.0,6.0,55.0,1187.0,50.0,25.0,0.5,21129.0,415.0
UAE,1264.0,240.0,9.0,1.0,108.0,1147.0,2.0,128.0,0.9,220000.0,22244.0
Algeria,1171.0,185.0,105.0,19.0,62.0,1004.0,0.0,27.0,2.0,3359.0,77.0
Singapore,1114.0,65.0,5.0,1.0,282.0,827.0,24.0,190.0,0.9,39000.0,6666.0
Croatia,1079.0,68.0,8.0,1.0,92.0,979.0,39.0,263.0,2.0,6404.0,1560.0
Qatar,1075.0,126.0,3.0,0.0,93.0,979.0,37.0,373.0,1.0,28413.0,9862.0
Ukraine,1072.0,175.0,27.0,5.0,22.0,1023.0,16.0,25.0,0.6,3178.0,73.0
Egypt,985.0,120.0,66.0,8.0,216.0,703.0,0.0,10.0,0.6,0.0,0.0
Estonia,961.0,103.0,12.0,1.0,48.0,901.0,16.0,724.0,9.0,18290.0,13788.0
Slovenia,934.0,37.0,20.0,3.0,70.0,844.0,31.0,449.0,10.0,25921.0,12468.0
New Zealand,868.0,71.0,1.0,0.0,103.0,764.0,1.0,180.0,0.2,23481.0,4869.0
Hong Kong,845.0,43.0,4.0,0.0,173.0,668.0,8.0,113.0,0.5,0.0,0.0
Iraq,820.0,48.0,54.0,0.0,226.0,540.0,0.0,20.0,1.0,0.0,0.0
Morocco,791.0,83.0,48.0,4.0,57.0,686.0,1.0,21.0,1.0,3910.0,106.0
Armenia,736.0,73.0,7.0,0.0,43.0,686.0,30.0,248.0,2.0,3258.0,1099.0
Diamond Princess,712.0,0.0,11.0,0.0,619.0,82.0,10.0,0.0,0.0,0.0,0.0
Lithuania,696.0,47.0,9.0,0.0,7.0,680.0,11.0,256.0,3.0,18432.0,6771.0
Bahrain,672.0,29.0,4.0,0.0,382.0,286.0,3.0,395.0,2.0,37996.0,22330.0
Hungary,623.0,38.0,26.0,5.0,43.0,554.0,17.0,64.0,3.0,17769.0,1839.0
Moldova,591.0,86.0,8.0,2.0,26.0,557.0,65.0,147.0,2.0,169.0,42.0
Bosnia and Herzegovina,579.0,46.0,17.0,1.0,27.0,535.0,4.0,176.0,5.0,2220.0,677.0
Cameroon,509.0,203.0,8.0,1.0,17.0,484.0,0.0,19.0,0.3,0.0,0.0
Lebanon,508.0,14.0,17.0,1.0,50.0,441.0,26.0,74.0,2.0,7828.0,1147.0
Tunisia,495.0,40.0,18.0,4.0,5.0,472.0,26.0,42.0,2.0,5736.0,485.0
Latvia,493.0,35.0,1.0,1.0,1.0,491.0,3.0,261.0,0.5,18198.0,9648.0
Bulgaria,485.0,28.0,14.0,4.0,30.0,441.0,21.0,70.0,2.0,566.0,81.0
Kazakhstan,464.0,29.0,3.0,0.0,29.0,432.0,6.0,25.0,0.2,316.0,17.0
Slovakia,450.0,24.0,1.0,0.0,10.0,439.0,3.0,82.0,0.2,11742.0,2151.0
Azerbaijan,443.0,43.0,5.0,0.0,32.0,406.0,7.0,44.0,0.5,35000.0,3452.0
Andorra,439.0,11.0,16.0,1.0,16.0,407.0,12.0,5682.0,207.0,0.0,0.0
North Macedonia,430.0,46.0,12.0,1.0,20.0,398.0,8.0,206.0,6.0,4506.0,2163.0
Kuwait,417.0,75.0,0.0,0.0,82.0,335.0,16.0,98.0,0.0,0.0,0.0
Costa Rica,416.0,20.0,2.0,0.0,11.0,403.0,13.0,82.0,0.4,3498.0,687.0
Cyprus,396.0,40.0,11.0,1.0,28.0,357.0,11.0,328.0,9.0,9447.0,7825.0
Uruguay,386.0,36.0,4.0,0.0,86.0,296.0,13.0,111.0,1.0,4786.0,1378.0
Belarus,351.0,47.0,4.0,0.0,53.0,294.0,11.0,37.0,0.4,32000.0,3386.0
Taiwan,348.0,9.0,5.0,0.0,50.0,293.0,0.0,15.0,0.2,30777.0,1292.0
Réunion,321.0,13.0,0.0,0.0,40.0,281.0,3.0,359.0,0.0,0.0,0.0
Jordan,310.0,11.0,5.0,0.0,58.0,247.0,5.0,30.0,0.5,239.0,23.0
Albania,304.0,27.0,17.0,1.0,89.0,198.0,7.0,106.0,6.0,2031.0,706.0
Burkina Faso,302.0,14.0,16.0,0.0,50.0,236.0,0.0,14.0,0.8,0.0,0.0
Afghanistan,281.0,8.0,6.0,0.0,10.0,265.0,0.0,7.0,0.2,0.0,0.0
Cuba,269.0,36.0,6.0,0.0,15.0,248.0,8.0,24.0,0.5,3342.0,295.0
Oman,252.0,21.0,1.0,0.0,57.0,194.0,3.0,49.0,0.2,0.0,0.0
San Marino,251.0,6.0,32.0,2.0,26.0,193.0,13.0,7397.0,943.0,586.0,17270.0
Vietnam,239.0,6.0,0.0,0.0,85.0,154.0,3.0,2.0,0.0,35808.0,368.0
Channel Islands,232.0,39.0,4.0,1.0,13.0,215.0,0.0,1334.0,23.0,0.0,0.0
Uzbekistan,227.0,22.0,2.0,0.0,25.0,200.0,8.0,7.0,0.06,0.0,0.0
Honduras,222.0,3.0,15.0,1.0,3.0,204.0,10.0,22.0,2.0,0.0,0.0
Ivory Coast,218.0,24.0,1.0,0.0,19.0,198.0,0.0,8.0,0.04,0.0,0.0
Nigeria,210.0,26.0,4.0,2.0,25.0,181.0,0.0,1.0,0.02,0.0,0.0
Senegal,207.0,12.0,1.0,0.0,66.0,140.0,1.0,12.0,0.06,195.0,12.0
Ghana,205.0,1.0,5.0,0.0,31.0,169.0,2.0,7.0,0.2,0.0,0.0
Malta,202.0,6.0,0.0,0.0,2.0,200.0,2.0,457.0,0.0,9043.0,20480.0
Palestine,194.0,33.0,1.0,0.0,21.0,172.0,0.0,38.0,0.2,7553.0,1481.0
Mauritius,186.0,17.0,7.0,0.0,0.0,179.0,1.0,146.0,6.0,0.0,0.0
Faeroe Islands,179.0,2.0,0.0,0.0,91.0,88.0,1.0,3663.0,0.0,4653.0,95225.0
Montenegro,174.0,30.0,2.0,0.0,1.0,171.0,4.0,277.0,3.0,1006.0,1602.0
Sri Lanka,159.0,8.0,4.0,0.0,24.0,131.0,5.0,7.0,0.2,0.0,0.0
Georgia,155.0,21.0,0.0,0.0,28.0,127.0,6.0,39.0,0.0,0.0,0.0
Venezuela,153.0,7.0,7.0,2.0,52.0,94.0,6.0,5.0,0.2,0.0,0.0
DRC,148.0,14.0,16.0,3.0,3.0,129.0,0.0,2.0,0.2,0.0,0.0
Martinique,143.0,5.0,3.0,0.0,27.0,113.0,18.0,381.0,8.0,0.0,0.0
Brunei ,134.0,1.0,1.0,0.0,65.0,68.0,3.0,306.0,2.0,7566.0,17295.0
Bolivia,132.0,9.0,9.0,1.0,1.0,122.0,3.0,11.0,0.8,191.0,16.0
Guadeloupe,130.0,2.0,7.0,1.0,24.0,99.0,14.0,325.0,17.0,0.0,0.0
Kyrgyzstan,130.0,14.0,1.0,1.0,6.0,123.0,5.0,20.0,0.2,9618.0,1474.0
Mayotte,128.0,12.0,2.0,1.0,10.0,116.0,3.0,469.0,7.0,479.0,1756.0
Kenya,122.0,12.0,4.0,1.0,4.0,114.0,2.0,2.0,0.07,2201.0,41.0
Niger,120.0,22.0,5.0,0.0,0.0,115.0,0.0,5.0,0.2,3729.0,154.0
Isle of Man,114.0,19.0,1.0,0.0,0.0,113.0,0.0,1341.0,12.0,1230.0,14465.0
Cambodia,114.0,4.0,0.0,0.0,35.0,79.0,1.0,7.0,0.0,5768.0,345.0
Trinidad and Tobago,98.0,4.0,6.0,1.0,1.0,91.0,0.0,70.0,4.0,705.0,504.0
Gibraltar,95.0,7.0,0.0,0.0,46.0,49.0,0.0,2820.0,0.0,1136.0,33718.0
Paraguay,92.0,15.0,3.0,0.0,6.0,83.0,2.0,13.0,0.4,116.0,16.0
Rwanda,89.0,5.0,0.0,0.0,0.0,89.0,0.0,7.0,0.0,0.0,0.0
Liechtenstein,75.0,0.0,0.0,0.0,0.0,75.0,0.0,1967.0,0.0,900.0,23605.0
Guinea,73.0,21.0,0.0,0.0,2.0,71.0,0.0,6.0,0.0,0.0,0.0
Madagascar,70.0,11.0,0.0,0.0,0.0,70.0,6.0,3.0,0.0,0.0,0.0
Monaco,64.0,4.0,1.0,0.0,3.0,60.0,2.0,1631.0,25.0,0.0,0.0
Aruba,62.0,2.0,0.0,0.0,1.0,61.0,0.0,581.0,0.0,836.0,7830.0
Bangladesh,61.0,5.0,6.0,0.0,26.0,29.0,1.0,0.4,0.04,2086.0,13.0
French Guiana,57.0,6.0,0.0,0.0,22.0,35.0,1.0,191.0,0.0,0.0,0.0
Jamaica,53.0,6.0,3.0,0.0,7.0,43.0,0.0,18.0,1.0,292.0,99.0
Barbados,51.0,5.0,0.0,0.0,0.0,51.0,0.0,177.0,0.0,0.0,0.0
Guatemala,50.0,3.0,1.0,0.0,12.0,37.0,1.0,3.0,0.06,0.0,0.0
Djibouti,49.0,9.0,0.0,0.0,8.0,41.0,0.0,50.0,0.0,0.0,0.0
Uganda,48.0,3.0,0.0,0.0,0.0,48.0,0.0,1.0,0.0,0.0,0.0
El Salvador,46.0,5.0,3.0,1.0,0.0,43.0,4.0,7.0,0.5,0.0,0.0
Macao,42.0,1.0,0.0,0.0,10.0,32.0,0.0,65.0,0.0,0.0,0.0
Togo,40.0,1.0,3.0,1.0,17.0,20.0,0.0,5.0,0.4,0.0,0.0
Mali,39.0,3.0,3.0,0.0,0.0,36.0,0.0,2.0,0.1,0.0,0.0
Zambia,39.0,0.0,1.0,0.0,2.0,36.0,0.0,2.0,0.05,619.0,34.0
French Polynesia,39.0,2.0,0.0,0.0,0.0,39.0,1.0,139.0,0.0,554.0,1972.0
Bermuda,35.0,0.0,0.0,0.0,14.0,21.0,0.0,562.0,0.0,272.0,4368.0
Ethiopia,35.0,6.0,0.0,0.0,3.0,32.0,2.0,0.3,0.0,1222.0,11.0
Cayman Islands,29.0,1.0,1.0,0.0,1.0,27.0,0.0,441.0,15.0,265.0,4032.0
Bahamas,24.0,0.0,3.0,2.0,0.0,21.0,1.0,61.0,8.0,0.0,0.0
Guyana,23.0,4.0,4.0,0.0,0.0,19.0,0.0,29.0,5.0,83.0,106.0
Sint Maarten,23.0,5.0,4.0,3.0,6.0,13.0,0.0,536.0,93.0,82.0,1912.0
Congo,22.0,0.0,2.0,0.0,2.0,18.0,0.0,4.0,0.4,0.0,0.0
Saint Martin,22.0,0.0,1.0,0.0,2.0,19.0,0.0,569.0,26.0,18.0,466.0
