Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop 
Asia,321351.0,11111.0,11724.0,373.0,155723.0,153904.0,6492.0,0.0,0.0,0.0,0.0
North America,656082.0,29018.0,27687.0,2575.0,49816.0,578579.0,14580.0,0.0,0.0,0.0,0.0
Europe,937288.0,29902.0,83718.0,3729.0,243154.0,610416.0,29107.0,0.0,0.0,0.0,0.0
South America,57689.0,2995.0,2511.0,263.0,21614.0,33564.0,1163.0,0.0,0.0,0.0,0.0
Oceania,7857.0,58.0,70.0,4.0,4227.0,3560.0,85.0,0.0,0.0,0.0,0.0
Africa,16872.0,928.0,876.0,38.0,3343.0,12653.0,178.0,0.0,0.0,0.0,0.0
0,721.0,0.0,14.0,0.0,639.0,68.0,7.0,0.0,0.0,0.0,0.0
World,1997860.0,74012.0,126600.0,6982.0,478516.0,1392744.0,51612.0,256.0,16.2,0.0,0.0
China,82249.0,89.0,3341.0,0.0,77738.0,1170.0,116.0,57.0,2.0,0.0,0.0
USA,613886.0,26945.0,26047.0,2407.0,38820.0,549019.0,13473.0,1855.0,79.0,3065019.0,9260.0
Spain,174060.0,3961.0,18255.0,499.0,67504.0,88301.0,7371.0,3723.0,390.0,600000.0,12833.0
Italy,162488.0,2972.0,21067.0,602.0,37130.0,104291.0,3186.0,2687.0,348.0,1073689.0,17758.0
France,143303.0,6524.0,15729.0,762.0,28805.0,98769.0,6730.0,2195.0,241.0,333807.0,5114.0
Germany,132210.0,2138.0,3495.0,301.0,68200.0,60515.0,4288.0,1578.0,42.0,1317887.0,15730.0
UK,93873.0,5252.0,12107.0,778.0,0.0,81422.0,1559.0,1383.0,178.0,382650.0,5637.0
Iran,74877.0,1574.0,4683.0,98.0,48129.0,22065.0,3691.0,891.0,56.0,287359.0,3421.0
Turkey,65111.0,4062.0,1403.0,107.0,4799.0,58909.0,1809.0,772.0,17.0,443626.0,5260.0
Belgium,31119.0,530.0,4157.0,254.0,6868.0,20094.0,1223.0,2685.0,359.0,102151.0,8814.0
Netherlands,27419.0,868.0,2945.0,122.0,250.0,24224.0,1358.0,1600.0,172.0,134972.0,7877.0
Canada,27063.0,1383.0,903.0,123.0,8235.0,17925.0,557.0,717.0,24.0,450717.0,11942.0
Switzerland,25936.0,248.0,1174.0,36.0,13700.0,11062.0,386.0,2997.0,136.0,199000.0,22993.0
Brazil,25262.0,1832.0,1532.0,204.0,14026.0,9704.0,296.0,119.0,7.0,62985.0,296.0
Russia,21102.0,2774.0,170.0,22.0,1694.0,19238.0,8.0,145.0,1.0,1400000.0,9593.0
Portugal,17448.0,514.0,567.0,32.0,347.0,16534.0,218.0,1711.0,56.0,191680.0,18798.0
Austria,14226.0,185.0,384.0,16.0,7633.0,6209.0,243.0,1580.0,43.0,151796.0,16854.0
Israel,12046.0,460.0,123.0,7.0,2195.0,9728.0,175.0,1392.0,14.0,117339.0,13557.0
India,11487.0,1034.0,393.0,35.0,1359.0,9735.0,0.0,8.0,0.3,244893.0,177.0
Ireland,11479.0,832.0,406.0,41.0,25.0,11048.0,194.0,2325.0,82.0,90646.0,18358.0
Sweden,11445.0,497.0,1033.0,114.0,381.0,10031.0,915.0,1133.0,102.0,54700.0,5416.0
S. Korea,10564.0,27.0,222.0,5.0,7534.0,2808.0,55.0,206.0,4.0,527438.0,10288.0
Peru,10303.0,519.0,230.0,14.0,2869.0,7204.0,132.0,312.0,7.0,102216.0,3100.0
Chile,7917.0,392.0,92.0,10.0,2646.0,5179.0,387.0,414.0,5.0,87794.0,4593.0
Japan,7885.0,267.0,146.0,3.0,853.0,6886.0,152.0,62.0,1.0,89551.0,708.0
Ecuador,7603.0,74.0,369.0,14.0,696.0,6538.0,129.0,431.0,21.0,25347.0,1437.0
Poland,7202.0,268.0,263.0,18.0,618.0,6321.0,160.0,190.0,7.0,148321.0,3919.0
Romania,6879.0,246.0,351.0,20.0,1051.0,5477.0,241.0,358.0,18.0,70097.0,3644.0
Norway,6623.0,20.0,139.0,5.0,32.0,6452.0,59.0,1222.0,26.0,128569.0,23716.0
Denmark,6511.0,193.0,299.0,14.0,2515.0,3697.0,100.0,1124.0,52.0,74210.0,12812.0
Australia,6400.0,41.0,61.0,0.0,3598.0,2741.0,80.0,251.0,2.0,366493.0,14372.0
Czechia,6111.0,52.0,161.0,18.0,642.0,5308.0,92.0,571.0,15.0,131542.0,12283.0
Pakistan,5837.0,341.0,96.0,3.0,1378.0,4363.0,46.0,26.0,0.4,69928.0,317.0
Saudi Arabia,5369.0,435.0,73.0,8.0,889.0,4407.0,59.0,154.0,2.0,150000.0,4309.0
Philippines,5223.0,291.0,335.0,20.0,295.0,4593.0,1.0,48.0,3.0,43500.0,397.0
Mexico,5014.0,353.0,332.0,36.0,1964.0,2718.0,207.0,39.0,3.0,37395.0,290.0
Malaysia,4987.0,170.0,82.0,5.0,2478.0,2427.0,60.0,154.0,3.0,84791.0,2620.0
UAE,4933.0,412.0,28.0,3.0,933.0,3972.0,1.0,499.0,3.0,648195.0,65538.0
Indonesia,4839.0,282.0,459.0,60.0,426.0,3954.0,0.0,18.0,2.0,31628.0,116.0
Serbia,4465.0,411.0,94.0,9.0,400.0,3971.0,131.0,511.0,11.0,23398.0,2678.0
Panama,3574.0,102.0,95.0,1.0,72.0,3407.0,106.0,828.0,22.0,16053.0,3720.0
Qatar,3428.0,197.0,7.0,0.0,373.0,3048.0,37.0,1190.0,2.0,52622.0,18265.0
Ukraine,3372.0,270.0,98.0,5.0,119.0,3155.0,45.0,77.0,2.0,35153.0,804.0
Luxembourg,3307.0,15.0,67.0,0.0,500.0,2740.0,30.0,5283.0,107.0,29523.0,47163.0
Dominican Republic,3286.0,119.0,183.0,6.0,162.0,2941.0,143.0,303.0,17.0,9275.0,855.0
Belarus,3281.0,362.0,33.0,4.0,203.0,3045.0,57.0,347.0,3.0,71875.0,7606.0
Singapore,3252.0,334.0,10.0,1.0,611.0,2631.0,29.0,556.0,2.0,72680.0,12423.0
Finland,3161.0,97.0,64.0,5.0,300.0,2797.0,74.0,571.0,12.0,47290.0,8535.0
Colombia,2979.0,127.0,127.0,15.0,354.0,2498.0,106.0,59.0,2.0,43053.0,846.0
Thailand,2613.0,34.0,41.0,1.0,1405.0,1167.0,61.0,37.0,0.6,100498.0,1440.0
South Africa,2415.0,143.0,27.0,0.0,410.0,1978.0,7.0,41.0,0.5,87022.0,1467.0
Egypt,2350.0,160.0,178.0,14.0,589.0,1583.0,0.0,23.0,2.0,25000.0,244.0
Argentina,2277.0,0.0,102.0,4.0,559.0,1616.0,83.0,50.0,2.0,22805.0,505.0
Greece,2170.0,25.0,101.0,2.0,269.0,1800.0,76.0,208.0,10.0,48798.0,4682.0
Algeria,2070.0,87.0,326.0,13.0,691.0,1053.0,60.0,47.0,7.0,3359.0,77.0
Moldova,1934.0,222.0,41.0,6.0,171.0,1722.0,80.0,479.0,10.0,6271.0,1555.0
Morocco,1888.0,125.0,126.0,0.0,217.0,1545.0,1.0,51.0,3.0,9609.0,260.0
Iceland,1720.0,9.0,8.0,0.0,989.0,723.0,8.0,5040.0,23.0,36339.0,106490.0
Croatia,1704.0,54.0,31.0,6.0,415.0,1258.0,34.0,415.0,8.0,18359.0,4472.0
Bahrain,1528.0,167.0,7.0,1.0,645.0,876.0,3.0,898.0,4.0,69359.0,40762.0
Hungary,1512.0,54.0,122.0,13.0,122.0,1268.0,58.0,157.0,13.0,35825.0,3708.0
Iraq,1400.0,22.0,78.0,0.0,766.0,556.0,0.0,35.0,2.0,45437.0,1130.0
Estonia,1373.0,41.0,31.0,3.0,115.0,1227.0,11.0,1035.0,23.0,32263.0,24321.0
New Zealand,1366.0,17.0,9.0,4.0,628.0,729.0,4.0,283.0,2.0,64399.0,13355.0
Kuwait,1355.0,55.0,3.0,1.0,176.0,1176.0,26.0,317.0,0.7,0.0,0.0
Kazakhstan,1232.0,141.0,14.0,2.0,203.0,1015.0,21.0,66.0,0.7,76904.0,4096.0
Slovenia,1220.0,8.0,56.0,1.0,152.0,1012.0,35.0,587.0,27.0,35946.0,17291.0
Azerbaijan,1197.0,49.0,13.0,1.0,351.0,833.0,25.0,118.0,1.0,71736.0,7075.0
Uzbekistan,1165.0,167.0,4.0,0.0,99.0,1062.0,8.0,35.0,0.1,70000.0,2091.0
Bosnia and Herzegovina,1083.0,46.0,40.0,1.0,236.0,807.0,4.0,330.0,12.0,12407.0,3782.0
Lithuania,1070.0,8.0,29.0,5.0,101.0,940.0,14.0,393.0,11.0,42690.0,15682.0
Armenia,1067.0,28.0,16.0,2.0,265.0,786.0,30.0,360.0,5.0,8316.0,2806.0
Hong Kong,1013.0,3.0,4.0,0.0,434.0,575.0,13.0,135.0,0.5,96709.0,12900.0
Bangladesh,1012.0,209.0,46.0,7.0,42.0,924.0,1.0,6.0,0.3,13128.0,80.0
North Macedonia,908.0,54.0,44.0,6.0,86.0,778.0,15.0,436.0,21.0,9262.0,4446.0
Cameroon,848.0,0.0,14.0,2.0,130.0,704.0,0.0,32.0,0.5,0.0,0.0
Slovakia,835.0,66.0,2.0,0.0,113.0,720.0,5.0,153.0,0.4,30052.0,5504.0
Oman,813.0,86.0,4.0,0.0,130.0,679.0,3.0,159.0,0.8,0.0,0.0
Cuba,766.0,40.0,21.0,0.0,132.0,613.0,9.0,68.0,2.0,18634.0,1645.0
Tunisia,747.0,21.0,34.0,0.0,43.0,670.0,89.0,63.0,3.0,12415.0,1050.0
Afghanistan,714.0,49.0,23.0,2.0,40.0,651.0,0.0,18.0,0.6,0.0,0.0
Bulgaria,713.0,28.0,35.0,3.0,81.0,597.0,29.0,103.0,5.0,18502.0,2663.0
Diamond Princess,712.0,0.0,12.0,0.0,639.0,61.0,7.0,0.0,0.0,0.0,0.0
Cyprus,695.0,33.0,12.0,0.0,65.0,618.0,8.0,576.0,10.0,17923.0,14845.0
Andorra,659.0,13.0,31.0,2.0,128.0,500.0,17.0,8529.0,401.0,1673.0,21653.0
Latvia,657.0,2.0,5.0,0.0,16.0,636.0,3.0,348.0,3.0,29018.0,15384.0
Lebanon,641.0,9.0,21.0,1.0,80.0,540.0,33.0,94.0,3.0,16319.0,2391.0
Ivory Coast,638.0,12.0,6.0,0.0,114.0,518.0,0.0,24.0,0.2,0.0,0.0
Ghana,636.0,70.0,8.0,0.0,17.0,611.0,2.0,20.0,0.3,44421.0,1430.0
Costa Rica,618.0,6.0,3.0,0.0,66.0,549.0,14.0,121.0,0.6,8703.0,1708.0
Niger,570.0,22.0,14.0,1.0,90.0,466.0,0.0,24.0,0.6,4427.0,183.0
Burkina Faso,528.0,13.0,30.0,3.0,177.0,321.0,0.0,25.0,1.0,0.0,0.0
Uruguay,492.0,9.0,8.0,0.0,260.0,224.0,14.0,142.0,2.0,9929.0,2858.0
Albania,475.0,8.0,24.0,1.0,248.0,203.0,5.0,165.0,8.0,4306.0,1496.0
