Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
Asia,0.0,4523260.0,73412.0,100946.0,1357.0,3357758.0,61377.0,1064556.0,19122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North America,0.0,5710976.0,57179.0,222819.0,922.0,2989060.0,74112.0,2499097.0,26125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,4286142.0,41668.0,148333.0,1516.0,2929578.0,43539.0,1208231.0,13135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,2923722.0,16361.0,204053.0,237.0,1755204.0,6749.0,964465.0,5154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,972460.0,10899.0,20671.0,321.0,632929.0,17585.0,318860.0,1149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,20107.0,398.0,246.0,13.0,12276.0,202.0,7585.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,0.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,18437388.0,199917.0,697083.0,4366.0,11677456.0,203564.0,6062849.0,64732.0,2365.0,89.4,0.0,0.0,0.0,0.0,0.0,0.0
China,1.0,84428.0,43.0,4634.0,0.0,79013.0,10.0,781.0,35.0,59.0,3.0,90410000.0,62814.0,1439323776.0,17048.0,310601.0,16.0
USA,2.0,4863916.0,48646.0,158928.0,567.0,2446798.0,66581.0,2258190.0,18725.0,14687.0,480.0,60937541.0,184000.0,331182250.0,68.0,2084.0,5.0
Brazil,3.0,2751665.0,17988.0,94702.0,572.0,1912319.0,28268.0,744644.0,8318.0,12937.0,445.0,13196132.0,62042.0,212698326.0,77.0,2246.0,16.0
India,4.0,1855331.0,50629.0,38971.0,810.0,1230440.0,43212.0,585920.0,8944.0,1343.0,28.0,20202858.0,14627.0,1381233876.0,744.0,35443.0,68.0
Russia,5.0,856264.0,5394.0,14207.0,79.0,653593.0,3420.0,188464.0,2300.0,5867.0,97.0,29029900.0,198916.0,145940412.0,170.0,10272.0,5.0
South Africa,6.0,516862.0,5377.0,8539.0,173.0,358037.0,10810.0,150286.0,539.0,8705.0,144.0,3058695.0,51514.0,59375438.0,115.0,6953.0,19.0
Mexico,7.0,439046.0,4853.0,47746.0,274.0,289394.0,4547.0,101906.0,3944.0,3402.0,370.0,1005498.0,7791.0,129055063.0,294.0,2703.0,128.0
Peru,8.0,433100.0,4250.0,19811.0,197.0,298091.0,3904.0,115198.0,1419.0,13119.0,600.0,2417857.0,73241.0,33012553.0,76.0,1666.0,14.0
Chile,9.0,361493.0,1762.0,9707.0,99.0,333976.0,1565.0,17810.0,235.0,18895.0,507.0,1697558.0,88733.0,19131170.0,53.0,1971.0,11.0
Spain,10.0,344134.0,3044.0,28472.0,9.0,0.0,0.0,0.0,617.0,7360.0,609.0,6678414.0,142834.0,46756500.0,136.0,1642.0,7.0
Colombia,11.0,327850.0,10199.0,11017.0,367.0,173727.0,6488.0,143106.0,1493.0,6437.0,216.0,1685530.0,33094.0,50931819.0,155.0,4623.0,30.0
Iran,12.0,312035.0,2598.0,17405.0,215.0,270228.0,2126.0,24402.0,4104.0,3711.0,207.0,2534658.0,30143.0,84088811.0,269.0,4831.0,33.0
