Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
Asia,0.0,18982116.0,110022.0,310839.0,1484.0,17149681.0,122701.0,1521596.0,28106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North America,0.0,19100525.0,244581.0,449211.0,3172.0,11574490.0,155077.0,7076824.0,32576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,11925622.0,64378.0,339338.0,1115.0,10564356.0,29906.0,1021928.0,16649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,19659960.0,200970.0,454395.0,4334.0,9160362.0,144891.0,10045203.0,26903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,2376741.0,18068.0,56082.0,326.0,2014826.0,10956.0,305833.0,2587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,46562.0,13.0,1034.0,0.0,33204.0,6.0,12324.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,72092247.0,638032.0,1610914.0,10431.0,50497625.0,463537.0,19983708.0,106846.0,9249.0,206.7,0.0,0.0,0.0,0.0,0.0,0.0
China,1.0,86701.0,13.0,4634.0,0.0,81774.0,12.0,293.0,5.0,60.0,3.0,160000000.0,111163.0,1439323776.0,16601.0,310601.0,9.0
USA,2.0,16549366.0,220298.0,305082.0,2309.0,9644325.0,136849.0,6599959.0,27523.0,49866.0,919.0,219505072.0,661408.0,331875677.0,20.0,1088.0,2.0
India,3.0,9857380.0,30354.0,143055.0,393.0,9356879.0,33087.0,357446.0,8944.0,7112.0,103.0,152697399.0,110164.0,1386086156.0,141.0,9689.0,9.0
Brazil,4.0,6880595.0,44282.0,181143.0,690.0,5969706.0,14961.0,729746.0,8318.0,32267.0,849.0,25700000.0,120522.0,213238308.0,31.0,1177.0,8.0
Russia,5.0,2625848.0,28137.0,46453.0,560.0,2085958.0,26118.0,493437.0,2300.0,17990.0,318.0,82100000.0,562472.0,145962734.0,56.0,3142.0,2.0
France,6.0,2365319.0,13947.0,57761.0,194.0,175891.0,0.0,2131667.0,2884.0,36201.0,884.0,28717663.0,439520.0,65338673.0,28.0,1131.0,2.0
UK,7.0,1830956.0,21502.0,64026.0,519.0,0.0,0.0,0.0,1275.0,26907.0,941.0,47141344.0,692781.0,68046489.0,37.0,1063.0,1.0
Italy,8.0,1825774.0,19902.0,64036.0,649.0,1076891.0,24728.0,684847.0,3199.0,30217.0,1060.0,24063029.0,398252.0,60421597.0,33.0,944.0,3.0
Turkey,9.0,1809809.0,29136.0,16199.0,222.0,1581565.0,38518.0,212045.0,5961.0,21356.0,191.0,20898517.0,246603.0,84745541.0,47.0,5232.0,4.0
Spain,10.0,1741439.0,0.0,47624.0,0.0,0.0,0.0,0.0,2100.0,37240.0,1018.0,24101272.0,515392.0,46762960.0,27.0,982.0,2.0
Argentina,11.0,1494602.0,5274.0,40668.0,62.0,1330160.0,5368.0,123774.0,3594.0,32934.0,896.0,4237401.0,93372.0,45381784.0,30.0,1116.0,11.0
Colombia,12.0,1417072.0,8163.0,38866.0,197.0,1310425.0,6126.0,67781.0,2376.0,27717.0,760.0,7029070.0,137486.0,51125823.0,36.0,1315.0,7.0
Germany,13.0,1320592.0,21816.0,22171.0,351.0,957500.0,15400.0,340921.0,4491.0,15739.0,264.0,30494036.0,363437.0,83904708.0,64.0,3784.0,3.0
Mexico,14.0,1229379.0,12253.0,113019.0,693.0,904042.0,7912.0,212318.0,3550.0,9490.0,872.0,3150804.0,24323.0,129539611.0,105.0,1146.0,41.0
Poland,15.0,1126699.0,11496.0,22676.0,502.0,840541.0,25185.0,263482.0,1765.0,29785.0,599.0,6653788.0,175896.0,37827861.0,34.0,1668.0,6.0
Iran,16.0,1100818.0,8201.0,51949.0,221.0,800853.0,13000.0,248016.0,5739.0,13032.0,615.0,6657974.0,78817.0,84473593.0,77.0,1626.0,13.0
Peru,17.0,983045.0,2102.0,36609.0,65.0,916335.0,86.0,30101.0,1039.0,29630.0,1103.0,5248832.0,158207.0,33176991.0,34.0,906.0,6.0
Ukraine,18.0,885039.0,12811.0,14998.0,243.0,494001.0,13653.0,376040.0,177.0,20292.0,344.0,4957299.0,113662.0,43614454.0,49.0,2908.0,9.0
South Africa,19.0,852965.0,7882.0,23106.0,154.0,760118.0,1745.0,69741.0,546.0,14301.0,387.0,5819755.0,97576.0,59643060.0,70.0,2581.0,10.0
Indonesia,20.0,611631.0,6388.0,18653.0,142.0,501376.0,4490.0,91602.0,0.0,2226.0,68.0,6331331.0,23038.0,274819278.0,449.0,14733.0,43.0
Netherlands,21.0,603603.0,9080.0,10019.0,53.0,0.0,0.0,0.0,496.0,35191.0,584.0,5077285.0,296017.0,17151977.0,28.0,1712.0,3.0
Belgium,22.0,603159.0,2762.0,17792.0,100.0,41334.0,545.0,544033.0,646.0,51941.0,1532.0,6269883.0,539933.0,11612338.0,19.0,653.0,2.0
Czechia,23.0,575424.0,6203.0,9490.0,88.0,504540.0,350.0,61394.0,563.0,53688.0,885.0,3323551.0,310092.0,10717947.0,19.0,1129.0,3.0
Iraq,24.0,573622.0,1022.0,12565.0,16.0,505669.0,1772.0,55388.0,193.0,14121.0,309.0,3867170.0,95198.0,40622450.0,71.0,3233.0,11.0
Chile,25.0,569781.0,1807.0,15846.0,64.0,543083.0,1738.0,10852.0,651.0,29692.0,826.0,5727305.0,298455.0,19189836.0,34.0,1211.0,3.0
Romania,26.0,551900.0,6333.0,13264.0,148.0,451477.0,8309.0,87159.0,1288.0,28776.0,692.0,4413212.0,230102.0,19179387.0,35.0,1446.0,4.0
Bangladesh,27.0,489178.0,1329.0,7020.0,34.0,417503.0,3185.0,64655.0,0.0,2957.0,42.0,2956882.0,17874.0,165424778.0,338.0,23565.0,56.0
Canada,28.0,454852.0,6011.0,13350.0,99.0,368474.0,6181.0,73028.0,596.0,12004.0,352.0,12485963.0,329526.0,37890626.0,83.0,2838.0,3.0
Philippines,29.0,448315.0,1285.0,8730.0,35.0,409391.0,69.0,30194.0,1401.0,4067.0,79.0,6195558.0,56204.0,110232847.0,246.0,12627.0,18.0
Pakistan,30.0,435056.0,2729.0,8724.0,71.0,381208.0,2116.0,45124.0,2470.0,1953.0,39.0,5990168.0,26886.0,222798353.0,512.0,25539.0,37.0
Morocco,31.0,397597.0,3033.0,6589.0,47.0,353098.0,3277.0,37910.0,1013.0,10715.0,178.0,4179619.0,112639.0,37106321.0,93.0,5632.0,9.0
Switzerland,32.0,373831.0,0.0,5976.0,48.0,291500.0,0.0,76355.0,454.0,43053.0,688.0,3019837.0,347785.0,8683055.0,23.0,1453.0,3.0
Saudi Arabia,33.0,359749.0,166.0,6036.0,13.0,350347.0,239.0,3366.0,517.0,10262.0,172.0,10349590.0,295233.0,35055661.0,97.0,5808.0,3.0
Israel,34.0,355786.0,2517.0,2983.0,14.0,335243.0,1343.0,17560.0,338.0,38683.0,324.0,5605071.0,609406.0,9197590.0,26.0,3083.0,2.0
Portugal,35.0,344700.0,4413.0,5461.0,88.0,268453.0,4805.0,70786.0,503.0,33850.0,536.0,4939014.0,485014.0,10183241.0,30.0,1865.0,2.0
Sweden,36.0,320098.0,0.0,7514.0,0.0,0.0,0.0,0.0,258.0,31607.0,742.0,3718476.0,367163.0,10127581.0,32.0,1348.0,3.0
Austria,37.0,319822.0,3241.0,4415.0,126.0,277883.0,4380.0,37524.0,591.0,35420.0,489.0,3386308.0,375027.0,9029515.0,28.0,2045.0,3.0
Hungary,38.0,276247.0,5047.0,6784.0,162.0,79769.0,1069.0,189694.0,610.0,28629.0,703.0,2275935.0,235867.0,9649242.0,35.0,1422.0,4.0
Serbia,39.0,261437.0,5679.0,2275.0,48.0,31536.0,0.0,227626.0,318.0,29976.0,261.0,2016984.0,231268.0,8721414.0,33.0,3834.0,4.0
Jordan,40.0,257275.0,1816.0,3335.0,49.0,213344.0,3598.0,40596.0,340.0,25104.0,325.0,2810294.0,274214.0,10248534.0,40.0,3073.0,4.0
Nepal,41.0,247593.0,899.0,1689.0,15.0,234231.0,1359.0,11673.0,0.0,8430.0,58.0,1825860.0,62168.0,29369998.0,119.0,17389.0,16.0
Ecuador,42.0,201524.0,759.0,13874.0,16.0,174188.0,0.0,13462.0,359.0,11345.0,781.0,688032.0,38735.0,17762573.0,88.0,1280.0,26.0
Panama,43.0,190585.0,2806.0,3331.0,22.0,160641.0,1571.0,26613.0,183.0,43863.0,767.0,1051067.0,241900.0,4345053.0,23.0,1304.0,4.0
Georgia,44.0,187006.0,3907.0,1744.0,50.0,154241.0,3780.0,31021.0,0.0,46919.0,438.0,1667615.0,418399.0,3985701.0,21.0,2285.0,2.0
UAE,45.0,183755.0,1154.0,609.0,2.0,163048.0,613.0,20098.0,0.0,18479.0,61.0,18275468.0,1837864.0,9943861.0,54.0,16328.0,1.0
