Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
Asia,0.0,3397249.0,65984.0,79895.0,1466.0,2411453.0,51738.0,905901.0,19714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North America,0.0,4563820.0,78469.0,196317.0,1118.0,2213205.0,33885.0,2154298.0,20055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,3265299.0,44847.0,117891.0,1316.0,2122864.0,18878.0,1024544.0,13643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,2674896.0,14204.0,199114.0,207.0,1588788.0,6343.0,886994.0,5303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,724870.0,18801.0,15210.0,214.0,383351.0,12636.0,326309.0,1061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,13481.0,364.0,144.0,4.0,9886.0,112.0,3451.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,0.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,14640336.0,222669.0,608586.0,4325.0,8730198.0,123592.0,5301552.0,59809.0,1878.0,78.1,0.0,0.0,0.0,0.0,0.0,0.0
China,1.0,83660.0,16.0,4634.0,0.0,78775.0,17.0,251.0,3.0,58.0,3.0,90410000.0,62814.0,1439323776.0,17204.0,310601.0,16.0
USA,2.0,3898550.0,65279.0,143289.0,412.0,1802338.0,27244.0,1952923.0,16552.0,11774.0,433.0,48341735.0,146002.0,331102850.0,85.0,2311.0,7.0
Brazil,3.0,2099896.0,24650.0,79533.0,716.0,1371229.0,4454.0,649134.0,8318.0,9876.0,374.0,4911063.0,23096.0,212636496.0,101.0,2674.0,43.0
India,4.0,1118107.0,40243.0,27503.0,675.0,700399.0,22769.0,390205.0,8944.0,810.0,20.0,13791869.0,9989.0,1380678271.0,1235.0,50201.0,100.0
Russia,5.0,771546.0,6109.0,12342.0,95.0,550344.0,3481.0,208860.0,2300.0,5287.0,85.0,24991740.0,171249.0,145937857.0,189.0,11824.0,6.0
South Africa,6.0,364328.0,13449.0,5033.0,85.0,191059.0,8829.0,168236.0,539.0,6139.0,85.0,2471747.0,41651.0,59344794.0,163.0,11791.0,24.0
Peru,7.0,353590.0,4090.0,13187.0,189.0,241955.0,3869.0,98448.0,1293.0,10717.0,400.0,2063240.0,62534.0,32993724.0,93.0,2502.0,16.0
Mexico,8.0,338913.0,7615.0,38888.0,578.0,213006.0,4570.0,87019.0,378.0,2627.0,301.0,814653.0,6315.0,128999581.0,381.0,3317.0,158.0
Chile,9.0,330930.0,2084.0,8503.0,58.0,301794.0,2345.0,20633.0,1764.0,17304.0,445.0,1404047.0,73416.0,19124453.0,58.0,2249.0,14.0
Spain,10.0,310389.0,1527.0,28420.0,0.0,0.0,0.0,0.0,617.0,6639.0,608.0,6026446.0,128892.0,46755761.0,151.0,1645.0,8.0
UK,11.0,294792.0,726.0,45300.0,27.0,0.0,0.0,0.0,142.0,4341.0,667.0,13293523.0,195768.0,67904526.0,230.0,1499.0,5.0
Iran,12.0,273788.0,2182.0,14188.0,209.0,237788.0,2488.0,21812.0,3556.0,3258.0,169.0,2148999.0,25570.0,84044752.0,307.0,5924.0,39.0
Pakistan,13.0,263496.0,1580.0,5568.0,46.0,204276.0,5767.0,53652.0,1763.0,1192.0,25.0,1721660.0,7787.0,221084562.0,839.0,39706.0,128.0
Saudi Arabia,14.0,250920.0,2504.0,2486.0,39.0,197735.0,3517.0,50699.0,2180.0,7202.0,71.0,2670926.0,76664.0,34839236.0,139.0,14014.0,13.0
Italy,15.0,244434.0,218.0,35045.0,3.0,196949.0,143.0,12440.0,49.0,4043.0,580.0,6238049.0,103182.0,60456923.0,247.0,1725.0,10.0
Turkey,16.0,219641.0,924.0,5491.0,16.0,202010.0,997.0,12140.0,1246.0,2603.0,65.0,4273377.0,50642.0,84383723.0,384.0,15368.0,20.0
Bangladesh,17.0,204525.0,2459.0,2618.0,37.0,111642.0,1544.0,90265.0,1.0,1241.0,16.0,1028299.0,6241.0,164770770.0,806.0,62938.0,160.0
Germany,18.0,202845.0,273.0,9163.0,1.0,187800.0,300.0,5882.0,249.0,2421.0,109.0,6884614.0,82157.0,83798119.0,413.0,9145.0,12.0
Colombia,19.0,197278.0,6578.0,6736.0,220.0,91793.0,5957.0,98749.0,1040.0,3875.0,132.0,1210063.0,23769.0,50909605.0,258.0,7558.0,42.0
France,20.0,176404.0,865.0,30169.0,8.0,79233.0,0.0,67002.0,477.0,2702.0,462.0,2618722.0,40114.0,65281223.0,370.0,2164.0,25.0
Argentina,21.0,126755.0,4231.0,2260.0,40.0,54105.0,1498.0,70390.0,752.0,2803.0,50.0,541238.0,11970.0,45216508.0,357.0,20007.0,84.0
Canada,22.0,110338.0,339.0,8852.0,4.0,97051.0,137.0,4435.0,2177.0,2922.0,234.0,3520542.0,93238.0,37758765.0,342.0,4266.0,11.0
Qatar,23.0,106648.0,340.0,157.0,3.0,103377.0,354.0,3114.0,128.0,37983.0,56.0,441700.0,157311.0,2807805.0,26.0,17884.0,6.0
Iraq,24.0,92530.0,2310.0,3781.0,90.0,60528.0,2036.0,28221.0,397.0,2298.0,94.0,793024.0,19697.0,40261528.0,435.0,10648.0,51.0
Egypt,25.0,87775.0,603.0,4302.0,51.0,28380.0,512.0,55093.0,41.0,857.0,42.0,135000.0,1318.0,102421458.0,1167.0,23808.0,759.0
Indonesia,26.0,86521.0,1639.0,4143.0,127.0,45401.0,2133.0,36977.0,0.0,316.0,15.0,1221518.0,4464.0,273666205.0,3163.0,66055.0,224.0
Sweden,27.0,78012.0,115.0,5629.0,1.0,0.0,0.0,0.0,56.0,7722.0,557.0,681820.0,67490.0,10102504.0,129.0,1795.0,15.0
Ecuador,28.0,74013.0,631.0,5313.0,31.0,31901.0,144.0,36799.0,342.0,4192.0,301.0,204162.0,11564.0,17655641.0,239.0,3323.0,86.0
Kazakhstan,29.0,70339.0,1636.0,375.0,0.0,43029.0,2773.0,26935.0,221.0,3744.0,20.0,1777280.0,94598.0,18787624.0,267.0,50100.0,11.0
Philippines,30.0,67377.0,2162.0,1831.0,58.0,22465.0,398.0,43081.0,351.0,614.0,17.0,1142165.0,10416.0,109650983.0,1627.0,59886.0,96.0
Oman,31.0,66661.0,1157.0,318.0,10.0,44004.0,1232.0,22339.0,165.0,13040.0,62.0,270788.0,52971.0,5112039.0,77.0,16076.0,19.0
Belarus,32.0,66095.0,142.0,499.0,4.0,58204.0,348.0,7392.0,89.0,6995.0,53.0,1193162.0,126272.0,9449153.0,143.0,18936.0,8.0
Belgium,33.0,63706.0,207.0,9800.0,0.0,17289.0,0.0,36617.0,28.0,5496.0,845.0,1444885.0,124642.0,11592264.0,182.0,1183.0,8.0
Kuwait,34.0,59204.0,300.0,408.0,1.0,49687.0,667.0,9109.0,132.0,13854.0,95.0,459349.0,107486.0,4273551.0,72.0,10474.0,9.0
Ukraine,35.0,58842.0,731.0,1485.0,8.0,30879.0,354.0,26478.0,93.0,1346.0,34.0,877262.0,20066.0,43718712.0,743.0,29440.0,50.0
Bolivia,36.0,58138.0,2036.0,2106.0,57.0,18200.0,318.0,37832.0,71.0,4977.0,180.0,126510.0,10831.0,11680626.0,201.0,5546.0,92.0
UAE,37.0,56922.0,211.0,339.0,1.0,49269.0,352.0,7314.0,1.0,5752.0,34.0,4508205.0,455549.0,9896203.0,174.0,29192.0,2.0
Panama,38.0,53468.0,1207.0,1096.0,25.0,28482.0,988.0,23890.0,175.0,12383.0,254.0,187041.0,43317.0,4317939.0,81.0,3940.0,23.0
Dominican Republic,39.0,52855.0,1336.0,981.0,10.0,25094.0,487.0,26780.0,245.0,4870.0,90.0,213085.0,19633.0,10853302.0,205.0,11064.0,51.0
Netherlands,40.0,51725.0,144.0,6136.0,0.0,0.0,0.0,0.0,17.0,3018.0,358.0,764079.0,44587.0,17136896.0,331.0,2793.0,22.0
Israel,41.0,50289.0,924.0,409.0,8.0,21675.0,327.0,28205.0,252.0,5468.0,44.0,1457203.0,158433.0,9197590.0,183.0,22488.0,6.0
Portugal,42.0,48636.0,246.0,1689.0,5.0,33369.0,216.0,13578.0,61.0,4771.0,166.0,1413519.0,138648.0,10195049.0,210.0,6036.0,7.0
Singapore,43.0,47912.0,257.0,27.0,0.0,44086.0,253.0,3799.0,0.0,8186.0,5.0,1009532.0,172491.0,5852672.0,122.0,216766.0,6.0
Poland,44.0,40104.0,358.0,1624.0,6.0,30292.0,368.0,8188.0,67.0,1060.0,43.0,1936889.0,51180.0,37844332.0,944.0,23303.0,20.0
Guatemala,45.0,38677.0,635.0,1485.0,36.0,23365.0,0.0,13827.0,5.0,2157.0,83.0,64590.0,3602.0,17930577.0,464.0,12074.0,278.0
Romania,46.0,37458.0,767.0,2026.0,17.0,22617.0,129.0,12815.0,286.0,1948.0,105.0,958622.0,49850.0,19230300.0,513.0,9492.0,20.0
Nigeria,47.0,36663.0,556.0,789.0,11.0,15105.0,167.0,20769.0,7.0,178.0,4.0,212201.0,1028.0,206354269.0,5628.0,261539.0,972.0
Bahrain,48.0,36422.0,418.0,126.0,2.0,32372.0,607.0,3924.0,46.0,21378.0,74.0,726140.0,426203.0,1703743.0,47.0,13522.0,2.0
Afghanistan,49.0,35475.0,174.0,1181.0,17.0,23634.0,361.0,10660.0,31.0,910.0,30.0,83771.0,2150.0,38966225.0,1098.0,32994.0,465.0
Armenia,50.0,34877.0,415.0,641.0,10.0,23294.0,171.0,10942.0,10.0,11769.0,216.0,146717.0,49507.0,2963540.0,85.0,4623.0,20.0
Switzerland,51.0,33591.0,99.0,1969.0,0.0,30300.0,400.0,1322.0,22.0,3880.0,227.0,726806.0,83948.0,8657844.0,258.0,4397.0,12.0
Honduras,52.0,32793.0,1048.0,891.0,34.0,3661.0,96.0,28241.0,51.0,3308.0,90.0,78825.0,7953.0,9911950.0,302.0,11125.0,126.0
Ghana,53.0,27667.0,607.0,148.0,3.0,23249.0,205.0,4270.0,8.0,890.0,5.0,346990.0,11157.0,31101520.0,1124.0,210145.0,90.0
Azerbaijan,54.0,27521.0,388.0,354.0,5.0,18967.0,517.0,8200.0,66.0,2713.0,35.0,627881.0,61898.0,10143753.0,369.0,28655.0,16.0
Kyrgyzstan,55.0,26532.0,1926.0,1003.0,103.0,12328.0,1624.0,13201.0,24.0,4064.0,154.0,262894.0,40264.0,6529180.0,246.0,6510.0,25.0
Ireland,56.0,25760.0,10.0,1753.0,0.0,23364.0,0.0,643.0,8.0,5214.0,355.0,550728.0,111472.0,4940489.0,192.0,2818.0,9.0
Japan,57.0,24642.0,510.0,985.0,0.0,19576.0,210.0,4081.0,43.0,195.0,8.0,634997.0,5022.0,126454817.0,5132.0,128381.0,199.0
Algeria,58.0,23084.0,535.0,1078.0,10.0,16051.0,307.0,5955.0,67.0,526.0,25.0,0.0,0.0,43887085.0,1901.0,40712.0,0.0
Moldova,59.0,20980.0,186.0,684.0,4.0,14376.0,193.0,5920.0,362.0,5202.0,170.0,128076.0,31754.0,4033442.0,192.0,5897.0,31.0
Serbia,60.0,20894.0,396.0,472.0,11.0,14047.0,0.0,6375.0,187.0,2392.0,54.0,550091.0,62973.0,8735388.0,418.0,18507.0,16.0
Austria,61.0,19655.0,82.0,711.0,0.0,17599.0,98.0,1345.0,14.0,2182.0,79.0,748669.0,83102.0,9009055.0,458.0,12671.0,12.0
Nepal,62.0,17658.0,156.0,40.0,0.0,11695.0,58.0,5923.0,0.0,606.0,1.0,627972.0,21535.0,29160680.0,1651.0,729017.0,46.0
Morocco,63.0,17236.0,221.0,273.0,4.0,14921.0,301.0,2042.0,31.0,467.0,7.0,1009326.0,27329.0,36931849.0,2143.0,135281.0,37.0
Uzbekistan,64.0,16607.0,421.0,85.0,2.0,9178.0,51.0,7344.0,70.0,496.0,3.0,1377915.0,41141.0,33492162.0,2017.0,394025.0,24.0
Cameroon,65.0,16157.0,0.0,373.0,0.0,13728.0,0.0,2056.0,52.0,608.0,14.0,135000.0,5080.0,26573591.0,1645.0,71243.0,197.0
Ivory Coast,66.0,14119.0,207.0,92.0,1.0,8366.0,366.0,5661.0,0.0,535.0,3.0,83753.0,3172.0,26405728.0,1870.0,287019.0,315.0
Czechia,67.0,13945.0,90.0,359.0,1.0,8761.0,28.0,4825.0,19.0,1302.0,34.0,624780.0,58336.0,10710045.0,768.0,29833.0,17.0
S. Korea,68.0,13745.0,34.0,295.0,1.0,12556.0,37.0,894.0,15.0,268.0,6.0,1465299.0,28579.0,51271569.0,3730.0,173802.0,35.0
Kenya,69.0,13353.0,603.0,234.0,9.0,5122.0,682.0,7997.0,44.0,248.0,4.0,243887.0,4531.0,53822775.0,4031.0,230012.0,221.0
Denmark,70.0,13173.0,0.0,611.0,0.0,12209.0,0.0,353.0,5.0,2274.0,105.0,1306743.0,225562.0,5793278.0,440.0,9482.0,4.0
Venezuela,71.0,11891.0,408.0,112.0,2.0,3972.0,0.0,7807.0,17.0,418.0,4.0,1426989.0,50191.0,28431445.0,2391.0,253852.0,20.0
El Salvador,72.0,11846.0,338.0,335.0,11.0,6705.0,145.0,4806.0,414.0,1826.0,52.0,209446.0,32283.0,6487908.0,548.0,19367.0,31.0
Australia,73.0,11802.0,361.0,122.0,4.0,8273.0,112.0,3407.0,29.0,463.0,5.0,3473457.0,136138.0,25514318.0,2162.0,209134.0,7.0
Costa Rica,74.0,11114.0,563.0,62.0,8.0,2966.0,64.0,8086.0,44.0,2181.0,12.0,68755.0,13491.0,5096445.0,459.0,82201.0,74.0
Sudan,75.0,10992.0,310.0,693.0,20.0,5707.0,70.0,4592.0,0.0,250.0,16.0,401.0,9.0,43893051.0,3993.0,63338.0,109459.0
Ethiopia,76.0,9503.0,356.0,167.0,4.0,2430.0,0.0,6906.0,35.0,83.0,1.0,250604.0,2178.0,115083264.0,12110.0,689121.0,459.0
North Macedonia,77.0,9153.0,127.0,422.0,8.0,4810.0,83.0,3921.0,55.0,4393.0,203.0,85820.0,41193.0,2083369.0,228.0,4937.0,24.0
Norway,78.0,9028.0,0.0,255.0,0.0,8138.0,0.0,635.0,1.0,1665.0,47.0,397106.0,73221.0,5423389.0,601.0,21268.0,14.0
