Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
Asia,0.0,1194227.0,30432.0,31831.0,561.0,730890.0,17977.0,431506.0,14487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North America,0.0,2120786.0,26773.0,127154.0,1486.0,791134.0,34683.0,1202498.0,19481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,945730.0,39052.0,42658.0,1568.0,394659.0,32382.0,508413.0,11404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,2011149.0,14010.0,175557.0,903.0,1013054.0,19098.0,822538.0,8722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,159838.0,4931.0,4520.0,151.0,68985.0,3054.0,86333.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,8831.0,17.0,124.0,0.0,8208.0,7.0,499.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,0.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,6441282.0,115215.0,381859.0,4669.0,3007581.0,107201.0,3051842.0,54527.0,826.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
China,1.0,83021.0,4.0,4634.0,0.0,78315.0,8.0,72.0,3.0,58.0,3.0,0.0,0.0,1439323776.0,17337.0,310601.0,0.0
USA,2.0,1881205.0,21882.0,108059.0,1134.0,645974.0,30558.0,1127172.0,17114.0,5686.0,327.0,18603174.0,56228.0,330854064.0,176.0,3062.0,18.0
Brazil,3.0,556668.0,27263.0,31278.0,1232.0,240627.0,29547.0,284763.0,8318.0,2620.0,147.0,930013.0,4378.0,212442762.0,382.0,6792.0,228.0
Russia,4.0,423741.0,8863.0,5037.0,182.0,186985.0,11108.0,231719.0,2300.0,2904.0,35.0,11151622.0,76418.0,145929848.0,344.0,28972.0,13.0
Spain,5.0,287012.0,294.0,27127.0,0.0,0.0,0.0,0.0,617.0,6139.0,580.0,4063843.0,86921.0,46753443.0,163.0,1724.0,12.0
UK,6.0,277985.0,1653.0,39369.0,324.0,0.0,0.0,0.0,1559.0,4097.0,580.0,4615146.0,68011.0,67858826.0,244.0,1724.0,15.0
Italy,7.0,233515.0,318.0,33530.0,55.0,160092.0,1737.0,39893.0,408.0,3862.0,555.0,3962292.0,65527.0,60468295.0,259.0,1803.0,15.0
India,8.0,207191.0,8821.0,5829.0,221.0,100285.0,4531.0,101077.0,8944.0,150.0,4.0,3966075.0,2876.0,1378937377.0,6655.0,236565.0,348.0
Germany,9.0,184091.0,326.0,8674.0,56.0,166400.0,500.0,9017.0,689.0,2198.0,104.0,3952971.0,47192.0,83763806.0,455.0,9657.0,21.0
Peru,10.0,174884.0,4845.0,4767.0,133.0,69257.0,750.0,100860.0,964.0,5310.0,145.0,1092646.0,33176.0,32934728.0,188.0,6909.0,30.0
Turkey,11.0,165555.0,786.0,4585.0,22.0,129921.0,974.0,31049.0,633.0,1965.0,54.0,2103044.0,24957.0,84267248.0,509.0,18379.0,40.0
Iran,12.0,157562.0,3117.0,7942.0,64.0,123077.0,2073.0,26543.0,2565.0,1878.0,95.0,975936.0,11631.0,83906701.0,533.0,10565.0,86.0
France,13.0,151325.0,0.0,28940.0,107.0,68812.0,372.0,53573.0,1253.0,2319.0,443.0,1384633.0,21216.0,65262729.0,431.0,2255.0,47.0
Chile,14.0,108686.0,3527.0,1188.0,75.0,44946.0,0.0,62552.0,1446.0,5689.0,62.0,612772.0,32077.0,19103405.0,176.0,16080.0,31.0
Mexico,15.0,93435.0,2771.0,10167.0,237.0,67491.0,3165.0,15777.0,378.0,725.0,79.0,282089.0,2190.0,128825735.0,1379.0,12671.0,457.0
Canada,16.0,92410.0,705.0,7395.0,69.0,50357.0,631.0,34658.0,1709.0,2450.0,196.0,1724250.0,45716.0,37716316.0,408.0,5100.0,22.0
Saudi Arabia,17.0,89011.0,1869.0,549.0,24.0,65790.0,1484.0,22672.0,1264.0,2560.0,16.0,853987.0,24561.0,34769565.0,391.0,63333.0,41.0
Pakistan,18.0,76398.0,3938.0,1621.0,78.0,27110.0,1027.0,47667.0,111.0,346.0,7.0,577974.0,2621.0,220532862.0,2887.0,136047.0,382.0
Qatar,19.0,60259.0,1826.0,43.0,3.0,36036.0,2599.0,24180.0,239.0,21461.0,15.0,231098.0,82306.0,2807805.0,47.0,65298.0,12.0
Belgium,20.0,58615.0,98.0,9505.0,19.0,15934.0,15.0,33176.0,166.0,5059.0,820.0,884386.0,76334.0,11585802.0,198.0,1219.0,13.0
Bangladesh,21.0,52445.0,2911.0,709.0,37.0,11120.0,523.0,40616.0,1.0,319.0,4.0,333073.0,2024.0,164560234.0,3138.0,232102.0,494.0
Netherlands,22.0,46647.0,102.0,5967.0,5.0,0.0,0.0,0.0,154.0,2723.0,348.0,359833.0,21004.0,17132042.0,367.0,2871.0,48.0
Belarus,23.0,44255.0,852.0,243.0,3.0,19195.0,419.0,24817.0,92.0,4683.0,26.0,562945.0,59574.0,9449551.0,214.0,38887.0,17.0
Ecuador,24.0,40414.0,420.0,3438.0,44.0,20019.0,196.0,16957.0,252.0,2293.0,195.0,118754.0,6739.0,17621217.0,436.0,5125.0,148.0
Sweden,25.0,38589.0,775.0,4468.0,65.0,0.0,0.0,0.0,283.0,3823.0,443.0,275500.0,27292.0,10094432.0,262.0,2259.0,37.0
Singapore,26.0,35836.0,544.0,24.0,0.0,23175.0,709.0,12637.0,6.0,6129.0,4.0,334691.0,57244.0,5846771.0,163.0,243615.0,17.0
South Africa,27.0,35812.0,1455.0,755.0,50.0,18313.0,1022.0,16744.0,208.0,604.0,13.0,761534.0,12853.0,59248777.0,1654.0,78475.0,78.0
UAE,28.0,35788.0,596.0,269.0,3.0,18726.0,388.0,16793.0,1.0,3622.0,27.0,2145493.0,217136.0,9880861.0,276.0,36732.0,5.0
Portugal,29.0,32895.0,195.0,1436.0,12.0,19869.0,317.0,11590.0,58.0,3225.0,141.0,847181.0,83066.0,10198850.0,310.0,7102.0,12.0
Colombia,30.0,31833.0,1340.0,1009.0,40.0,11142.0,1481.0,19682.0,136.0,626.0,20.0,350213.0,6889.0,50840001.0,1597.0,50387.0,145.0
Switzerland,31.0,30874.0,3.0,1920.0,0.0,28500.0,0.0,454.0,29.0,3569.0,222.0,400793.0,46336.0,8649729.0,280.0,4505.0,22.0
Kuwait,32.0,28649.0,887.0,226.0,6.0,14281.0,1382.0,14142.0,187.0,6717.0,53.0,290013.0,67991.0,4265437.0,149.0,18874.0,15.0
Indonesia,33.0,27549.0,609.0,1663.0,22.0,7935.0,298.0,17951.0,0.0,101.0,6.0,342464.0,1253.0,273295010.0,9920.0,164339.0,798.0
Egypt,34.0,27536.0,1152.0,1052.0,47.0,6827.0,380.0,19657.0,41.0,270.0,10.0,135000.0,1321.0,102173226.0,3711.0,97123.0,757.0
Ireland,35.0,25066.0,4.0,1658.0,8.0,22089.0,0.0,1319.0,36.0,5081.0,336.0,348416.0,70624.0,4933409.0,197.0,2976.0,14.0
Poland,36.0,24395.0,230.0,1092.0,18.0,11726.0,277.0,11577.0,160.0,645.0,29.0,945955.0,24992.0,37849635.0,1552.0,34661.0,40.0
Ukraine,37.0,24340.0,328.0,727.0,9.0,10078.0,388.0,13535.0,286.0,556.0,17.0,371668.0,8495.0,43752274.0,1798.0,60182.0,118.0
Romania,38.0,19517.0,119.0,1288.0,12.0,13526.0,100.0,4703.0,166.0,1014.0,67.0,448813.0,23319.0,19246690.0,986.0,14943.0,43.0
Philippines,39.0,18997.0,359.0,966.0,6.0,4063.0,84.0,13968.0,78.0,174.0,9.0,366269.0,3346.0,109463670.0,5762.0,113316.0,299.0
Argentina,40.0,18319.0,904.0,569.0,13.0,5709.0,188.0,12041.0,274.0,406.0,13.0,164084.0,3633.0,45163302.0,2465.0,79373.0,275.0
Dominican Republic,41.0,17752.0,180.0,515.0,13.0,11075.0,182.0,6162.0,110.0,1638.0,48.0,84638.0,7808.0,10839344.0,611.0,21047.0,128.0
Israel,42.0,17285.0,116.0,290.0,5.0,14940.0,62.0,2055.0,31.0,1879.0,32.0,582445.0,63326.0,9197590.0,532.0,31716.0,16.0
Japan,43.0,16930.0,46.0,894.0,2.0,14650.0,148.0,1386.0,113.0,134.0,7.0,296383.0,2343.0,126504317.0,7472.0,141504.0,427.0
Austria,44.0,16759.0,26.0,669.0,1.0,15629.0,33.0,461.0,26.0,1862.0,74.0,456378.0,50695.0,9002468.0,537.0,13457.0,20.0
Afghanistan,45.0,16509.0,759.0,270.0,5.0,1450.0,22.0,14789.0,19.0,425.0,7.0,40950.0,1054.0,38853367.0,2353.0,143901.0,949.0
Panama,46.0,14095.0,258.0,352.0,8.0,9514.0,0.0,4229.0,78.0,3271.0,82.0,69483.0,16124.0,4309210.0,306.0,12242.0,62.0
Oman,47.0,12799.0,576.0,59.0,9.0,2812.0,130.0,9928.0,31.0,2512.0,12.0,100181.0,19661.0,5095308.0,398.0,86361.0,51.0
Bahrain,48.0,12311.0,440.0,19.0,0.0,7407.0,337.0,4885.0,10.0,7258.0,11.0,330733.0,194996.0,1696105.0,138.0,89269.0,5.0
Denmark,49.0,11734.0,35.0,580.0,4.0,10489.0,77.0,665.0,21.0,2026.0,100.0,646086.0,111574.0,5790665.0,493.0,9984.0,9.0
Kazakhstan,50.0,11571.0,263.0,44.0,3.0,5941.0,354.0,5586.0,62.0,617.0,2.0,828377.0,44159.0,18758789.0,1621.0,426336.0,23.0
S. Korea,51.0,11541.0,38.0,272.0,1.0,10446.0,24.0,823.0,15.0,225.0,5.0,939851.0,18333.0,51265922.0,4442.0,188478.0,55.0
Serbia,52.0,11454.0,24.0,245.0,1.0,6766.0,40.0,4443.0,10.0,1311.0,28.0,252132.0,28848.0,8739886.0,763.0,35673.0,35.0
Nigeria,53.0,10819.0,241.0,314.0,15.0,3240.0,118.0,7265.0,7.0,53.0,2.0,65885.0,320.0,205696187.0,19012.0,655083.0,3122.0
Bolivia,54.0,10531.0,549.0,343.0,30.0,1137.0,169.0,9051.0,3.0,903.0,29.0,28239.0,2422.0,11660175.0,1107.0,33995.0,413.0
Armenia,55.0,10009.0,517.0,158.0,19.0,3427.0,25.0,6424.0,10.0,3378.0,53.0,59917.0,20223.0,2962831.0,296.0,18752.0,49.0
Algeria,56.0,9626.0,113.0,667.0,6.0,6067.0,173.0,2892.0,25.0,220.0,15.0,0.0,0.0,43785268.0,4549.0,65645.0,0.0
Czechia,57.0,9364.0,62.0,323.0,2.0,6686.0,44.0,2355.0,17.0,875.0,30.0,447957.0,41836.0,10707502.0,1143.0,33150.0,24.0
Moldova,58.0,8548.0,188.0,307.0,2.0,4738.0,116.0,3503.0,255.0,2119.0,76.0,57003.0,14128.0,4034641.0,472.0,13142.0,71.0
Norway,59.0,8455.0,9.0,237.0,1.0,7727.0,0.0,491.0,9.0,1561.0,44.0,250968.0,46322.0,5417952.0,641.0,22861.0,22.0
Ghana,60.0,8297.0,227.0,38.0,2.0,2986.0,39.0,5273.0,3.0,267.0,1.0,218425.0,7042.0,31018059.0,3738.0,816265.0,142.0
Malaysia,61.0,7877.0,20.0,115.0,0.0,6470.0,66.0,1292.0,6.0,244.0,4.0,560738.0,17343.0,32332728.0,4105.0,281154.0,58.0
Morocco,62.0,7866.0,33.0,206.0,1.0,6410.0,517.0,1250.0,13.0,213.0,6.0,234651.0,6363.0,36875683.0,4688.0,179008.0,157.0
Iraq,63.0,7387.0,519.0,235.0,20.0,3508.0,233.0,3644.0,46.0,184.0,6.0,238251.0,5935.0,40145341.0,5435.0,170831.0,169.0
