Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
Asia,0.0,28149051.0,154022.0,425326.0,1108.0,25871234.0,106574.0,1852491.0,25195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North America,0.0,35716985.0,69053.0,816130.0,913.0,27394432.0,101822.0,7506423.0,15291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,20906315.0,80434.0,543708.0,2628.0,18626705.0,91252.0,1735902.0,20341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,39189667.0,131301.0,905385.0,2625.0,27727562.0,146378.0,10556720.0,31092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,4228025.0,9802.0,112487.0,317.0,3796014.0,10086.0,319524.0,2730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,56329.0,210.0,1131.0,4.0,34534.0,6.0,20664.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,128247093.0,444822.0,2804182.0,7595.0,103451187.0,456118.0,21991724.0,94655.0,16453.0,359.8,0.0,0.0,0.0,0.0,0.0,0.0
China,1.0,90182.0,15.0,4636.0,0.0,85374.0,10.0,172.0,1.0,63.0,3.0,160000000.0,111163.0,1439323776.0,15960.0,310467.0,9.0
USA,2.0,31034160.0,60066.0,563268.0,661.0,23509436.0,91553.0,6961456.0,8670.0,93352.0,1694.0,400877242.0,1205856.0,332442063.0,11.0,590.0,1.0
Brazil,3.0,12577354.0,42666.0,314268.0,1969.0,10969247.0,56306.0,1293839.0,8318.0,58861.0,1471.0,28600000.0,133845.0,213679362.0,17.0,680.0,7.0
India,4.0,12095329.0,56119.0,162147.0,266.0,11390829.0,37102.0,542353.0,8944.0,8701.0,117.0,241864161.0,173997.0,1390049468.0,115.0,8573.0,6.0
France,5.0,4554683.0,9094.0,94989.0,371.0,290810.0,1058.0,4168884.0,4974.0,69664.0,1453.0,63656437.0,973626.0,65380777.0,14.0,688.0,1.0
Russia,6.0,4528543.0,8711.0,98033.0,293.0,4146408.0,7280.0,284102.0,2300.0,31021.0,672.0,119700000.0,819970.0,145980966.0,32.0,1489.0,1.0
UK,7.0,4337696.0,4654.0,126614.0,22.0,3821179.0,15763.0,389903.0,615.0,63649.0,1858.0,124452321.0,1826139.0,68150531.0,16.0,538.0,1.0
Italy,8.0,3544995.0,12954.0,108350.0,417.0,2870614.0,19725.0,566031.0,3721.0,58696.0,1794.0,49249985.0,815455.0,60395708.0,17.0,557.0,1.0
Spain,9.0,3270825.0,6120.0,75199.0,63.0,3038175.0,21928.0,157451.0,1861.0,69937.0,1608.0,41884958.0,895586.0,46768236.0,14.0,622.0,1.0
Turkey,10.0,3240577.0,32404.0,31230.0,154.0,2975108.0,18015.0,234239.0,1998.0,38120.0,367.0,38102747.0,448211.0,85010709.0,26.0,2722.0,2.0
Germany,11.0,2796400.0,10055.0,76599.0,131.0,2494800.0,10200.0,225001.0,3573.0,33297.0,912.0,48979281.0,583206.0,83982825.0,30.0,1096.0,2.0
Colombia,12.0,2389779.0,7049.0,63079.0,124.0,2273909.0,6149.0,52791.0,1982.0,46599.0,1230.0,12629769.0,246270.0,51284283.0,21.0,813.0,4.0
Argentina,13.0,2322611.0,14014.0,55611.0,162.0,2088256.0,8741.0,178744.0,3639.0,51043.0,1222.0,8745746.0,192202.0,45502911.0,20.0,818.0,5.0
Poland,14.0,2267956.0,16957.0,51931.0,47.0,1824431.0,25509.0,391594.0,2985.0,59974.0,1373.0,11853134.0,313444.0,37815789.0,17.0,728.0,3.0
Mexico,15.0,2226550.0,1783.0,201623.0,194.0,1761786.0,2663.0,263141.0,4798.0,17136.0,1552.0,6034939.0,46446.0,129935386.0,58.0,644.0,22.0
Iran,16.0,1864984.0,9310.0,62478.0,81.0,1600488.0,7269.0,202018.0,3940.0,21996.0,737.0,12682968.0,149585.0,84787880.0,45.0,1357.0,7.0
Ukraine,17.0,1652409.0,8346.0,32132.0,178.0,1303500.0,2875.0,316777.0,177.0,37953.0,738.0,8007427.0,183918.0,43538046.0,26.0,1355.0,5.0
South Africa,18.0,1545979.0,548.0,52710.0,47.0,1472645.0,746.0,20624.0,546.0,25826.0,881.0,9819994.0,164045.0,59861652.0,39.0,1136.0,6.0
Peru,19.0,1533121.0,3239.0,51635.0,166.0,1451112.0,8707.0,30374.0,2278.0,46024.0,1550.0,9190114.0,275886.0,33311303.0,22.0,645.0,4.0
Czechia,20.0,1516803.0,1735.0,26137.0,100.0,1354123.0,115.0,136543.0,1727.0,141443.0,2437.0,12028967.0,1121714.0,10723738.0,7.0,410.0,1.0
Indonesia,21.0,1501093.0,5008.0,40581.0,132.0,1336818.0,5418.0,123694.0,0.0,5445.0,147.0,12579966.0,45635.0,275664338.0,184.0,6793.0,22.0
Netherlands,22.0,1259155.0,6718.0,16473.0,8.0,0.0,0.0,0.0,672.0,73364.0,960.0,9747836.0,567955.0,17163028.0,14.0,1042.0,2.0
Chile,23.0,984484.0,7241.0,23070.0,101.0,918446.0,6388.0,42968.0,2590.0,51175.0,1199.0,11121171.0,578091.0,19237754.0,20.0,834.0,2.0
Canada,24.0,971718.0,4573.0,22900.0,20.0,903607.0,4673.0,45211.0,661.0,25580.0,603.0,27466380.0,723042.0,37987265.0,39.0,1659.0,1.0
Romania,25.0,940443.0,3825.0,23234.0,120.0,840127.0,3067.0,77082.0,1398.0,49130.0,1214.0,7236427.0,378038.0,19142075.0,20.0,824.0,3.0
Belgium,26.0,870757.0,4694.0,22897.0,27.0,56631.0,260.0,791229.0,700.0,74891.0,1969.0,10998006.0,945898.0,11627050.0,13.0,508.0,1.0
Iraq,27.0,838265.0,5837.0,14249.0,37.0,750435.0,4500.0,73581.0,508.0,20502.0,348.0,7950275.0,194445.0,40886961.0,49.0,2869.0,5.0
Israel,28.0,832125.0,201.0,6197.0,12.0,817698.0,1480.0,8230.0,441.0,90472.0,674.0,13456709.0,1463069.0,9197590.0,11.0,1484.0,1.0
Portugal,29.0,820716.0,309.0,16843.0,6.0,775849.0,458.0,28024.0,136.0,80663.0,1655.0,9013053.0,885840.0,10174587.0,12.0,604.0,1.0
Sweden,30.0,796445.0,2968.0,13398.0,5.0,0.0,0.0,0.0,284.0,78499.0,1321.0,7201692.0,709809.0,10145958.0,13.0,757.0,1.0
Philippines,31.0,731885.0,10007.0,13186.0,16.0,603207.0,72.0,115492.0,785.0,6614.0,119.0,10087813.0,91161.0,110659281.0,151.0,8392.0,11.0
Pakistan,32.0,659116.0,4525.0,14256.0,41.0,598197.0,2268.0,46663.0,3055.0,2942.0,64.0,10107095.0,45110.0,224054351.0,340.0,15716.0,22.0
Hungary,33.0,641124.0,7263.0,20161.0,189.0,399961.0,4171.0,221002.0,1497.0,66492.0,2091.0,4557943.0,472713.0,9642102.0,15.0,478.0,2.0
Bangladesh,34.0,600895.0,5181.0,8949.0,45.0,537718.0,2077.0,54228.0,0.0,3622.0,54.0,4617025.0,27829.0,165904085.0,276.0,18539.0,36.0
Jordan,35.0,597256.0,7940.0,6651.0,97.0,494417.0,8910.0,96188.0,729.0,58109.0,647.0,5825666.0,566802.0,10278124.0,17.0,1545.0,2.0
Switzerland,36.0,596790.0,4573.0,10305.0,5.0,544729.0,731.0,41756.0,158.0,68584.0,1184.0,5942810.0,682961.0,8701531.0,15.0,844.0,1.0
Serbia,37.0,590018.0,4512.0,5231.0,41.0,498101.0,9109.0,86686.0,252.0,67731.0,600.0,3388114.0,388939.0,8711174.0,15.0,1665.0,3.0
Austria,38.0,539541.0,3076.0,9275.0,19.0,494377.0,2758.0,35889.0,534.0,59654.0,1025.0,22610260.0,2499888.0,9044509.0,17.0,975.0,0.0
Morocco,39.0,494756.0,97.0,8807.0,9.0,482585.0,233.0,3364.0,257.0,13288.0,237.0,5942907.0,159609.0,37234187.0,75.0,4228.0,6.0
Japan,40.0,468614.0,1765.0,9061.0,30.0,442369.0,1132.0,17184.0,342.0,3714.0,72.0,9687049.0,76767.0,126188355.0,269.0,13927.0,13.0
Lebanon,41.0,462339.0,1277.0,6136.0,40.0,366639.0,6395.0,89564.0,970.0,67964.0,902.0,3516688.0,516956.0,6802689.0,15.0,1109.0,2.0
UAE,42.0,457071.0,1874.0,1486.0,5.0,440731.0,2025.0,14854.0,0.0,45804.0,149.0,37130827.0,3720975.0,9978789.0,22.0,6715.0,0.0
Saudi Arabia,43.0,388866.0,541.0,6656.0,6.0,377304.0,357.0,4906.0,674.0,11043.0,189.0,15008398.0,426202.0,35214273.0,91.0,5291.0,2.0
Slovakia,44.0,358115.0,205.0,9542.0,46.0,255300.0,0.0,93273.0,651.0,65570.0,1747.0,2331828.0,426949.0,5461607.0,15.0,572.0,2.0
Panama,45.0,354085.0,246.0,6103.0,3.0,343057.0,283.0,4925.0,105.0,81121.0,1398.0,2133423.0,488765.0,4364924.0,12.0,715.0,2.0
Malaysia,46.0,342885.0,941.0,1260.0,5.0,327406.0,1097.0,14219.0,166.0,10495.0,39.0,7555722.0,231255.0,32672625.0,95.0,25931.0,4.0
Bulgaria,47.0,333250.0,4497.0,12913.0,203.0,252473.0,3112.0,67864.0,752.0,48231.0,1869.0,2078028.0,300751.0,6909462.0,21.0,535.0,3.0
Ecuador,48.0,325124.0,642.0,16746.0,8.0,281684.0,0.0,26694.0,570.0,18223.0,939.0,1134885.0,63611.0,17840941.0,55.0,1065.0,16.0
Belarus,49.0,319599.0,918.0,2227.0,8.0,310189.0,654.0,7183.0,0.0,33831.0,236.0,5341101.0,565375.0,9447012.0,30.0,4242.0,2.0
Georgia,50.0,280472.0,171.0,3765.0,14.0,272601.0,382.0,4106.0,0.0,70409.0,945.0,3327100.0,835226.0,3983472.0,14.0,1058.0,1.0
Nepal,51.0,276980.0,141.0,3027.0,0.0,272612.0,82.0,1341.0,0.0,9382.0,103.0,2264268.0,76694.0,29523403.0,107.0,9753.0,13.0
Bolivia,52.0,269628.0,326.0,12186.0,21.0,218503.0,582.0,38939.0,71.0,22868.0,1034.0,885287.0,75083.0,11790715.0,44.0,968.0,13.0
Croatia,53.0,267522.0,300.0,5911.0,18.0,252321.0,1084.0,9290.0,126.0,65466.0,1447.0,1530168.0,374453.0,4086408.0,15.0,691.0,3.0
Azerbaijan,54.0,257330.0,1129.0,3513.0,22.0,236500.0,349.0,17317.0,0.0,25211.0,344.0,2844674.0,278702.0,10206862.0,40.0,2905.0,4.0
Greece,55.0,255755.0,1724.0,7945.0,65.0,219367.0,3404.0,28443.0,738.0,24627.0,765.0,6413832.0,617597.0,10385145.0,41.0,1307.0,2.0
Dominican Republic,56.0,252182.0,199.0,3307.0,3.0,211409.0,365.0,37466.0,160.0,23076.0,303.0,1303504.0,119276.0,10928443.0,43.0,3305.0,8.0
Tunisia,57.0,251169.0,604.0,8760.0,25.0,215920.0,555.0,26489.0,298.0,21089.0,736.0,1096520.0,92066.0,11910153.0,47.0,1360.0,11.0
Kazakhstan,58.0,241873.0,1492.0,3014.0,20.0,217168.0,788.0,21691.0,221.0,12769.0,159.0,8428775.0,444958.0,18942839.0,78.0,6285.0,2.0
Palestine,59.0,238248.0,1786.0,2599.0,18.0,211521.0,1181.0,24128.0,197.0,45917.0,501.0,1530859.0,295038.0,5188683.0,22.0,1996.0,3.0
Ireland,60.0,235078.0,537.0,4667.0,1.0,23364.0,0.0,207047.0,70.0,47218.0,937.0,3970025.0,797418.0,4978599.0,21.0,1067.0,1.0
Kuwait,61.0,229550.0,1251.0,1298.0,12.0,213942.0,1346.0,14310.0,244.0,53171.0,301.0,2037799.0,472015.0,4317230.0,19.0,3326.0,2.0
Denmark,62.0,228692.0,679.0,2415.0,1.0,217071.0,481.0,9206.0,41.0,39380.0,416.0,24781769.0,4267317.0,5807342.0,25.0,2405.0,0.0
Moldova,63.0,227453.0,932.0,4869.0,42.0,203703.0,1934.0,18881.0,339.0,56482.0,1209.0,842035.0,209098.0,4026988.0,18.0,827.0,5.0
Costa Rica,64.0,215178.0,0.0,2931.0,0.0,191707.0,0.0,20540.0,155.0,41957.0,572.0,792044.0,154438.0,5128568.0,24.0,1750.0,6.0
Lithuania,65.0,214381.0,428.0,3561.0,13.0,197679.0,61.0,13141.0,126.0,79580.0,1322.0,2330608.0,865137.0,2693918.0,13.0,757.0,1.0
Slovenia,66.0,212965.0,286.0,4024.0,6.0,196518.0,199.0,12423.0,111.0,102429.0,1935.0,1046105.0,503141.0,2079150.0,10.0,517.0,2.0
