Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop 
Asia,533841.0,13791.0,18961.0,351.0,275375.0,239505.0,5628.0,0.0,0.0,0.0,0.0
North America,1224955.0,39881.0,71780.0,2261.0,199775.0,953400.0,17727.0,0.0,0.0,0.0,0.0
Europe,1398690.0,25916.0,137409.0,2174.0,519380.0,741901.0,18027.0,0.0,0.0,0.0,0.0
South America,190099.0,13285.0,9480.0,784.0,63905.0,116714.0,9812.0,0.0,0.0,0.0,0.0
Oceania,8348.0,16.0,112.0,1.0,7077.0,1159.0,31.0,0.0,0.0,0.0,0.0
Africa,41440.0,1661.0,1691.0,53.0,13918.0,25831.0,126.0,0.0,0.0,0.0,0.0
0,721.0,0.0,15.0,0.0,645.0,61.0,4.0,0.0,0.0,0.0,0.0
World,3398094.0,94550.0,239448.0,5624.0,1080075.0,2078571.0,51355.0,436.0,30.7,0.0,0.0
China,82874.0,12.0,4633.0,0.0,77642.0,599.0,38.0,58.0,3.0,0.0,0.0
USA,1131030.0,36007.0,65753.0,1897.0,161563.0,903714.0,16481.0,3417.0,199.0,6699878.0,20241.0
Spain,242979.0,3639.0,24824.0,281.0,142441.0,75714.0,2500.0,5197.0,531.0,1528833.0,32699.0
Italy,207428.0,1965.0,28236.0,269.0,78249.0,100943.0,1578.0,3431.0,467.0,2053425.0,33962.0
UK,177454.0,6201.0,27510.0,739.0,0.0,149600.0,1559.0,2614.0,405.0,1023824.0,15082.0
France,167346.0,168.0,24594.0,218.0,50212.0,92540.0,3878.0,2564.0,377.0,1100228.0,16856.0
Germany,164077.0,1068.0,6736.0,113.0,126900.0,30441.0,2189.0,1958.0,80.0,2547052.0,30400.0
Turkey,122392.0,2188.0,3258.0,84.0,53808.0,65326.0,1480.0,1451.0,39.0,1075048.0,12747.0
Russia,114431.0,7933.0,1169.0,96.0,13220.0,100042.0,2300.0,784.0,8.0,3700000.0,25354.0
Iran,95646.0,1006.0,6091.0,63.0,76318.0,13237.0,2899.0,1139.0,73.0,475023.0,5656.0
Brazil,92109.0,6729.0,6410.0,509.0,38039.0,47660.0,8318.0,433.0,30.0,339552.0,1597.0
