Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
Asia,0.0,887257.0,23799.0,26244.0,391.0,515737.0,345276.0,4867.0,0.0,0.0,0.0,0.0,0.0
North America,0.0,1795200.0,32399.0,109795.0,1978.0,480935.0,1204470.0,19046.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,1848322.0,17655.0,166805.0,1007.0,826641.0,854876.0,10751.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,548624.0,28536.0,28078.0,1453.0,206440.0,314106.0,10657.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,101684.0,4694.0,3115.0,105.0,40588.0,57981.0,285.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,8688.0,2.0,121.0,0.0,8025.0,542.0,10.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0
World,0.0,5190496.0,107085.0,334173.0,4934.0,2079017.0,2777306.0,45620.0,666.0,42.9,0.0,0.0,0.0
China,1.0,82967.0,2.0,4634.0,0.0,78249.0,84.0,8.0,58.0,3.0,0.0,0.0,1439323776.0
USA,2.0,1620902.0,28179.0,96354.0,1418.0,382169.0,1142379.0,17902.0,4900.0,291.0,13439114.0,40627.0,330790544.0
Russia,3.0,317554.0,8849.0,3099.0,127.0,92681.0,221774.0,2300.0,2176.0,21.0,7840880.0,53731.0,145927804.0
Brazil,4.0,310921.0,17564.0,20082.0,1188.0,125960.0,164879.0,8318.0,1464.0,95.0,735224.0,3462.0,212393298.0
Spain,5.0,280117.0,593.0,27940.0,52.0,196958.0,55219.0,1152.0,5991.0,598.0,3037840.0,64977.0,46752851.0
UK,6.0,250908.0,2615.0,36042.0,338.0,0.0,0.0,1559.0,3698.0,531.0,3090566.0,45552.0,67847158.0
Italy,7.0,228006.0,642.0,32486.0,156.0,134560.0,60960.0,640.0,3770.0,537.0,3243398.0,53635.0,60471198.0
France,8.0,181826.0,251.0,28215.0,83.0,63858.0,89753.0,1745.0,2786.0,432.0,1384633.0,21218.0,65258007.0
