Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
Asia,0.0,15255227.0,93490.0,269309.0,1584.0,13700771.0,162950.0,1285147.0,24951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North America,0.0,13754486.0,172623.0,380264.0,2104.0,8635855.0,79992.0,4738367.0,25753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,10446105.0,55988.0,312179.0,1315.0,9451836.0,59402.0,682090.0,17470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,14428875.0,215886.0,332189.0,5191.0,5441841.0,157397.0,8654845.0,29989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,2011241.0,12927.0,48112.0,337.0,1691151.0,10149.0,271978.0,2575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,42817.0,259.0,1002.0,5.0,32919.0,8.0,8896.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,659.0,0.0,47.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,55939472.0,551173.0,1343070.0,10536.0,38955032.0,469898.0,15641370.0,100769.0,7177.0,172.3,0.0,0.0,0.0,0.0,0.0,0.0
China,1.0,86361.0,15.0,4634.0,0.0,81374.0,36.0,353.0,3.0,60.0,3.0,160000000.0,111163.0,1439323776.0,16666.0,310601.0,9.0
USA,2.0,11700095.0,161645.0,254298.0,1658.0,7088305.0,68941.0,4357492.0,21781.0,35269.0,767.0,171696533.0,517558.0,331743344.0,28.0,1305.0,2.0
India,3.0,8912704.0,38532.0,131031.0,472.0,8333013.0,44844.0,448660.0,8944.0,6434.0,95.0,126542907.0,91356.0,1385160148.0,155.0,10571.0,11.0
Brazil,4.0,5911758.0,35018.0,166743.0,676.0,5361592.0,39186.0,383423.0,8318.0,27737.0,782.0,21900000.0,102752.0,213135258.0,36.0,1278.0,10.0
France,5.0,2036755.0,14524.0,46273.0,625.0,143152.0,2272.0,1847330.0,4854.0,31177.0,708.0,19275371.0,295052.0,65328835.0,32.0,1412.0,3.0
Russia,6.0,1971013.0,22410.0,33931.0,442.0,1475904.0,22055.0,461178.0,2300.0,13504.0,232.0,69550659.0,476510.0,145958474.0,74.0,4302.0,2.0
Spain,7.0,1531403.0,9504.0,41688.0,435.0,0.0,0.0,0.0,3127.0,32749.0,891.0,20742051.0,443569.0,46761727.0,31.0,1122.0,2.0
UK,8.0,1410732.0,20051.0,52745.0,598.0,0.0,0.0,0.0,1391.0,20739.0,775.0,39188326.0,576111.0,68022181.0,48.0,1290.0,2.0
Argentina,9.0,1329005.0,10621.0,36106.0,379.0,1148833.0,8637.0,144066.0,4379.0,29303.0,796.0,3508664.0,77363.0,45353483.0,34.0,1256.0,13.0
Italy,10.0,1238069.0,32188.0,46464.0,731.0,457798.0,15434.0,733807.0,3612.0,20488.0,769.0,19239507.0,318389.0,60427646.0,49.0,1301.0,3.0
