Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
Asia,0.0,13070683.0,89133.0,233115.0,1422.0,11492621.0,91142.0,1344947.0,21131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North America,0.0,10570407.0,92297.0,342815.0,1297.0,7032540.0,52567.0,3195052.0,20073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,9327775.0,53858.0,287087.0,1040.0,8271584.0,50527.0,769104.0,18033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,8194322.0,205809.0,249113.0,1617.0,3426746.0,39887.0,4518463.0,15884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,1718812.0,11757.0,41208.0,223.0,1405116.0,6944.0,272488.0,2060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,35878.0,26.0,959.0,0.0,31245.0,15.0,3674.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,659.0,0.0,47.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,42918598.0,452880.0,1154312.0,5599.0,31660511.0,241082.0,10103775.0,77202.0,5506.0,148.1,0.0,0.0,0.0,0.0,0.0,0.0
China,1.0,85775.0,28.0,4634.0,0.0,80876.0,11.0,265.0,3.0,60.0,3.0,160000000.0,111163.0,1439323776.0,16780.0,310601.0,9.0
USA,2.0,8828290.0,79453.0,230068.0,784.0,5741611.0,43450.0,2856611.0,16369.0,26622.0,694.0,132208493.0,398679.0,331616304.0,38.0,1441.0,3.0
India,3.0,7863892.0,50224.0,118567.0,575.0,7075723.0,62154.0,669602.0,8944.0,5681.0,86.0,101382564.0,73239.0,1384271181.0,176.0,11675.0,14.0
Brazil,4.0,5381224.0,25574.0,156926.0,398.0,4817898.0,20026.0,406400.0,8318.0,25260.0,737.0,21900000.0,102799.0,213036330.0,40.0,1358.0,10.0
Russia,5.0,1497167.0,16521.0,25821.0,296.0,1130818.0,11567.0,340528.0,2300.0,10258.0,177.0,56794639.0,389126.0,145954385.0,97.0,5653.0,3.0
Spain,6.0,1110372.0,0.0,34752.0,0.0,0.0,0.0,0.0,2031.0,23746.0,743.0,15503165.0,331544.0,46760544.0,42.0,1346.0,3.0
France,7.0,1086497.0,45422.0,34645.0,137.0,109486.0,0.0,942366.0,2441.0,16634.0,530.0,14637427.0,224090.0,65319392.0,60.0,1885.0,4.0
Argentina,8.0,1081336.0,11968.0,28613.0,275.0,881113.0,14418.0,171610.0,4850.0,23857.0,631.0,2804114.0,61865.0,45326314.0,42.0,1584.0,16.0
Colombia,9.0,1007711.0,8769.0,30000.0,198.0,907379.0,5727.0,70332.0,2365.0,19738.0,588.0,4718734.0,92428.0,51053257.0,51.0,1702.0,11.0
Peru,10.0,886214.0,3098.0,34095.0,62.0,803846.0,3366.0,48273.0,1044.0,26761.0,1030.0,4367969.0,131901.0,33115484.0,37.0,971.0,8.0
Mexico,11.0,880775.0,6604.0,88312.0,418.0,641075.0,4684.0,151388.0,2781.0,6809.0,683.0,2269833.0,17547.0,129358368.0,147.0,1465.0,57.0
UK,12.0,854010.0,23012.0,44745.0,174.0,0.0,0.0,0.0,743.0,12559.0,658.0,31157988.0,458213.0,67998844.0,80.0,1520.0,2.0
South Africa,13.0,714246.0,1834.0,18944.0,53.0,644641.0,1118.0,50661.0,546.0,11995.0,318.0,4677942.0,78564.0,59542957.0,83.0,3143.0,13.0
Iran,14.0,562705.0,5814.0,32320.0,335.0,450891.0,4206.0,79494.0,4952.0,6673.0,383.0,4689118.0,55605.0,84329667.0,150.0,2609.0,18.0
Italy,15.0,504509.0,19644.0,37210.0,151.0,264117.0,2309.0,203182.0,1128.0,8348.0,616.0,14492122.0,239803.0,60433453.0,120.0,1624.0,4.0
Chile,16.0,500523.0,1612.0,13892.0,48.0,476576.0,5233.0,10055.0,729.0,26113.0,725.0,4081078.0,212912.0,19167892.0,38.0,1380.0,5.0
