Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
Asia,0.0,7640857.0,116637.0,150507.0,1584.0,6133198.0,94623.0,1357152.0,18965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North America,0.0,7626292.0,53188.0,279475.0,1338.0,4529051.0,37869.0,2817766.0,19141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,6685842.0,62591.0,211491.0,1350.0,5281895.0,49722.0,1192456.0,15384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,3771883.0,29347.0,209778.0,312.0,2152807.0,29264.0,1409298.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,1297323.0,7506.0,31131.0,226.0,1033734.0,7862.0,232458.0,1421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,29213.0,85.0,779.0,12.0,24600.0,163.0,3834.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,0.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,27052131.0,269354.0,883176.0,4822.0,19155936.0,219503.0,7013019.0,60849.0,3471.0,113.3,0.0,0.0,0.0,0.0,0.0,0.0
China,1.0,85112.0,10.0,4634.0,0.0,80284.0,21.0,194.0,3.0,59.0,3.0,160000000.0,111163.0,1439323776.0,16911.0,310601.0,9.0
USA,2.0,6429140.0,42092.0,192818.0,707.0,3707000.0,30431.0,2529322.0,14942.0,19402.0,582.0,86759202.0,261830.0,331356930.0,52.0,1718.0,4.0
Brazil,3.0,4123000.0,31199.0,126230.0,646.0,3296702.0,18459.0,700068.0,8318.0,19372.0,593.0,14408116.0,67696.0,212834352.0,52.0,1686.0,15.0
India,4.0,4110839.0,90600.0,70679.0,1044.0,3177673.0,73161.0,862487.0,8944.0,2974.0,51.0,47738491.0,34532.0,1382456206.0,336.0,19560.0,29.0
Russia,5.0,1020310.0,5205.0,17759.0,110.0,838126.0,5379.0,164425.0,2300.0,6991.0,122.0,38100000.0,261055.0,145946035.0,143.0,8218.0,4.0
Peru,6.0,683702.0,6854.0,29687.0,133.0,506422.0,7899.0,147593.0,1492.0,20684.0,898.0,3353435.0,101453.0,33053976.0,48.0,1113.0,10.0
