0,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Cases,Density
China,80894,13,3237,11.0,69614,8043,2622,56.0
Italy,35713,4207,2978,475.0,4025,28710,2257,591.0
Iran,17361,1192,1135,147.0,5710,10516,0,207.0
Spain,14769,2943,638,105.0,1081,13050,563,316.0
Germany,12327,2960,28,2.0,105,12194,2,147.0
France,9134,1404,264,89.0,602,8268,931,140.0
S. Korea,8413,93,84,3.0,1540,6789,59,164.0
USA,8055,1644,127,18.0,106,7822,12,24.0
Switzerland,3115,373,33,6.0,15,3067,0,360.0
UK,2626,676,104,33.0,65,2457,20,39.0
Netherlands,2051,346,58,15.0,2,1991,45,120.0
Austria,1646,314,4,0.0,9,1633,12,183.0
Norway,1582,111,6,3.0,1,1575,27,292.0
Belgium,1486,243,14,4.0,31,1441,33,128.0
Sweden,1292,96,10,2.0,15,1267,12,128.0
Denmark,1057,80,4,0.0,1,1052,24,182.0
Japan,899,21,29,0.0,144,726,41,7.0
Malaysia,790,117,2,0.0,60,728,15,24.0
Diamond Princess,712,0,7,0.0,456,249,14,0.0
Canada,656,58,9,1.0,12,635,1,17.0
Portugal,642,194,2,1.0,4,636,18,63.0
Australia,565,110,6,1.0,43,516,1,22.0
Czechia,522,88,0,0.0,3,519,5,49.0
Qatar,452,10,0,0.0,4,448,0,157.0
Israel,433,96,0,0.0,11,422,6,50.0
Greece,418,31,5,0.0,14,399,13,40.0
Brazil,394,48,3,2.0,2,389,18,2.0
Finland,359,37,0,0.0,10,349,2,65.0
Singapore,313,47,0,0.0,114,199,14,54.0
Pakistan,307,60,2,2.0,13,292,0,1.0
Ireland,292,0,2,0.0,5,285,6,59.0
Poland,287,49,5,0.0,1,281,3,8.0
Slovenia,286,11,1,0.0,0,285,4,138.0
Romania,260,43,0,0.0,19,241,5,14.0
Estonia,258,33,0,0.0,1,257,1,194.0
Bahrain,255,14,1,0.0,95,159,3,150.0
Iceland,250,3,0,0.0,5,245,1,733.0
Saudi Arabia,238,67,0,0.0,6,232,0,7.0
Chile,238,37,0,0.0,0,238,3,12.0
Indonesia,227,55,19,12.0,11,197,0,0.8
Thailand,212,35,1,0.0,41,170,1,3.0
Egypt,210,14,6,0.0,28,176,0,2.0
Luxembourg,203,63,2,1.0,0,201,1,324.0
Philippines,202,15,17,3.0,4,181,1,2.0
Turkey,191,93,2,1.0,0,189,0,2.0
Hong Kong,181,13,4,0.0,92,85,4,24.0
India,168,25,3,0.0,14,151,0,0.1
Iraq,164,10,12,1.0,41,111,0,4.0
Ecuador,155,44,2,0.0,0,153,2,9.0
Russia,147,33,0,0.0,8,139,0,1.0
Peru,145,28,0,0.0,1,144,8,4.0
Kuwait,142,12,0,0.0,15,127,4,33.0
Lebanon,133,9,4,0.0,4,125,3,19.0
San Marino,119,0,11,0.0,4,104,11,3507.0
South Africa,116,31,0,0.0,0,116,0,2.0
UAE,113,0,0,0.0,26,87,2,11.0
Armenia,110,32,0,0.0,1,109,2,37.0
Slovakia,105,8,0,0.0,0,105,2,19.0
Taiwan,100,23,1,0.0,20,79,0,4.0
Mexico,93,11,0,0.0,4,89,1,0.7
Colombia,93,28,0,0.0,1,92,0,2.0
Bulgaria,92,11,2,0.0,0,90,0,13.0
Serbia,89,17,0,0.0,1,88,4,10.0
Croatia,87,18,0,0.0,5,82,0,21.0
Panama,86,17,1,0.0,0,85,7,20.0
Argentina,79,0,2,0.0,3,74,1,2.0
Vietnam,76,10,0,0.0,16,60,0,0.8
Algeria,75,14,7,2.0,32,36,0,2.0
Latvia,71,11,0,0.0,1,70,0,38.0
Costa Rica,69,19,0,0.0,0,69,3,14.0
Brunei,68,12,0,0.0,0,68,2,155.0
Albania,59,4,2,1.0,0,57,2,21.0
Hungary,58,8,1,0.0,2,55,4,6.0
Cyprus,58,9,0,0.0,0,58,1,48.0
Faeroe Islands,58,11,0,0.0,1,57,0,1187.0
Jordan,56,8,0,0.0,1,55,0,5.0
Morocco,54,10,2,0.0,1,51,1,1.0
Andorra,53,14,0,0.0,1,52,0,686.0
Belarus,51,15,0,0.0,5,46,0,5.0
Sri Lanka,51,7,0,0.0,3,48,0,2.0
Uruguay,50,0,0,0.0,0,50,0,14.0
Malta,48,10,0,0.0,2,46,0,109.0
Palestine,44,0,0,0.0,0,44,0,9.0
Oman,39,6,0,0.0,13,26,0,8.0
Bosnia and Herzegovina,39,5,0,0.0,2,37,0,12.0
Georgia,38,4,0,0.0,1,37,1,10.0
Cambodia,37,4,0,0.0,1,36,0,2.0
Moldova,36,6,1,1.0,1,34,2,9.0
Senegal,36,9,0,0.0,2,34,0,2.0
Kazakhstan,36,3,0,0.0,0,36,0,2.0
Venezuela,36,3,0,0.0,0,36,0,1.0
North Macedonia,35,4,0,0.0,1,34,1,17.0
Azerbaijan,34,0,1,0.0,6,27,0,3.0
Lithuania,33,7,0,0.0,1,32,1,12.0
Tunisia,29,2,0,0.0,1,28,2,2.0
Liechtenstein,28,9,0,0.0,0,28,0,734.0
Guadeloupe,27,9,0,0.0,0,27,0,67.0
Martinique,23,8,1,0.0,0,22,0,61.0
Afghanistan,22,0,0,0.0,1,21,0,0.6
Dominican Republic,21,0,1,0.0,0,20,0,2.0
Burkina Faso,20,5,1,1.0,0,19,0,1.0
New Zealand,20,0,0,0.0,0,20,0,4.0
Uzbekistan,18,7,0,0.0,0,18,0,0.5
Macao,17,4,0,0.0,10,7,0,26.0
Ukraine,16,2,2,0.0,0,14,0,0.4
Bangladesh,14,4,1,1.0,3,10,0,0.09
Cameroon,13,3,0,0.0,0,13,0,0.5
Jamaica,13,0,0,0.0,2,11,0,4.0
Maldives,13,0,0,0.0,0,13,0,24.0
Bolivia,12,0,0,0.0,0,12,0,1.0
Réunion,12,3,0,0.0,0,12,0,13.0
French Guiana,11,0,0,0.0,0,11,0,37.0
Paraguay,11,2,0,0.0,0,11,1,2.0
Rwanda,11,4,0,0.0,0,11,0,0.8
Cuba,10,3,0,0.0,0,10,0,0.9
Monaco,9,0,0,0.0,0,9,0,229.0
Ivory Coast,9,5,0,0.0,1,8,0,0.3
Honduras,9,1,0,0.0,0,9,0,0.9
Guatemala,8,0,1,0.0,0,7,0,0.4
Nigeria,8,5,0,0.0,1,7,0,0.04
Gibraltar,8,5,0,0.0,2,6,0,237.0
Guam,8,3,0,0.0,0,8,0,47.0
Montenegro,8,6,0,0.0,0,8,0,13.0
Channel Islands,7,1,0,0.0,0,7,0,40.0
DRC,7,4,0,0.0,0,7,0,0.08
Ghana,7,0,0,0.0,0,7,0,0.2
Kenya,7,3,0,0.0,0,7,0,0.1
Trinidad and Tobago,7,2,0,0.0,0,7,0,5.0
Ethiopia,6,0,0,0.0,0,6,0,0.05
Mongolia,6,1,0,0.0,0,6,0,2.0
Seychelles,6,2,0,0.0,0,6,0,61.0
Puerto Rico,5,0,0,0.0,0,5,0,2.0
Guyana,4,0,1,0.0,0,3,0,5.0
Aruba,4,1,0,0.0,0,4,0,37.0
Equatorial Guinea,4,3,0,0.0,0,4,0,3.0
Curaçao,3,0,0,0.0,0,3,0,18.0
French Polynesia,3,0,0,0.0,0,3,0,11.0
Gabon,3,0,0,0.0,0,3,0,1.0
Kyrgyzstan,3,3,0,0.0,0,3,0,0.5
Mauritius,3,3,0,0.0,0,3,0,2.0
Mayotte,3,0,0,0.0,0,3,0,11.0
St. Barth,3,0,0,0.0,0,3,0,304.0
Saint Martin,3,1,0,0.0,0,3,0,78.0
Tanzania,3,2,0,0.0,0,3,0,0.05
Sudan,2,1,1,0.0,0,1,0,0.05
Barbados,2,0,0,0.0,0,2,0,7.0
Benin,2,1,0,0.0,0,2,0,0.2
Greenland,2,1,0,0.0,0,2,0,35.0
Liberia,2,0,0,0.0,0,2,0,0.4
Mauritania,2,1,0,0.0,0,2,0,0.4
Namibia,2,0,0,0.0,0,2,0,0.8
New Caledonia,2,2,0,0.0,0,2,0,7.0
Saint Lucia,2,0,0,0.0,0,2,0,11.0
U.S. Virgin Islands,2,0,0,0.0,0,2,0,19.0
Zambia,2,2,0,0.0,0,2,0,0.1
Cayman Islands,1,0,1,0.0,0,0,0,15.0
Nepal,1,0,0,0.0,1,0,0,0.03
Antigua and Barbuda,1,0,0,0.0,0,1,0,10.0
Bahamas,1,0,0,0.0,0,1,0,3.0
Bhutan,1,0,0,0.0,0,1,0,1.0
CAR,1,0,0,0.0,0,1,0,0.2
Congo,1,0,0,0.0,0,1,0,0.2
Djibouti,1,1,0,0.0,0,1,0,1.0
Gambia,1,0,0,0.0,0,1,0,0.4
Guinea,1,0,0,0.0,0,1,0,0.08
Vatican City,1,0,0,0.0,0,1,0,1248.0
Montserrat,1,1,0,0.0,0,1,0,200.0
St. Vincent Grenadines,1,0,0,0.0,0,1,0,9.0
Sint Maarten,1,1,0,0.0,0,1,0,23.0
Somalia,1,0,0,0.0,0,1,0,0.06
Suriname,1,0,0,0.0,0,1,0,2.0
Eswatini,1,0,0,0.0,0,1,0,0.9
Togo,1,0,0,0.0,0,1,0,0.1
